,Artist,Count
7,Drake,23
34,Morgan Wallen,20
11,Doja Cat,19
21,Justin Bieber,13
85,Luke Combs,13
115,Bad Bunny,12
130,Taylor Swift,11
42,Lil Baby,11
103,SZA,11
0,The Weeknd,11
3,Dua Lipa,10
50,Ariana Grande,10
23,Billie Eilish,9
150,21 Savage,9
1,Post Malone,9
18,Megan Thee Stallion,9
6,Future,9
41,Lil Durk,8
4,DaBaby,8
89,Kane Brown,8
2,Roddy Ricch,7
102,Olivia Rodrigo,7
157,Lainey Wilson,6
51,Pop Smoke,6
76,Gunna,6
193,Nicki Minaj,6
110,Ed Sheeran,5
40,Young Thug,5
191,Bailey Zimmerman,5
58,Juice WRLD,5
46,Travis Scott,5
186,Zach Bryan,5
75,Lil Nas X,5
5,Harry Styles,5
71,Mariah Carey,5
14,Jack Harlow,5
230,Jelly Roll,5
37,Chris Brown,5
217,Metro Boomin,4
64,Jason Aldean,4
228,Peso Pluma,4
154,Brenda Lee,4
222,Ice Spice,4
134,Tems,4
121,Tate McRae,4
28,Cardi B,4
263,Sabrina Carpenter,4
19,Beyoncé,4
129,Chris Stapleton,3
245,GloRilla,3
59,Marshmello,3
262,Kendrick Lamar,3
109,The Kid LAROI,3
104,Bruno Mars,3
114,Walker Hayes,3
98,Moneybagg Yo,3
54,Rod Wave,3
38,Camila Cabello,3
9,Maren Morris,3
12,Gabby Barrett,3
187,Jordan Davis,3
196,KAROL G,3
204,Bobby Helms,3
206,Burl Ives,3
33,Lizzo,3
162,Latto,3
39,BTS,3
156,Cole Swindell,3
49,Lady Gaga,3
250,Noah Kahan,2
151,Project Pat,2
247,Kacey Musgraves,2
194,Muni Long,2
140,Florida Georgia Line,2
105,Anderson .Paak,2
184,Cody Johnson,2
106,Silk Sonic,2
108,GIVĒON,2
226,J. Cole,2
197,Tyler Hubbard,2
180,Steve Lacy,2
111,Glass Animals,2
229,Lil Uzi Vert,2
133,Wizkid,2
211,ERNEST,2
214,Sam Smith,2
163,Kodak Black,2
243,Shakira,2
143,Coi Leray,2
161,Adele,2
118,Polo G,2
240,HARDY,2
160,Rauw Alejandro,2
237,Grupo Frontera,2
215,Kim Petras,2
216,Miley Cyrus,2
152,Parmalee,2
252,Wham!,2
269,Jessie Murph,2
70,DJ Khaled,2
273,Sexyy Red,2
72,Lee Brice,2
266,Chappell Roan,2
48,iann dior,2
74,Luke Bryan,2
32,Selena Gomez,2
29,Mustard,2
27,Dan + Shay,2
79,Jonas Brothers,2
63,Old Dominion,2
81,Lil Tjay,2
261,Benson Boone,2
55,Blake Shelton,2
66,Eminem,2
290,Nate Smith,2
47,24kGoldn,2
276,Playboi Carti,2
13,Charlie Puth,2
10,Lewis Capaldi,2
253,Parker McCollum,2
94,Eric Church,2
8,Maroon 5,2
30,blackbear,2
213,Sam Tompkins,1
251,Jung Kook,1
283,Myles Smith,1
282,Xavi,1
212,JNR CHOI,1
280,Warren Zeiders,1
279,Bryson Tiller,1
278,Cris Mj,1
281,Artemas,1
205,Bomba Estéreo,1
284,Paul Russell,1
200,THE ANXIETY,1
291,Victoria Monét,1
195,Becky G,1
289,Yeat,1
288,Koe Wetzel,1
198,NEIKED,1
287,4batz,1
199,Mae Muller,1
201,WILLOW,1
210,Jon Pardi,1
202,Tyler Cole,1
203,Lauren Spencer Smith,1
286,Summer Walker,1
285,USHER,1
207,Russell Dickerson,1
208,Jake Scott,1
209,Scotty McCreery,1
218,Rema,1
223,Toosii,1
277,FloyyMenor,1
260,Shaboozey,1
238,Stephen Sanchez,1
239,Meghan Trainor,1
241,David Kushner,1
242,Rihanna,1
265,Hozier,1
