,Genre,Count
5,country,121
1,hip hop,106
3,pop,90
4,rap,39
0,r&b,33
2,melodic rap,28
20,latin,20
26,acoustic country,19
19,reggaeton,19
27,christmas,17
38,urbano latino,17
14,drill,16
39,trap latino,14
6,soft pop,14
28,pop country,12
8,alternative pop,11
65,red dirt,10
13,trap,9
29,pop rap,8
40,Unknown,7
49,afrobeats,7
82,corridos bélicos,7
18,brooklyn drill,7
75,banda,7
81,música mexicana,7
80,corridos tumbados,7
78,corrido,7
66,texas country,6
79,sad sierreño,6
17,new york drill,6
33,memphis rap,6
47,afrobeat,6
58,country hip hop,6
23,emo rap,5
12,k-pop,5
77,electro corridos,5
48,alté,4
51,afropop,4
35,alternative rock,4
15,bedroom pop,4
16,art pop,4
21,blues rock,4
24,edm,4
98,rage rap,3
54,queer,3
44,afropiano,3
76,sierreño,3
91,country rock,3
32,dance,3
36,electronic,3
96,west coast hip hop,3
63,avant-garde jazz,2
90,tejano,2
89,cumbia norteña,2
37,audio drama,2
68,contemporary r&b,2
88,grupera,2
93,folk pop,2
87,norteño,2
11,english,2
92,latin pop,2
59,country pop,2
60,art rock,2
41,alternative r&b,2
57,gangster rap,2
56,southern hip hop,2
55,crunk,2
50,afroswing,2
7,dance-pop,2
45,dancehall,2
46,azonto,2
84,europop,1
101,chilean mambo,1
100,chilean trap,1
99,reggaeton chileno,1
85,eurodance,1
86,2010s,1
97,psychedelic pop,1
95,argentine trap,1
94,folk rock,1
83,reggaeton mexa,1
70,rock,1
9,slap house,1
61,baroque pop,1
42,dembow,1
43,indie pop,1
34,hyphy,1
31,east coast hip hop,1
30,teen pop,1
52,swing,1
53,pop rock,1
25,detroit trap,1
62,bronius bagackas,1
10,composer,1
64,polish,1
22,englisch,1
67,lo-fi hip hop,1
69,eurovision 2023 artists,1
71,nepo baby,1
72,jazz,1
73,latin alternative,1
74,soul,1
102,indie folk,1
