Artist,Song,Lyrics,Encoding
Johnny Horton,The Battle Of New Orleans,"[Verse 1]
In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in a town near New Orleans

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 2]
We looked down a river and we see'd the British come
(Hut-two three-four)
And there must have been a hundred of 'em beatin' on the drums
(Hut-two three-four)
They stepped so high and they made their bugles ring
(Hut-two three-four)
We stood beside our cotton bales and didn't say a thing
(Hut-two three-four)

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico
[Verse 3]
Old Hickory said we could take 'em by surprise
(One-hut, two-three-four)
If we didn't fire our muskets 'til we looked 'em in the eye
(One-hut, two-three-four)
We held our fire 'til we see their faces well
(Hut, two-three-four)
Then we opened up our squirrel guns
And really gave 'em - well we

[Chorus]
Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars and they ran through the brambles
(One-hup-two, hup-two-three-four)
And they ran through the bushes where a rabbit couldn't go
(Hup-two, hup-two-three-four)
They ran so fast that the hounds couldn't catch 'em
(Hup-two, one-two-three-four)
On down the Mississippi to the Gulf of Mexico
(One-two, hup-two-three-four)
[Verse 5]
We fired our cannon 'til the barrel melted down
So we grabbed an alligator and we fought another round
We filled his head with cannon balls and powdered his behind
And when we touched the powder off the gator lost his mind

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars and they ran through the brambles
(One-hup-two, hup-two-three-four)
And they ran through the bushes where a rabbit couldn't go
(Hup-two, hup-two-three-four)
They ran so fast that the hounds couldn't catch 'em
(Hup-two, one-two-three-four)
On down the Mississippi to the Gulf of Mexico
(One-two, hup-two-three-four)
(Sound off three-four)
(One-two, hup-two-three-four)
(Sound off three-four)
(One-two, hup-two-three-four)
(Sound off three-four)","[-0.01961963064968586, 0.05637189373373985, 0.011899116449058056, -0.052413471043109894, -0.0011766187380999327, -0.013326918706297874, 0.03427393361926079, -0.08640676736831665, -0.011656559072434902, -0.0236321073025465, 0.011252577416598797, -0.028515314683318138, 0.09295070916414261, -0.09325818717479706, 0.006242674309760332, -0.0022728589829057455, 0.014821583405137062, 0.008767223916947842, -0.06348253041505814, -0.01890426315367222, 0.02343408763408661, 0.0891495868563652, 0.03950994461774826, 0.07799241691827774, -0.03966936469078064, 0.006251238286495209, -0.04705994203686714, 0.015065032988786697, -0.00303589622490108, 0.0009311751928180456, -0.01202123612165451, -0.027719542384147644, -0.04687046259641647, 0.004099600482732058, 0.039705488830804825, -0.014893395826220512, 0.06700249761343002, 0.06387827545404434, 0.01049916259944439, 0.04464714974164963, -0.004713483154773712, 0.011186079122126102, 0.05944077670574188, -0.008895408362150192, -0.04648279771208763, 0.027489054948091507, -0.09205526858568192, -0.06454089283943176, 0.023575689643621445, 0.033948637545108795, 0.05013929679989815, 0.08428218960762024, -0.029737386852502823, -0.01925068348646164, 0.022924499586224556, -0.1081654503941536, -0.016140663996338844, -0.007938554510474205, 0.046117279678583145, -0.03147505596280098, -0.0520063191652298, -0.033831577748060226, -0.010524552315473557, 0.0002040268445853144, -0.03062175214290619, -0.06560200452804565, 0.009292383678257465, -0.014039796777069569, -0.03560937941074371, 0.04995248094201088, -0.05584277585148811, -0.002183699980378151, -0.018437547609210014, 0.01857888698577881, -0.030957534909248352, 0.036140117794275284, 0.04332529753446579, 0.016089167445898056, -0.08827083557844162, -0.09165653586387634, -0.030621696263551712, -0.02132440358400345, 0.021786220371723175, -0.01327325589954853, -0.07096543908119202, -0.06651365011930466, -0.019540684297680855, -0.0029007126577198505, 0.02348461002111435, -0.03995189815759659, 0.022111259400844574, -0.007500054780393839, -0.03818420693278313, 0.06981929391622543, 0.12438920140266418, -0.07509592175483704, -0.02502601407468319, 0.09585133194923401, -0.04501407966017723, 0.06183083355426788, 0.07955535501241684, 0.03156273812055588, 0.00733927683904767, -0.03862810134887695, -0.03427031263709068, -0.008830495178699493, -0.041443318128585815, 0.016040673479437828, 0.04945061728358269, -0.09952383488416672, 0.07776808738708496, 0.029736263677477837, -0.01656475104391575, 0.0578979030251503, 0.0033650610130280256, -0.030881833285093307, -0.03394855558872223, -0.10435326397418976, -0.049548059701919556, 0.02193247340619564, -0.0033296120818704367, 0.03714941814541817, -0.09646835923194885, -0.04530315473675728, -0.012979052029550076, 0.05705174431204796, 0.04204156622290611, 1.862277476303186e-33, 0.0615977980196476, 0.014850171282887459, -0.006345926318317652, 0.013363034464418888, 0.17075757682323456, -0.04571019858121872, -0.061951473355293274, 0.014082550071179867, 0.03150191158056259, 0.0500829704105854, -0.05469834432005882, -0.02945694327354431, -0.02068864367902279, -0.06325261294841766, 0.04661152511835098, -0.08246640115976334, 0.012191192246973515, -0.11818672716617584, 0.046219352632761, -0.04933466762304306, -0.04940522462129593, 0.05400821939110756, -0.021978391334414482, -0.029363835230469704, -0.03150096908211708, 0.033228639513254166, -0.0531061589717865, 0.05345357954502106, -0.05012158304452896, 0.032867513597011566, -0.04582550376653671, 0.04077671840786934, -0.014860539697110653, 0.007518792524933815, -0.03656437620520592, -0.10219097137451172, 0.02376178652048111, -0.0435577891767025, -0.03112325258553028, 0.013518191874027252, -0.019891366362571716, 0.045389898121356964, -0.04008449614048004, 0.04546699300408363, 0.006640431005507708, -0.04312519356608391, -0.06579778343439102, 0.030455201864242554, -0.04180888086557388, 0.0009497403516434133, 0.05484646186232567, -0.006143016740679741, 0.04331006109714508, -0.012621468864381313, 0.044588908553123474, 0.03963501751422882, -0.0042409817688167095, 0.05643019825220108, 0.0504852719604969, 0.0013234915677458048, 0.03156484663486481, 0.060505788773298264, 0.06734678149223328, -0.01715729385614395, 0.05387817695736885, -0.00863678939640522, 0.012030884623527527, 0.03022158145904541, -0.054870426654815674, 0.022429084405303, -0.03207329288125038, 0.00815934594720602, 0.017188187688589096, -0.0732443705201149, 0.06316009163856506, 0.0346718393266201, 0.08250784873962402, -0.007972204126417637, 0.06490851193666458, -0.08436968922615051, -0.011685198172926903, -0.04855450615286827, -0.03343674913048744, 0.06236705929040909, 0.040805451571941376, -0.006211144849658012, 0.05360592156648636, -0.15417683124542236, 3.511500472086482e-05, 0.024661652743816376, -0.12417392432689667, 0.03255311772227287, -0.04761737957596779, -0.11839452385902405, -0.06044479086995125, -2.739837824792772e-33, 0.053422313183546066, 0.1259547472000122, 0.03237896040081978, 0.11046065390110016, -0.00733550451695919, -0.026835771277546883, 0.13103821873664856, 0.0034541140776127577, 0.04117628559470177, -0.04522806406021118, -0.046274032443761826, -0.018601231276988983, 0.019276810809969902, 0.02943410538136959, 0.034075286239385605, -0.029669689014554024, 0.015508374199271202, 0.04097532108426094, 0.06868923455476761, -0.009608318097889423, -0.020513324066996574, -0.08376026898622513, 0.035013336688280106, 0.020774226635694504, 0.007657477632164955, 0.045351214706897736, 0.04035774618387222, -0.020764874294400215, -0.05277642235159874, -0.0685001015663147, 0.05666084960103035, -0.034913282841444016, -0.005155057180672884, -0.03388427197933197, -0.07712798565626144, -0.020009025931358337, 0.05912979319691658, 0.07224807888269424, -0.005213276948779821, -0.0629139393568039, -0.05400111526250839, -0.023416446521878242, 0.007780445273965597, 0.06927716732025146, -0.07259712368249893, -0.015364001505076885, -0.02866133488714695, 0.06435628980398178, -0.10133388638496399, 0.07439178228378296, 0.03723583742976189, 0.01661398634314537, -0.057047512382268906, 0.08819914609193802, -0.09985551983118057, -0.03606352582573891, 0.07572425901889801, -0.0908111035823822, 0.0031516840681433678, 0.011100848205387592, -0.07102542370557785, -0.0019245663424953818, -0.04992634803056717, -0.030811721459031105, 0.035929083824157715, 0.05017069727182388, -0.044507212936878204, 0.051205769181251526, 0.034276872873306274, 0.10663328319787979, -0.05810736119747162, -0.05023310333490372, 0.04005047678947449, -0.06431787461042404, 0.04041202366352081, 0.052565500140190125, -0.04594593122601509, -0.10745380818843842, -0.037377018481492996, 6.962892803130671e-05, 0.0010369623778387904, -0.03971563279628754, -0.04661889374256134, 0.04908183217048645, -0.006590990349650383, 0.020429261028766632, 0.0852159634232521, 0.1379166692495346, 0.011546931229531765, 0.036107856780290604, 0.05618230625987053, -0.017059138044714928, 0.050974998623132706, 0.03588098660111427, -0.004288135562092066, -5.859790874751525e-08, -0.05581659823656082, 0.1198059543967247, -0.008044646121561527, 0.07168334722518921, 0.06107846647500992, -0.008291471749544144, 0.03158893808722496, 0.03898194804787636, 0.021383414044976234, -0.006284584756940603, -0.012995232827961445, 0.014571364037692547, -0.018536008894443512, 0.002968566259369254, 0.003421038156375289, 0.04953071475028992, -0.0174492709338665, -0.1248524934053421, -0.023484215140342712, -0.03530169278383255, -0.018901890143752098, 0.03759042173624039, 0.03583656623959541, -0.029437262564897537, -0.003938704263418913, 0.018224360421299934, -0.028598815202713013, 0.05131016671657562, -0.014022169634699821, -0.01645457185804844, 0.005390397273004055, -0.010714787058532238, -0.0924500823020935, -0.011318981647491455, 0.009248683229088783, -0.10413476079702377, -0.04810238257050514, 0.03344867005944252, 0.040176231414079666, -0.14252279698848724, -0.08557385206222534, -0.005996926687657833, 0.07196465879678726, 0.05302133038640022, -0.03780791908502579, -0.02754846028983593, -0.06985121220350266, 0.06590337306261063, -0.04862671718001366, 0.00521312840282917, -0.0028513444121927023, -0.04263468086719513, 0.005190917290747166, 0.1325879693031311, 0.023935848847031593, -0.021586958318948746, 0.021995531395077705, -0.03183455020189285, 0.002178224502131343, -0.004691020585596561, -0.03194860368967056, 0.01608024165034294, -0.05182631313800812, -0.04700606316328049]"
Bobby Darin,Mack The Knife,"Oh the shark, babe, has such teeth, dear
And it shows them pearly white
Just a jackknife has old Macheath, babe
And he keeps it outta sight

You know when that shark bites with his teeth, babe
Scarlet billows start to spread
Fancy gloves, though, wears old Macheath, babe
So there's never, never a trace o' red

Now, on the side walk
Ooh Sunday morning, ah, ah
Lies a body just oozin' life, eek!
An' someone's sneaking 'round the corner
Could that someone be Mack the Knife?

There's a tugboat, ah, ah, ah-ah
Down by the river, don't you know?
Where a cement bag's just a-droopin' on down
Oh, that cement is just, it's there for the weight, dear
Five'll get ya ten, old Mack he's back in town

Now did ya hear about Louie Miller?
He disappeared, babe
After drawin' out all his hard earned cash
And now Macheath, spends just like a sailor
Could it be our boy's done somethin' rash?
Na, na, Jenny Diver, ho ho, Suky Tawdry
Ooh, Miss Lotte Lenya and Lucy Brown
Oh, the line forms on the right, babe
Now that Mack, he's back in town

I said, Jenny Diver, whoa, Suky Tawdry
Look out to Miss Lotte Lenya and old Lucy Brown
Yes, that line forms on the right, babe
Now that Mack, he's back in town

Look out old Mack, he is back!","[-0.12796810269355774, -0.01114596426486969, 0.052173200994729996, 0.013732915744185448, -0.005270371679216623, 0.01885254867374897, 0.132737934589386, -0.008555402979254723, -0.012506437487900257, -0.0670202448964119, -0.006438067648559809, -0.07148085534572601, -0.0037605781108140945, 0.05686180666089058, -0.052596744149923325, 0.04114312306046486, 0.03684563562273979, 0.06905079632997513, -0.06144007295370102, 0.06690829247236252, 0.06751149147748947, 0.03726833686232567, -0.005570696201175451, 0.02420758455991745, -0.016742397099733353, 0.034863587468862534, 0.006937913130968809, -0.024712812155485153, -0.09649896621704102, 0.0484599731862545, -0.04429025202989578, 0.05987183377146721, 0.029191188514232635, -0.029725972563028336, 0.06463226675987244, 0.009269952774047852, 0.06541093438863754, 0.028932174667716026, 0.018838219344615936, 0.11315368860960007, -0.06318270415067673, 0.06657823920249939, 0.014662550762295723, 0.08142395317554474, 0.015078188851475716, -0.007964342832565308, -0.018429161980748177, -0.055915601551532745, 0.024048149585723877, -0.006636823993176222, -0.09908799082040787, -0.0588810108602047, 0.046290334314107895, 0.043015096336603165, -0.03698546811938286, 0.020185574889183044, 0.10089176148176193, -0.009576884098351002, 0.03136041760444641, -0.021551212295889854, -0.014382554218173027, -0.02486831694841385, 0.0074613564647734165, 0.02721506729722023, -0.024235866963863373, -0.058875035494565964, -0.045079492032527924, -0.023736605420708656, -0.07566597312688828, 0.1221831887960434, 0.02636587806046009, -0.034041792154312134, 0.003719400381669402, 0.05596407875418663, -0.042912088334560394, 0.020924748852849007, 0.06201374903321266, -0.01662716642022133, 0.04211346432566643, -0.0006707978318445385, -0.10164372622966766, -0.030501840636134148, -0.002725053345784545, -0.054261237382888794, -0.0877341628074646, -0.020924795418977737, -0.03367559239268303, -0.029999008402228355, -0.03696208447217941, -0.02092045359313488, -0.054827068001031876, -0.024715395644307137, -0.04801427572965622, -0.005174368619918823, 0.06633065640926361, -0.0806446224451065, -0.04877302423119545, 0.128166064620018, -0.09217512607574463, 0.0792226567864418, 0.05413829907774925, 0.05302980914711952, 0.07068410515785217, -0.03492924943566322, 0.08013482391834259, 0.056517068296670914, -0.022736312821507454, 0.046631816774606705, 0.007603817619383335, -0.020856017246842384, 0.022572074085474014, 0.02311597391963005, 0.03323724493384361, 0.04432566836476326, 0.04095977917313576, -0.03185504302382469, -0.041425470262765884, -0.07592517137527466, -0.061959825456142426, 0.02771468088030815, 0.0017424687976017594, 0.0281877052038908, -0.04901836812496185, 0.05980008840560913, -0.023722868412733078, -0.044309765100479126, 0.012452570721507072, 1.566604280214902e-33, 0.05688431113958359, 0.042669057846069336, -0.05876955762505531, -0.0013054318260401487, 0.05528034269809723, -0.009327785111963749, -0.04782339185476303, 0.023995721712708473, -0.0015738480724394321, 0.034666165709495544, -0.05150932818651199, -0.013496307656168938, -0.09269178658723831, -0.007190995384007692, -0.047388412058353424, 0.013579564169049263, 0.0004276930703781545, -0.14024154841899872, 0.006058462895452976, 0.04802843555808067, 0.02616283856332302, 0.05650407075881958, 0.0275424737483263, -0.03995669260621071, -0.06305453181266785, -0.017883246764540672, 0.009551533497869968, -0.10066171735525131, -0.0018774037016555667, 0.06703536957502365, -0.07352402806282043, 0.0031519653275609016, 0.029058517888188362, 0.003820700803771615, -0.09743258357048035, -0.126554936170578, 0.05026065185666084, 0.00042813297477550805, -0.09520130604505539, -0.004781350493431091, -0.019394325092434883, 0.0009660777868703008, -0.07173176109790802, 0.09713241457939148, -0.07133535295724869, -0.019379589706659317, -0.01921730488538742, 0.10977847874164581, 0.04767890274524689, -0.0011350492713972926, -0.011480575427412987, -0.047135625034570694, 0.012851353734731674, 0.030127819627523422, -0.03483748435974121, -0.013996071182191372, 0.003652128390967846, 0.010878926143050194, 0.008981319144368172, 0.023371702060103416, 0.06306211650371552, 0.008949901908636093, 0.11004430800676346, 0.009754606522619724, 0.033489927649497986, 0.011000479571521282, 0.01679408922791481, -0.02861359529197216, -0.0229951199144125, -0.02034144289791584, -0.04839910939335823, 0.01152512151747942, -0.01016022078692913, -0.021341955289244652, -0.013332588598132133, -0.008915250189602375, 0.10776516050100327, -0.017295200377702713, -0.011647254228591919, 0.014036211185157299, 0.039426129311323166, 0.0010224967263638973, -0.03468971326947212, -0.016039438545703888, -0.04313777759671211, -0.028421074151992798, 0.08966243267059326, -0.1855674684047699, 0.012171684764325619, 0.08874864876270294, -0.08865989744663239, -0.020058708265423775, 0.042189545929431915, -0.09945707768201828, 0.014186711050570011, -2.4981877776743882e-33, 0.07592709362506866, -0.010710323229432106, -0.013558258302509785, 0.05379301309585571, -0.02079642005264759, 0.008390295319259167, 0.010627156123518944, 0.07800121605396271, -0.013544457033276558, -0.0539945550262928, -0.09533912688493729, -0.09409470856189728, 0.011213633231818676, 0.01568460650742054, 0.09684097766876221, 0.0204891599714756, 0.027617687359452248, 0.110292948782444, -0.0214216411113739, 0.021438397467136383, -0.021274739876389503, -0.0530557744204998, -0.03178170323371887, 0.05534820631146431, 0.0035095331259071827, 0.0980253517627716, 0.010341509245336056, 0.015528448857367039, -0.05500110983848572, 0.010985061526298523, -0.09233113378286362, -0.016103385016322136, -0.052947305142879486, -0.036612946540117264, -0.09639397263526917, 0.025029413402080536, -0.038061559200286865, -0.007849691435694695, -0.07157456129789352, -0.019566047936677933, -0.0492711067199707, -0.07398323714733124, -0.022856809198856354, 0.002843519439920783, -0.055822793394327164, 0.028725795447826385, -0.09897591918706894, 0.05762789770960808, -0.06710562109947205, 0.04197743535041809, 0.11174837499856949, 0.013734624721109867, -0.010189739987254143, 0.049808070063591, -0.09536732733249664, -0.04958164691925049, 0.00016222537669818848, -0.037062522023916245, -0.04716561362147331, 0.07535348832607269, -0.04633529856801033, 0.005665239877998829, -0.03239479660987854, 0.017429105937480927, -0.017416194081306458, -0.031803131103515625, 0.022659648209810257, -0.0034371090587228537, -0.02095956727862358, 0.018453802913427353, 0.021737543866038322, 0.023695990443229675, -0.039750125259160995, -0.04991311579942703, 0.10833446681499481, 0.08080911636352539, -0.032920610159635544, -0.13424710929393768, -0.043001070618629456, -0.0019830483943223953, -0.018532657995820045, -0.006458643823862076, 0.056565869599580765, 0.049255385994911194, 0.04481714963912964, -0.01632314920425415, -0.001419345149770379, 0.09678100049495697, 0.013422340154647827, 0.031706757843494415, 0.038618192076683044, 0.0029650710057467222, -0.05403998866677284, -0.016737928614020348, 0.06249716877937317, -5.4533277449309026e-08, 0.012753015384078026, 0.10459963977336884, -0.05439375340938568, -0.039128486067056656, 0.04299020767211914, -0.063095323741436, -0.05606837198138237, 0.01806647516787052, 0.018690526485443115, 0.05270487442612648, 0.05869840830564499, 0.042615339159965515, -0.0016968229319900274, 0.02204856090247631, -0.03867529705166817, 0.013154148124158382, 0.015753816813230515, -0.06293901801109314, 0.0040510608814656734, -0.07570242136716843, 0.044226862490177155, -0.0013880545739084482, 0.04387843981385231, 0.011385933496057987, -0.0817616805434227, -0.028043434023857117, -0.06491321325302124, 0.09780445694923401, -0.0033545317128300667, 0.004146483261138201, 0.041485145688056946, 0.06858978420495987, -0.09782726317644119, 0.00666017783805728, 0.044477928429841995, -0.014992989599704742, 0.04414070397615433, -0.02264314703643322, -0.020174456760287285, 0.002333705546334386, -0.06592327356338501, -0.05711489915847778, 0.017012223601341248, 0.01714777946472168, -0.0008104420849122107, -0.0401599295437336, 0.03580831363797188, 0.01956837810575962, 0.05565747618675232, 0.0016103495145216584, -0.019764559343457222, -0.016981519758701324, 0.012485047802329063, 0.05821959674358368, 0.04335265979170799, -0.002848739270120859, 0.007733901031315327, -0.009548650123178959, -0.061192236840724945, 0.06552628427743912, 0.005476420745253563, -0.005336981266736984, 0.05339972302317619, -0.07337651401758194]"
Lloyd Price,Personality,"Over and over
I tried to prove my love to you
Over and over
What more can I do?

Over and over
My friend says I'm a fool
But over and over
I'll be a fool for you

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over) and over (over and over)
Oh, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart
So over (over and over) and over (over and over)
Oh, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?

Oh oh oh, over and over
I said that I love you
Over and over
Honey, now it's the truth

Over and over
They still says I'm a fool
But over and over
I'll be a fool for you

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over) and over (over and over)
Whoa, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?","[-0.09410843998193741, -0.04736180976033211, 0.13912531733512878, -0.015404533594846725, 0.009945537894964218, -0.02757270075380802, 0.08737202733755112, -0.02821425348520279, 0.04840800538659096, -0.0430988147854805, 0.017636725679039955, -0.0206009391695261, -0.02802964858710766, 0.02011202462017536, 0.03864042088389397, 0.07994896918535233, -0.06031103432178497, 0.06046997755765915, -0.07701095938682556, 0.02376825548708439, 0.08726467937231064, -0.07921650260686874, -0.010822613723576069, -0.0012718416983261704, -0.12095704674720764, 0.024851784110069275, -0.02613883465528488, -0.01313539408147335, -0.06134159862995148, 0.005499792285263538, 0.06081945076584816, 0.06418398767709732, 0.009170599281787872, 0.03587901219725609, -0.1170675978064537, 0.034410182386636734, -0.0678643137216568, 0.033117540180683136, 0.07337477803230286, 0.01816660910844803, -0.007155187427997589, -0.052719660103321075, 0.07169556617736816, 0.04472089931368828, 0.0018606721423566341, 0.03450429067015648, 0.010615743696689606, -0.011544374749064445, -0.04260832816362381, 0.0643220916390419, -0.05568964406847954, -0.017447547987103462, -0.03709334507584572, 0.06760719418525696, 0.03480638936161995, 0.012115605175495148, -0.036069054156541824, 0.048431914299726486, -0.029610129073262215, 0.03419732302427292, 0.007128110621124506, -0.0003105681680608541, 0.028690708801150322, 0.07425367087125778, 0.011751368641853333, -0.008493154309689999, 0.014480134472250938, 0.032353464514017105, -0.049403320997953415, 0.10638298094272614, 0.05123794078826904, -0.03179343789815903, -0.009350616484880447, 0.016637001186609268, -0.05831708386540413, 0.07445358484983444, -0.02330419421195984, -0.04045525938272476, -0.020342253148555756, 0.03049587458372116, -0.06686406582593918, -0.06570795178413391, -0.0010802593315020204, -0.08866410702466965, -0.09570786356925964, -0.0718853548169136, -0.025364559143781662, -0.07548839598894119, 0.009549010545015335, -0.015771739184856415, 0.05090416222810745, 0.053156401962041855, -0.0363418348133564, -0.013489744625985622, 0.07566206157207489, -0.0478273443877697, -0.05999429151415825, 0.010301956906914711, -0.04119082912802696, 0.04230714589357376, 0.04265575483441353, 0.020731087774038315, 0.040989167988300323, -0.06274420768022537, 0.05305039510130882, 0.06285104155540466, -0.06860825419425964, -0.008994526229798794, 0.005577037576586008, 0.011767557822167873, 0.03769596293568611, -0.01573009602725506, 0.09310822188854218, 0.02394893579185009, 0.07480928301811218, 0.06446298211812973, -0.009871787391602993, 0.030524449422955513, 0.079962357878685, 0.034532587975263596, 0.05778472125530243, 0.01895848475396633, 0.02259025163948536, 0.015319015830755234, -0.09584317356348038, -0.05698489770293236, -0.013592669740319252, 5.183032670657832e-33, 0.057171531021595, 0.03896772488951683, -0.0003229621215723455, 0.09903005510568619, -0.013186689466238022, -0.0007581865647807717, -0.005654906388372183, 0.03185698762536049, -0.15021032094955444, 0.0005343519733287394, -0.002256558509543538, 0.05330771952867508, -0.020617136731743813, 0.021248964592814445, -0.033355679363012314, -0.07287147641181946, 0.0034039700403809547, -0.055164966732263565, 0.027376048266887665, 0.07084964960813522, 0.06907671689987183, -0.06726287305355072, 0.02627415396273136, -0.04345743730664253, -0.040895186364650726, -0.03466431796550751, 0.009582540020346642, 0.044447969645261765, -0.010957122780382633, -0.02647477760910988, -0.013472176156938076, 0.010731111280620098, -0.0509352833032608, 0.01575925573706627, -0.034556545317173004, -0.0240456685423851, -0.014494652859866619, -0.05162186548113823, 0.0007365484489127994, 0.01663397252559662, -0.059219010174274445, -0.06462447345256805, -0.060336608439683914, 0.016012124717235565, 0.014618664048612118, 0.0024470575153827667, -0.03618747740983963, 0.02900463156402111, -0.061224184930324554, -0.019108517095446587, 0.021532827988266945, -0.05617096647620201, -0.01961238868534565, 0.01926988549530506, -0.017474735155701637, 0.033767107874155045, 0.023945283144712448, 0.056096721440553665, -0.03059461899101734, 0.08098509907722473, 0.04063348099589348, 0.016663480550050735, -0.027782460674643517, -0.11068221926689148, 0.0007901877397671342, -0.04587385058403015, -0.03845413029193878, 0.04511754959821701, 0.013713766820728779, 0.05664990097284317, 0.03686654195189476, 0.07354331761598587, -0.09911967813968658, 0.049560461193323135, 0.007584226317703724, -0.06242216005921364, 0.05826914682984352, -0.02478530816733837, 0.01435144990682602, 0.010486235842108727, -0.056660693138837814, 0.002029645722359419, -0.0526152178645134, 0.0458824522793293, 0.03155005723237991, -0.045560210943222046, 0.009771106764674187, -0.07083290070295334, 0.011877913028001785, -0.0062286825850605965, -0.0890328511595726, 0.0421818345785141, 0.12791791558265686, -0.11425641924142838, -0.038424406200647354, -5.1455288907368316e-33, 0.009453926235437393, 0.08954590559005737, 0.07446052134037018, 0.06291422992944717, -0.008805086836218834, -0.029484333470463753, -0.01770675741136074, -0.01954461634159088, 0.00032104941783472896, -0.09250635653734207, -0.0814424455165863, -0.029289061203598976, 0.09688690304756165, -0.1027570441365242, 0.06626076996326447, -0.022550728172063828, 0.04678623005747795, 0.0024803997948765755, 0.0008508911123499274, 0.06443667411804199, -0.0525333434343338, 0.07933024317026138, -0.06212478131055832, 0.014902773313224316, -0.08227106183767319, 0.026346223428845406, 0.06668490916490555, 0.024997588247060776, 0.12079011648893356, 0.0034016140270978212, 0.060065243393182755, -0.048616524785757065, -0.03512179106473923, -0.009979186579585075, 0.06338880211114883, 0.08520172536373138, -0.022793609648942947, -0.05351204425096512, -0.022565986961126328, -0.030712993815541267, 0.013891801238059998, -0.06218142807483673, -0.023292651399970055, -0.027572588995099068, 0.023921122774481773, -0.09691435843706131, -0.025333523750305176, 0.05231548473238945, -0.02599920891225338, -0.0007153671467676759, 0.010816482827067375, -0.04590988904237747, -0.05928650125861168, 0.05283081904053688, -0.022148601710796356, -0.05917410925030708, 0.1309935301542282, 0.02480832114815712, 0.005187697242945433, -0.1297059953212738, -0.024051427841186523, -0.0020801264327019453, 0.08247826248407364, -0.050590548664331436, -0.03293195739388466, 0.025527257472276688, 0.024352317675948143, -0.00026888135471381247, -0.03503886237740517, 0.010441303253173828, -0.023796305060386658, 0.05495184659957886, -0.10250024497509003, -0.02170972153544426, 0.11781357228755951, 0.017063593491911888, 0.0005903153214603662, -0.09184239059686661, 0.0003284577396698296, -0.03365551307797432, -0.0669742226600647, 0.04641064256429672, 0.0087795564904809, 0.022468574345111847, -0.006649897899478674, 0.06241320073604584, 0.007639756891876459, 0.033919986337423325, -0.03829358145594597, 0.0370161235332489, 0.027644408866763115, 0.07905904203653336, 0.026560528203845024, -0.021277768537402153, 0.04505227133631706, -4.564877187362981e-08, -0.05511188134551048, -0.028655173256993294, -0.03195628523826599, -0.09514573216438293, 0.08963030576705933, 0.016651803627610207, -0.00829256884753704, -0.09612158685922623, -0.02212446928024292, -0.08344385027885437, 0.07329342514276505, 0.07337909191846848, -0.04959084093570709, -0.06013927981257439, -0.004925062879920006, 0.010139413177967072, -0.04778226837515831, 0.005862997379153967, 0.019479945302009583, -0.0006047319038771093, -0.021427318453788757, 0.03198552876710892, -0.06508100032806396, 0.02781728282570839, -0.08651351183652878, 0.04674461483955383, -0.010858356021344662, -0.0144537054002285, -0.045638054609298706, -0.030671579763293266, 0.04435539245605469, -0.06428743898868561, -0.013983656652271748, 0.02228517457842827, 0.11641354113817215, -0.042319685220718384, 0.03195005655288696, 0.004299200605601072, 0.0041173179633915424, 0.09998545795679092, 0.023482993245124817, -0.06575855612754822, -0.00787331722676754, 0.048624712973833084, -0.051356326788663864, -0.07149200886487961, -0.018410800024867058, -0.07485955208539963, -0.015941375866532326, -0.03388584777712822, -0.027796879410743713, -0.0607491210103035, -0.027633724734187126, 0.04315901920199394, -0.023806395009160042, 0.048468735069036484, -0.08100859075784683, 0.09970519691705704, 0.005088787991553545, 0.04839247837662697, 0.02429603785276413, 0.024994827806949615, 0.0053793215192854404, -0.02907414734363556]"
