,Genre,Count
3,new jack swing,164
42,r&b,145
19,quiet storm,112
1,pop,81
32,hip hop,69
6,rock,68
46,east coast hip hop,52
58,alternative rock,37
10,eurodance,36
5,soft rock,36
18,smooth r&b,35
87,g-funk,35
24,glam metal,33
91,gangster rap,32
4,christmas,31
34,west coast hip hop,28
12,classic rock,25
52,contemporary r&b,24
27,miami bass,23
11,dance-pop,22
79,country,20
26,glam rock,19
7,hard rock,15
20,freestyle,15
15,reggae,13
92,Unknown,13
84,neo soul,12
37,latin pop,12
90,rap,12
28,soul,11
23,funk melody,11
95,europop,11
60,variété française,10
31,new wave,10
38,funk rock,10
93,southern hip hop,10
8,hip house,9
13,album rock,9
103,post-grunge,8
89,hardcore hip hop,7
130,jazz,7
63,blues,7
50,ccm,7
51,christian,7
61,pop rock,7
39,grunge,7
80,2008 universal fire victim,7
35,synthpop,6
62,singer-songwriter,6
33,classical,6
81,boom bap,6
22,chicago house,6
59,smooth jazz,5
66,progressive rock,5
152,latin,4
77,soundtrack,4
86,art rock,4
78,blues rock,4
0,adult contemporary,4
142,boy band,4
9,dance,4
49,madchester,4
48,latin hip hop,4
47,british,4
25,arena rock,4
57,jangle pop,3
85,symphonic rock,3
121,flamenco pop,3
21,hi-nrg,3
29,american,3
30,post-punk,3
114,rockabilly,3
44,acid house,3
109,roots reggae,3
64,new age,3
104,jazz funk,2
98,jazz rap,2
141,schlager,2
99,acid jazz,2
100,ragga,2
101,dancehall,2
149,celtic,2
119,audio drama,2
122,britpop,2
146,italo dance,2
106,jazz blues,2
134,anarcho-punk,2
145,italo disco,2
65,gregorian chant,2
45,post-disco,2
70,classic pop and rock,2
14,lovers rock,2
16,country rock,2
36,darkwave,2
43,folk rock,2
53,alternative dance,2
56,disco house,2
68,gospel,2
69,worship,2
129,european,2
71,metal,2
72,heavy metal,2
76,motown,2
157,traditional country,2
140,orchestra,1
131,folk,1
132,adult standards,1
133,electronic,1
164,honky tonk,1
135,alternative,1
136,go-go,1
155,bleep techno,1
137,funky house,1
163,salsa romantica,1
138,cha cha cha,1
139,author,1
156,cool jazz,1
150,club/dance,1
162,merengue,1
161,salsa,1
143,lo-fi hip hop,1
144,uk funky,1
154,orchestral,1
147,shoegaze,1
160,bachata,1
148,medieval,1
159,crunk,1
151,rnb,1
158,bounce,1
153,latin rock,1
83,dangdut,1
128,broadway composer,1
73,progressive metal,1
96,rap rock,1
94,bass music,1
88,pop soul,1
82,malay,1
75,latin jazz,1
74,1980s,1
67,blue-eyed soul,1
102,punk rock,1
55,disco,1
54,philly soul,1
41,alternative metal,1
40,rap metal,1
17,mariachi,1
2,irish,1
97,happy hardcore,1
105,big band,1
127,reggaeton,1
117,doom metal,1
126,thrash metal,1
125,special purpose artist,1
124,roots rock,1
123,trance,1
120,euro house,1
118,stoner rock,1
116,sludge metal,1
107,_consistency,1
115,funk,1
113,doo-wop,1
112,northern soul,1
111,musicals,1
110,uk garage,1
108,rocksteady,1
165,christian country,1
