,Artist,Count
5,Mariah Carey,23
13,Janet Jackson,19
88,Boyz II Men,15
4,Madonna,14
92,Whitney Houston,12
10,Michael Bolton,10
105,Céline Dion,10
246,R. Kelly,10
145,TLC,10
294,Brandy,9
356,Mase,9
78,Bryan Adams,8
215,Toni Braxton,8
49,Aerosmith,7
7,En Vogue,7
296,Monica,7
69,Keith Sweat,7
306,The Notorious B.I.G.,7
35,Rod Stewart,6
79,Color Me Badd,6
405,Dru Hill,6
75,Prince,6
152,Michael Jackson,6
223,2Pac,6
257,Da Brat,6
255,Sheryl Crow,6
390,Diddy,6
64,Babyface,6
161,Elton John,6
194,SWV,6
327,Total,6
217,Ace of Base,6
332,Faith Evans,6
305,Hootie & The Blowfish,6
222,Xscape,5
198,Dr. Dre,5
189,Mary J. Blige,5
6,Phil Collins,5
394,Spice Girls,5
395,Backstreet Boys,5
397,USHER,5
249,Coolio,5
12,Paula Abdul,5
264,Melissa Etheridge,5
355,112,5
46,George Michael,5
369,Busta Rhymes,5
118,LL COOL J,5
87,Amy Grant,5
125,Seal,5
274,Real McCoy,5
253,Aaliyah,5
129,Tevin Campbell,5
414,98º,5
135,Sting,4
1,Roxette,4
188,Jade,4
137,Naughty By Nature,4
367,Joe,4
351,Jewel,4
317,Blackstreet,4
67,Cathy Dennis,4
289,Tim McGraw,4
350,The Goo Goo Dolls,4
0,Wilson Phillips,4
433,Next,4
41,Luther Vandross,4
171,P.M. Dawn,4
164,Jodeci,4
27,Taylor Dayne,4
440,Shania Twain,4
226,Bon Jovi,4
425,Sarah McLachlan,4
422,JAY-Z,4
243,Gin Blossoms,4
178,Richard Marx,4
44,MC Hammer,4
148,Jon Secada,4
399,Third Eye Blind,4
59,Gloria Estefan,4
143,Kris Kross,4
455,*NSYNC,4
179,U2,3
169,Arrested Development,3
177,Genesis,3
114,Bonnie Raitt,3
108,Firehouse,3
297,Montell Jordan,3
211,Meat Loaf,3
195,Shai,3
184,Kenny G,3
140,Salt-N-Pepa,3
218,Snoop Dogg,3
166,Sophie B. Hawkins,3
221,Brian McKnight,3
254,Collective Soul,3
124,UB40,3
229,Zhané,3
157,CeCe Peniston,3
235,Ice Cube,3
244,All-4-One,3
146,Eric Clapton,3
144,Vanessa Williams,3
251,Warren G,3
323,Natalie Merchant,3
347,K-Ci & JoJo,3
187,Def Leppard,3
364,Az Yet,3
47,After 7,3
418,Missy Elliott,3
33,Billy Joel,3
393,LeAnn Rimes,3
381,Deborah Cox,3
443,Will Smith,3
25,SNAP!,3
378,Ginuwine,3
371,Case,3
23,Bobby Brown,3
449,Master P,3
80,C & C Music Factory,3
81,Freedom Williams,3
467,Mýa,3
340,Los Del Rio,3
11,Technotronic,3
3,Bell Biv DeVoe,3
336,Bone Thugs-N-Harmony,3
415,Lil' Kim,3
