,Artist,Count
133,Ludacris,22
365,T-Pain,20
303,Akon,18
285,Kanye West,17
333,Lil Wayne,16
46,Eminem,16
332,T.I.,15
225,Beyoncé,15
53,JAY-Z,15
122,R. Kelly,15
223,Justin Timberlake,14
15,P!nk,14
25,Nelly,14
329,Rihanna,14
192,Kelly Clarkson,13
93,Alicia Keys,13
215,Sean Paul,13
104,USHER,13
224,50 Cent,12
381,Ne-Yo,12
342,Chris Brown,12
70,Snoop Dogg,11
162,Ashanti,11
161,Nickelback,11
94,Ja Rule,11
49,Britney Spears,10
6,Destiny's Child,10
370,Timbaland,10
28,Missy Elliott,10
234,Black Eyed Peas,10
37,Mariah Carey,9
277,Ciara,9
62,Pharrell Williams,9
90,Jennifer Lopez,9
14,3 Doors Down,8
18,Christina Aguilera,8
116,Mary J. Blige,7
453,Taylor Swift,7
166,Linkin Park,7
169,Avril Lavigne,7
172,Diddy,6
397,Keyshia Cole,6
183,Juelz Santana,6
179,Shakira,6
112,Outkast,6
121,Nelly Furtado,6
195,John Mayer,6
86,Bow Wow,6
326,The Pussycat Dolls,6
73,Toby Keith,6
12,Aaliyah,6
130,Fabolous,6
96,Gwen Stefani,6
167,Fat Joe,6
386,Fergie,6
20,*NSYNC,6
226,Chingy,6
1,Santana,6
257,Baby Bash,6
74,Tim McGraw,6
379,The Fray,5
340,Fall Out Boy,5
348,Jeezy,5
0,Faith Hill,5
111,Lil' Kim,5
244,Lil Jon,5
187,No Doubt,5
11,Creed,5
229,Ying Yang Twins,5
153,Kenny Chesney,5
39,Jagged Edge,5
286,Jamie Foxx,5
128,Ginuwine,5
261,Coldplay,4
255,Frankie J,4
324,Green Day,4
274,Maroon 5,4
228,Lil Jon & The East Side Boyz,4
92,Lifehouse,4
218,Alan Jackson,4
207,Busta Rhymes,4
359,Natasha Bedingfield,4
95,Eve,4
461,Katy Perry,4
431,Sean Kingston,4
32,Enrique Iglesias,4
61,Mystikal,4
458,Jordin Sparks,4
463,Miley Cyrus,4
444,Colbie Caillat,4
66,Mýa,4
16,Madonna,4
382,Yung Joc,4
385,The All-American Rejects,4
491,Lady Gaga,4
427,Soulja Boy,4
425,Keri Hilson,4
8,Lonestar,4
4,Joe,4
424,Daughtry,4
455,Flo Rida,4
231,Nate Dogg,3
442,Plies,3
443,OneRepublic,3
129,Lil' Mo,3
248,Jason Mraz,3
127,Case,3
136,Toya,3
158,Nas,3
227,Evanescence,3
50,Jessica Simpson,3
469,Colby O'Donis,3
17,Janet Jackson,3
480,The-Dream,3
220,Jaheim,3
9,Matchbox Twenty,3
175,Michelle Branch,3
214,LL COOL J,3
2,Rob Thomas,3
188,Mario,3
313,Finger Eleven,3
189,Sheryl Crow,3
416,will.i.am,3
88,The Chicks,3
341,Pretty Ricky,3
335,Omarion,3
107,Uncle Kracker,3
108,112,3
344,Bobby V.,3
349,Gavin DeGraw,3
60,Kid Rock,3
67,Dr. Dre,3
77,Tyrese,3
330,The Game,3
393,Hinder,3
355,Carrie Underwood,3
64,Train,3
366,Boosie Badazz,3
317,Lloyd,3
52,Red Hot Chili Peppers,3
357,Jesse McCartney,3
213,Lady Saw,2
198,Five For Fighting,2
367,Webbie,2
462,Kardinal Offishall,2
509,Zac Brown Band,2
387,E-40,2
474,Kevin Rudolf,2
347,David Banner,2
202,I-20,2
493,Pitbull,2
221,B2K,2
374,Chamillionaire,2
205,Daniel Bedingfield,2
495,Drake,2
219,Jewel,2
388,Dem Franchize Boyz,2
372,Wyclef Jean,2
209,Brandy,2
353,Jermaine Dupri,2
230,Murphy Lee,2
456,Leona Lewis,2
430,Unk,2
418,Three 6 Mafia,2
302,Kelis,2
301,JoJo,2
414,Danity Kane,2
409,Ray J,2
287,Lil' Flip,2
426,D.O.E.,2
327,Fatman Scoop,2
429,Jim Jones,2
284,Twista,2
362,John Legend,2
278,Petey Pablo,2
268,Field Mob,2
339,Gorillaz,2
265,Ruben Studdard,2
438,Johnta Austin,2
392,Snow Patrol,2
391,Rascal Flatts,2
