,Genre,Count
4,r&b,162
8,pop,159
19,hip hop,150
46,southern hip hop,101
40,rap,77
45,east coast hip hop,70
0,country,67
48,crunk,59
9,post-grunge,48
29,rock,42
17,contemporary r&b,38
49,gangster rap,35
47,neo soul,33
7,alternative rock,29
6,quiet storm,29
28,pop punk,26
5,smooth r&b,26
54,west coast hip hop,23
53,g-funk,23
30,christmas,22
68,dancehall,18
26,emo,17
71,alternative metal,15
13,latin,14
27,emo pop,14
50,soft pop,13
23,latin pop,12
70,nu metal,12
52,soul,9
75,rap metal,9
41,Unknown,7
64,reggae,7
115,author,7
11,boy band,7
88,acoustic country,7
137,dance-pop,7
1,latin rock,6
105,soca,6
101,singer-songwriter,6
66,ragga,6
83,gangsta rap,5
10,new jack swing,5
3,american,5
20,pop rock,5
24,punk,5
67,riddim,4
154,art pop,4
31,eurodance,4
147,dirty south,4
79,art rock,4
107,christian country,4
149,pop rap,4
44,funk rock,4
2,orchestral,3
61,gospel r&b,3
76,rap rock,3
74,electronic,3
15,salsa,3
16,bachata,3
81,jazz,3
135,hyphy,3
62,gospel,3
55,traditional country,3
112,acoustic pop,3
99,special purpose artist,3
32,europop,3
56,honky tonk,3
85,celtic,2
86,british,2
104,alternative hip hop,2
109,blues,2
100,reggaeton,2
113,heartland rock,2
118,grunge,2
136,indie rock,2
134,hip hop rnb and dance hall,2
90,northern soul,2
117,folk rock,2
91,motown,2
130,alternative country,2
133,modern rock,2
94,hard rock,2
124,jojo,2
103,uk garage,2
142,memphis rap,2
84,new age,2
150,classic pop and rock,2
51,hardcore hip hop,2
144,acoustic rock,2
58,cha cha cha,2
22,industrial rock,2
18,variété française,2
141,horrorcore,2
65,lovers rock,2
14,salsa romantica,2
72,country rock,2
73,deutschrock,2
12,merengue,2
80,country hip hop,2
146,dutch,2
125,christian alternative rock,1
126,christian,1
155,crunkcore,1
153,punk rock,1
127,christian rock,1
123,bubblegum pop,1
152,teen pop,1
129,jungle,1
151,schlager,1
128,ccm,1
148,american idol,1
138,lullaby,1
145,synth-pop,1
131,dance,1
132,clean up,1
143,queer,1
121,chamber music,1
140,glam metal,1
139,folk,1
122,bachata pop,1
78,downtempo,1
120,bounce,1
119,vocal jazz,1
63,rnb,1
60,bleep techno,1
59,miami bass,1
57,dance and electronica,1
43,industrial,1
42,industrial metal,1
39,algerian chaabi,1
38,soft rock,1
37,gnawa,1
36,moroccan chaabi,1
35,raï,1
34,italo dance,1
33,slap house,1
25,skate punk,1
21,breakbeat,1
69,country blues,1
77,trip hop,1
82,classic rock,1
102,dance pop,1
116,jazz rap,1
114,disco,1
111,sexy drill,1
110,qawwali,1
108,progressive rock,1
106,house,1
98,nederpop,1
87,00s,1
97,hardstyle,1
96,ambient,1
95,piano pop,1
93,boogie,1
92,2008 universal fire victim,1
89,funk,1
156,pop country,1
