Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
TiK ToK,Kesha,dance-pop,199693,False,79,185,US,Unknown
Need You Now,Lady A,"pop country, country",277573,False,67,183,US,Country
"Hey, Soul Sister",Train,soft pop,216773,False,78,185,US,Pop
California Gurls,"Katy Perry, Snoop Dogg","west coast hip hop, pop, gangster rap, g-funk, rap, hip hop",234653,False,61,179,"US, US",Hip Hop
OMG (feat. will.i.am),"USHER, will.i.am",r&b,269493,False,69,185,"US, US",R&B
Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",art pop,180480,True,70,111,"US, US",Pop
Love The Way You Lie,"Eminem, Rihanna","rap, hip hop",263373,True,79,184,"US, US",Hip Hop
Bad Romance,Lady Gaga,"art pop, pop",294573,True,79,183,US,Pop
Dynamite,Taio Cruz,contemporary r&b,203866,False,66,4,GB,R&B
Break Your Heart,"Taio Cruz, Ludacris",southern hip hop,186266,False,64,4,"GB, US",Hip Hop
Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars","folk rock, pop",268320,False,73,111,"US, US",Rock
I Like It,"Enrique Iglesias, Pitbull","latin, latin pop",231786,False,62,3,"ES, US",Latin
BedRock,"Young Money, Lloyd",r&b,289253,True,43,70,"CA, GB",R&B
In My Head,Jason Derulo,pop,198960,False,49,2,US,Pop
Rude Boy,Rihanna,pop,222920,True,73,182,US,Pop
Telephone,"Lady Gaga, Beyoncé","art pop, pop",220640,False,65,183,"US, US",Pop
Teenage Dream,Katy Perry,pop,227741,False,64,179,US,Pop
Just the Way You Are,Bruno Mars,pop,220734,False,82,39,US,Pop
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh","french house, nu disco, indie dance",214760,False,45,181,"US, US",Electronic
Imma Be,Black Eyed Peas,hip hop,257560,False,2,0,US,Hip Hop
Empire State Of Mind,"JAY-Z, Alicia Keys","east coast hip hop, neo soul, r&b, rap, hip hop",276920,True,77,184,"US, US",Hip Hop
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",r&b,220800,False,79,185,"US, US",R&B
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars","hip hop, pop",211160,True,69,119,"US, US",Hip Hop
Not Afraid,Eminem,"rap, hip hop",248133,True,74,184,US,Hip Hop
Replay,Iyaz,contemporary r&b,182306,False,67,112,VG,R&B
Sexy Bitch (feat. Akon),"David Guetta, Akon","edm, dance",195853,True,59,184,"FR, SN",Electronic
Breakeven,The Script,rock,261426,False,60,183,GB,Rock
Your Love Is My Drug,Kesha,dance-pop,187133,False,65,185,US,Unknown
I Gotta Feeling,Black Eyed Peas,hip hop,289133,False,3,0,US,Hip Hop
Fireflies,Owl City,pop,228746,False,20,16,US,Pop
Say Aah (feat. Fabolous),"Trey Songz, Fabolous",r&b,207546,False,57,2,"US, US",R&B
