Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Believe,Cher,pop,239026,False,36,170,US,Pop
No Scrubs,TLC,contemporary r&b,214400,False,81,185,US,R&B
Angel Of Mine,Monica,r&b,250026,False,18,150,US,R&B
Heartbreak Hotel (feat. Faith Evans & Kelly Price),"Whitney Houston, Faith Evans, Kelly Price",r&b,281493,False,54,185,"US, US, US",R&B
...Baby One More Time,Britney Spears,pop,211066,False,82,185,US,Pop
Kiss Me,Sixpence None The Richer,pop rock,208680,False,83,185,US,Rock
Genie in a Bottle,Christina Aguilera,pop,217573,False,0,0,US,Pop
Every Morning,Sugar Ray,jazz,221906,False,0,0,US,Jazz
Nobody's Supposed to Be Here,Deborah Cox,2008 universal fire victim,262333,False,55,181,Unknown,Unknown
Livin' la Vida Loca,Ricky Martin,"latin, latin pop",243466,False,0,0,PR,Latin
Where My Girls At,702,r&b,166693,False,61,184,US,R&B
If You Had My Love,Jennifer Lopez,pop,266000,False,0,0,US,Pop
Slide,The Goo Goo Dolls,alternative rock,212066,False,72,172,US,Rock
Have You Ever,Brandy,r&b,273440,False,62,184,US,R&B
I Want It That Way,Backstreet Boys,pop,213306,False,1,0,US,Pop
I'm Your Angel (with Céline Dion),"R. Kelly, Céline Dion","variété française, r&b",332066,False,50,185,"US, CA",Unknown
All Star,Smash Mouth,pop rock,200373,False,78,184,US,Rock
Angel,Sarah McLachlan,pop,270400,False,65,184,CA,Pop
Smooth (feat. Rob Thomas),"Santana, Rob Thomas","latin rock, orchestral",295986,False,47,185,"US, NO",Rock
Unpretty,TLC,contemporary r&b,278066,False,61,185,US,R&B
"Bills, Bills, Bills",Destiny's Child,pop,256026,False,40,183,US,Pop
Save Tonight,Eagle-Eye Cherry,alternative rock,242733,False,72,78,SE,Rock
Last Kiss,Pearl Jam,"post-grunge, grunge, rock",195653,False,0,0,US,Metal
Fortunate,Maxwell,"smooth r&b, r&b, quiet storm, neo soul",301160,False,59,185,US,Unknown
All I Have to Give,Backstreet Boys,pop,274626,False,60,183,US,Pop
Bailamos,Enrique Iglesias,"latin, latin pop",214066,False,55,182,ES,Latin
What's It Gonna Be?! (feat. Janet Jackson),"Busta Rhymes, Janet Jackson","east coast hip hop, new jack swing",324400,True,51,166,"US, US",Hip Hop
What It's Like,Everlast,blues,303133,True,0,0,US,Blues
Fly Away,Lenny Kravitz,rock,221332,False,21,182,US,Rock
Someday,Sugar Ray,jazz,242800,False,65,107,US,Jazz
Lately,Divine,"hi-nrg, italo disco, italo dance",218070,False,13,150,GB,R&B
That Don't Impress Me Much,Shania Twain,country,235666,False,0,0,CA,Country
Wild Wild West (feat. Dru Hill & Kool Mo Dee),"Will Smith, Dru Hill, Kool Moe Dee","quiet storm, east coast hip hop, r&b, new jack swing, smooth r&b",268453,False,52,185,"US, US, US",R&B
Scar Tissue,Red Hot Chili Peppers,"funk rock, alternative rock, rock",215906,False,81,171,US,Rock
Heartbreaker (feat. JAY-Z),"Mariah Carey, JAY-Z","east coast hip hop, rap, hip hop, christmas",285706,False,62,185,"US, US",Hip Hop
I Still Believe,Mariah Carey,christmas,234933,False,0,0,US,Jazz
