Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Somebody That I Used To Know,"Gotye, Kimbra","art pop, indie pop",244973,False,71,4,"AU, US"
Call Me Maybe,Carly Rae Jepsen,pop,193394,False,1,0,CA
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",alternative r&b,250626,False,73,146,"IT, US"
Payphone,"Maroon 5, Wiz Khalifa","rap, pop",231386,True,67,4,"US, US"
Lights - Single Version,Ellie Goulding,electropop,211800,False,59,4,GB
Glad You Came,The Wanted,rock,198186,False,33,4,GB
Stronger (What Doesn't Kill You),Kelly Clarkson,christmas,221946,False,70,182,US
We Found Love,"Rihanna, Calvin Harris",edm,215226,False,56,1,"US, Unknown"
Starships,Nicki Minaj,hip hop,210626,True,69,3,US
What Makes You Beautiful,One Direction,boy band,198053,False,2,0,Unknown
Wild Ones (feat. Sia),"Flo Rida, Sia","pop rap, pop",232946,False,75,170,"US, AU"
Set Fire to the Rain,Adele,soft pop,242973,False,1,0,GB
Sexy And I Know It,LMFAO,pop,199480,False,59,4,US
Some Nights,fun.,italo-disco,277040,True,63,146,IT
Wide Awake,Katy Perry,pop,220946,False,71,184,US
Good Feeling,Flo Rida,pop rap,248133,False,73,170,US
Whistle,Flo Rida,pop rap,224653,False,73,170,US
One More Night,Maroon 5,pop,219466,False,68,4,US
Drive By,Train,soft pop,195973,False,76,185,US
The Motto,"Drake, Lil Wayne","rap, hip hop",181572,True,6,1,"CA, US"
Where Have You Been,Rihanna,pop,242680,False,48,1,US
Everybody Talks,Neon Trees,indie,177280,True,42,181,US
Take Care,"Drake, Rihanna","rap, hip hop",277386,True,10,1,"CA, US"
Titanium (feat. Sia),"David Guetta, Sia","edm, dance",245040,False,52,3,"FR, AU"
I Won't Give Up,Jason Mraz,"acoustic pop, soft pop",240165,False,54,185,US
It Will Rain,Bruno Mars,pop,257847,False,62,2,US
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz","rap, southern hip hop",329320,True,64,119,"GB, US, US, US"
Boyfriend,Justin Bieber,pop,171333,False,0,0,CA
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock","pop, jazz",262146,False,32,4,"US, US, US"
Too Close,Alex Clare,dubstep,256560,False,54,4,GB
Part Of Me,Katy Perry,pop,216160,False,69,184,US
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars","west coast hip hop, rap, hip hop, g-funk, gangster rap",207333,True,70,180,"US, US, US"
We Are Never Ever Getting Back Together,Taylor Swift,pop,191880,False,40,2,US
As Long As You Love Me,"Justin Bieber, Big Sean","pop, hip hop",229466,False,0,0,"CA, US"
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj","edm, dance",199680,False,35,3,"FR, US"
Moves Like Jagger,"Maroon 5, Christina Aguilera",pop,202640,False,64,179,"US, US"
Blow Me (One Last Kiss),P!nk,pop,255586,True,61,185,US
Good Time,"Owl City, Carly Rae Jepsen","pop, pop",205933,False,72,180,"US, CA"
Give Your Heart a Break,Demi Lovato,pop,205346,False,66,163,US
Ni**as In Paris,"JAY-Z, Kanye West","rap, east coast hip hop, hip hop",219333,True,23,1,"US, GB"
The One That Got Away,Katy Perry,pop,227333,False,67,184,US
Feel So Close - Radio Edit,Calvin Harris,edm,206413,False,76,172,Unknown
Someone Like You,Adele,soft pop,285240,False,2,0,GB
Scream,USHER,r&b,234693,False,63,185,US
Rack City,Tyga,hip hop,203200,True,13,0,US
Domino,Jessie J,author,231693,False,63,3,GB
Gangnam Style (강남스타일),PSY,k-pop,219493,False,70,163,KR
International Love (feat. Chris Brown),"Pitbull, Chris Brown",r&b,227280,False,77,185,"US, US"
Home,Phillip Phillips,folk pop,210173,False,65,183,US
Without You (feat. Usher),"David Guetta, USHER","edm, dance, r&b",208133,False,41,3,"FR, US"
Ass Back Home (feat. Neon Hitch),"Gym Class Heroes, Neon Hitch","hip hop, dance-pop",222213,True,57,185,"US, GB"
Wanted,Hunter Hayes,country,228840,False,57,2,US
Drunk On You,Luke Bryan,"acoustic country, country",213546,False,0,0,CA
No Lie,"2 Chainz, Drake","rap, southern hip hop, hip hop",237826,True,55,4,"US, CA"
Want U Back,Cher Lloyd,pop,214573,False,58,28,US
Don't Wake Me Up,Chris Brown,r&b,222306,False,57,185,US
Dance (A$$) Remix,"Big Sean, Nicki Minaj","hip hop, hip hop",220346,True,0,0,"US, US"
Springsteen,Eric Church,"acoustic country, country",263386,False,71,183,GB
Brokenhearted,Karmin,Unknown,228613,False,21,180,US
Not Over You,Gavin DeGraw,pop,218546,False,18,181,US
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine","hip hop, pop",210960,False,77,185,"US, US"
"Back in Time - featured in ""Men In Black 3""",Pitbull,dance-pop,205680,False,47,171,US
Work Out,J. Cole,rap,235320,True,76,179,GB
Rumour Has It,Adele,soft pop,221426,False,0,0,GB
Let's Go (feat. Ne-Yo),"Calvin Harris, Ne-Yo",edm,232800,False,61,172,"Unknown, US"
Good Girl,Carrie Underwood,country,205560,False,53,183,US
Pontoon,Little Big Town,country,212320,False,56,184,US
Ho Hey,The Lumineers,"indie folk, folk pop",163106,False,0,0,GB
Paradise,Coldplay,alternative rock,278719,False,79,183,GB
Blown Away,Carrie Underwood,country,240133,False,57,183,US
Rolling in the Deep,Adele,soft pop,228293,False,23,0,GB
