Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
California Dreamin' - Single Version,The Mamas & The Papas,sunshine pop,162373,False,76,184,US
96 Tears,? & The Mysterians,"acid rock, proto-punk, garage rock",176866,False,37,95,US
What Becomes Of The Brokenhearted,Jimmy Ruffin,"northern soul, soul, motown",178440,False,54,180,US
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,pop,164093,False,47,182,US
Reach Out I'll Be There,Four Tops,"northern soul, soul, motown",178533,False,63,184,US
These Boots Are Made for Walkin',Nancy Sinatra,jazz,167786,False,58,185,US
Cherish,The Association,"acid rock, baroque pop",207133,False,49,184,GB
Strangers In The Night,Frank Sinatra,"big band, jazz, adult standards, christmas, vocal jazz, swing music",157866,False,72,184,US
Kicks,Paul Revere & The Raiders,"proto-punk, garage rock",151026,False,39,185,US
The Ballad Of The Green Berets,Sgt. Barry Sadler,Unknown,146400,False,42,185,US
Good Lovin' - Single Version,The Young Rascals,blue-eyed soul,150906,False,24,184,US
(You're My) Soul And Inspiration,The Righteous Brothers,pop,201253,False,49,88,US
You Can't Hurry Love,The Supremes,"northern soul, soul, motown",167933,False,71,184,US
Sunny,Bobby Hebb,northern soul,165066,False,65,100,US
See You in September,The Happenings,baroque pop,147278,False,30,185,GB
Lil' Red Riding Hood,Sam The Sham & The Pharaohs,garage rock,161560,False,43,183,US
Lightnin' Strikes,Lou Christie,doo-wop,179000,False,20,184,GB
The Poor Side Of Town,Johnny Rivers,country,218386,False,42,184,US
Working in the Coal Mine,Lee Dorsey,"northern soul, soul",169480,False,31,185,US
A Groovy Kind Of Love,The Mindbenders,rock,119013,False,33,92,GB
You Don't Have To Say You Love Me,Dusty Springfield,pop,168466,False,42,183,GB
Sunshine Superman,Donovan,"folk rock, psychedelic rock",195000,False,53,183,GB
Born A Woman,Sandy Posey,christian country,114040,False,12,185,US
"Monday, Monday - Single Version",The Mamas & The Papas,folk rock,208293,False,63,184,US
Red Rubber Ball,The Cyrkle,"psychedelic pop, baroque pop",139493,False,28,185,GB
Born Free,Roger Williams,orchestra,141500,False,24,183,US
Walk Away Renee,The Left Banke,"psychedelic pop, chamber pop, baroque pop",164813,False,45,184,US
Cool Jerk,The Capitols,"northern soul, motown",166746,False,40,183,GB
B-A-B-Y,Carla Thomas,"northern soul, motown, soul",177000,False,54,184,US
Hanky Panky - Single Version,Tommy James & The Shondells,garage rock,172400,False,46,184,US
When a Man Loves a Woman,Percy Sledge,"soul, motown",173866,False,69,184,US
Time Won't Let Me,The Outsiders,"northern soul, garage rock",181733,False,39,184,GB
Bus Stop,The Hollies,pop,174640,False,0,0,GB
"Paint It, Black",The Rolling Stones,"classic rock, rock",202266,False,81,184,GB
Summer in the City - Remastered,The Lovin' Spoonful,folk rock,160306,False,61,185,US
I'm So Lonesome I Could Cry,B.J. Thomas,2008 universal fire victim,190080,False,31,185,US
My Love,Petula Clark,2008 universal fire victim,164133,False,39,185,GB
Daydream,The Lovin' Spoonful,folk rock,139093,False,56,185,US
Ain't Too Proud To Beg,The Temptations,"soul, motown",156173,False,63,180,US
Wild Thing,The Troggs,proto-punk,155333,False,61,184,GB
Elusive Butterfly,Bob Lind,baroque pop,168533,False,40,182,US
I Am a Rock,Simon & Garfunkel,"folk, folk rock",169520,False,56,185,US
Dirty Water,The Standells,"proto-punk, garage rock",167253,False,42,184,GB
Hooray for Hazel,Tommy Roe,bubblegum pop,153744,False,2,185,US
Crying Time,Ray Charles,"soul, blues, jazz blues, soul blues, vocal jazz",175771,False,23,185,US
Sweet Pea,Tommy Roe,bubblegum pop,131590,False,5,185,US
"Secret Agent Man - Live At Whisky A Go-Go, Los Angeles, CA / 1966",Johnny Rivers,country,185360,False,31,184,US
Did You Ever Have to Make up Your Mind?,The Lovin' Spoonful,folk rock,119373,False,37,185,US
We Can Work It Out - Remastered 2015,The Beatles,"classic rock, psychedelic rock",135693,False,54,184,GB
Homeward Bound,Simon & Garfunkel,"folk, folk rock",149613,False,63,185,US
Uptight (Everything's Alright),Stevie Wonder,"soul, motown",175066,False,0,0,US
Bang Bang (My Baby Shot Me Down),Cher,pop,165293,False,40,184,US
Sloop John B,The Beach Boys,baroque pop,180133,False,50,184,US
19th Nervous Breakdown - Mono Version,The Rolling Stones,"classic rock, rock",236533,False,26,184,GB
Wipe Out,The Surfaris,surf rock,133933,False,35,184,GB
Psychotic Reaction,Count Five,"acid rock, proto-punk, psychedelic rock, garage rock",185523,False,51,183,US
Paperback Writer - Remastered 2015,The Beatles,"classic rock, psychedelic rock",138200,False,49,184,GB
Beauty Is Only Skin Deep - Mono SIngle,The Temptations,"soul, motown",144506,False,40,184,US
No Matter What Shape (Your Stomach's In),The T-Bones,Unknown,136853,False,31,182,Unknown
Barefootin',Robert Parker,northern soul,157172,False,34,185,DE
Just Like Me,Paul Revere & The Raiders,"proto-punk, garage rock",153293,False,29,185,US
Love Makes the World Go Round,Deon Jackson,northern soul,148800,False,15,185,US
The Pied Piper,Crispian St. Peters,Unknown,151666,False,42,185,GB
"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")",The Ray Conniff Singers,"orchestra, easy listening, christmas",148626,False,40,185,US
Almost Persuaded,David Houston,"traditional country, christian country",176360,False,42,185,Unknown
If I Were a Carpenter,Bobby Darin,"big band, doo-wop, adult standards, swing music",143833,False,28,185,US
Don't Mess With Bill - Stereo Version,The Marvelettes,"northern soul, doo-wop, motown",169773,False,10,183,US
"Cherry, Cherry",Neil Diamond,singer-songwriter,163400,False,52,183,US
Message to Michael,Dionne Warwick,pop,188880,False,24,184,US
Love Is A Hurtin' Thing,Lou Rawls,"philly soul, soul blues",133400,False,6,182,US
Gloria,The Shadows Of Knight,"acid rock, proto-punk, psychedelic rock, garage rock",157333,False,36,184,US
My World Is Empty Without You,The Supremes,"northern soul, soul, motown",154426,False,47,180,US
Barbara Ann - Stereo Mix/Remastered 2012,The Beach Boys,baroque pop,133453,False,34,184,US
Rainy Day Women #12 & 35,Bob Dylan,"singer-songwriter, roots rock, country rock, folk, folk rock",274066,False,49,185,US
Guantanamera,The Sandpipers,rock,194933,False,29,29,GB
I'm Your Puppet,James & Bobby Purify,"northern soul, motown",178986,False,53,185,US
Land of 1000 Dances,Wilson Pickett,"northern soul, soul, motown",146973,False,61,184,US
Oh How Happy,Shades Of Blue,Unknown,137706,False,1,182,Unknown
Woman,Peter And Gordon,english,147826,False,32,185,GB
You Baby - Remastered,The Turtles,rock,136052,False,3,185,GB
Sweet Talkin' Guy,The Chiffons,"doo-wop, motown",143893,False,19,182,GB
Five O'Clock World,The Vogues,doo-wop,147466,False,29,184,GB
Black Is Black,Los Bravos,beat music,176600,False,52,185,ES
Nowhere Man - Remastered 2009,The Beatles,"classic rock, psychedelic rock",163693,False,62,184,GB
Dandy,Herman's Hermits,british,123066,False,23,121,GB
"Baby, Scratch My Back",Slim Harpo,"classic blues, blues",174133,False,19,183,US
She's Just My Style - Remastered,Gary Lewis & The Playboys,rock,195280,False,32,184,US
The More I See You,Chris Montez,classic pop and rock,163920,False,42,184,US
I Fought the Law,The Bobby Fuller Four,pop rock,135666,False,20,184,US
Yellow Submarine - Remastered 2009,The Beatles,"classic rock, psychedelic rock",158880,False,56,184,GB
Hungry,"Paul Revere & The Raiders, Mark Lindsay","proto-punk, garage rock",178866,False,31,185,"US, GB"
Zorba The Greek,Herb Alpert & The Tijuana Brass,"exotica, adult standards",264853,False,33,185,US
Shapes of Things - 2015 Remaster,The Yardbirds,"blues rock, acid rock, psychedelic rock",145960,False,38,185,GB
Along Comes Mary,The Association,"acid rock, baroque pop",171000,False,46,184,GB
634-5789,Wilson Pickett,"northern soul, soul, motown",178586,False,35,184,US
Devil with the Blue Dress On / Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,northern soul,186000,False,20,184,US
Wouldn't It Be Nice,The Beach Boys,baroque pop,153205,False,65,184,US
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,"northern soul, soul, motown, quiet storm",172733,False,63,183,US
Green Grass - Remastered,Gary Lewis & The Playboys,rock,135160,False,30,184,US
A Well Respected Man,The Kinks,"baroque pop, proto-punk",161920,False,0,0,GB
