Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Too Close,Next,contemporary r&b,259440,True,65,185,US,R&B
The Boy Is Mine,"Brandy, Monica",r&b,294786,False,73,184,"US, US",R&B
You're Still The One,Shania Twain,country,212200,False,69,184,CA,Country
Truly Madly Deeply,Savage Garden,pop,277266,False,68,185,AU,Pop
How Do I Live,LeAnn Rimes,country,266973,False,71,185,US,Country
Together Again,Janet Jackson,new jack swing,301200,False,1,0,US,R&B
All My Life,K-Ci & JoJo,r&b,331240,False,70,184,US,R&B
Candle In The Wind 1997,Elton John,pop,250106,False,55,184,GB,Pop
Nice & Slow - Radio Version,USHER,r&b,227906,False,64,185,US,R&B
I Don't Want to Wait,Paula Cole,jazz,320026,False,62,184,US,Jazz
How's It Going to Be,Third Eye Blind,alternative rock,253413,False,67,184,US,Rock
"No, No, No Pt. 2 (feat. Wyclef Jean)","Destiny's Child, Wyclef Jean","pop, hip hop",207733,False,42,177,"US, Unknown",Pop
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,variété française,280000,False,0,0,CA,Unknown
Gettin' Jiggy Wit It,Will Smith,hip hop,227933,False,41,167,US,Hip Hop
You Make Me Wanna...,USHER,r&b,219120,False,67,185,US,R&B
My Way,USHER,r&b,214853,False,54,185,US,R&B
My All,Mariah Carey,christmas,230933,False,69,185,US,Jazz
The First Night,Monica,r&b,235573,False,44,185,US,R&B
Been Around the World (feat. The Notorious B.I.G. & Mase),"Puff Daddy & The Family, The Notorious B.I.G., Mase","gangster rap, hip hop, east coast hip hop",325933,True,54,183,"US, US, Unknown",Hip Hop
Adia,Sarah McLachlan,pop,244666,False,51,184,CA,Pop
Crush,Jennifer Paige,pop,200293,False,54,185,US,Pop
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,pop,225360,False,76,183,US,Pop
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,"rock, classic rock",298760,False,73,185,US,Rock
Body Bumpin' (Yippie-Yi-Yo),Public Announcement,"quiet storm, new jack swing",275933,False,44,184,US,R&B
This Kiss,Faith Hill,country,194906,False,53,184,US,Country
I Don't Ever Want to See You Again,Uncle Sam,quiet storm,345133,False,49,185,US,R&B
Let's Ride,"Montell Jordan, Silkk The Shocker, Master P","gangster rap, southern hip hop, new jack swing",292466,False,32,183,"US, US, US",Hip Hop
Sex & Candy,Marcy Playground,alternative rock,173493,False,70,184,US,Rock
Show Me Love - Radio Version,Robyn,european,229226,False,52,185,SE,Unknown
A Song For Mama,Boyz II Men,"quiet storm, r&b, new jack swing",303373,False,52,175,US,R&B
What You Want (feat. Total),"Mase, Total","r&b, new jack swing",242946,True,65,184,"Unknown, ES",R&B
