Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Surfin' U.S.A. - Remastered 2001,The Beach Boys,surf rock,149373,False,69,184,US
The End of the World,Skeeter Davis,country,157573,False,65,184,US
Rhythm of the Rain,The Cascades,doo-wop,146360,False,58,184,GB
He's So Fine,The Chiffons,"motown, doo-wop",115493,False,34,182,GB
Blue Velvet,Bobby Vinton,"doo-wop, adult standards",167213,False,45,182,US
Hey Paula,Paul & Paula,doo-wop,149237,False,25,161,US
Fingertips - Original Studio Version,Stevie Wonder,"motown, soul",176040,False,0,0,US
Can't Get Used to Losing You,Andy Williams,"christmas, adult standards",141786,False,31,185,US
My Boyfriend's Back,The Angels,doo-wop,155271,False,8,184,GB
Sukiyaki,Kyu Sakamoto,"kayokyoku, enka",187663,False,44,161,JP
So Much In Love,The Tymes,"motown, doo-wop, philly soul, northern soul",140466,False,0,0,GB
"Puff, the Magic Dragon","Peter, Paul and Mary","folk rock, folk",206866,False,57,185,"AT, US"
Blowin' in the Wind,"Peter, Paul and Mary","folk rock, folk",177360,False,52,185,"AT, US"
Wipe Out,The Surfaris,surf rock,166092,False,48,176,GB
I Love You Because,Al Martino,"easy listening, adult standards",161071,False,0,161,US
Wild Weekend,The Rebels,calypso,133564,False,2,161,GB
You're The Reason I'm Living,Bobby Darin,"doo-wop, adult standards, big band, swing music",148533,False,6,184,US
Walk Like a Man,Frankie Valli & The Four Seasons,"doo-wop, northern soul",137933,False,54,171,US
Mockingbird,Inez Foxx,northern soul,158040,False,4,184,US
I Will Follow Him,Peggy March,schlager,148160,False,53,185,US
Pipeline,The Chantays,surf rock,142785,False,16,161,GB
Surf City - Remastered 1990/Stereo Remix,Jan & Dean,"doo-wop, surf rock",163026,False,38,184,US
It's My Party,Lesley Gore,teen pop,140000,False,0,0,US
Blame It on the Bossa Nova,Eydie Gormé,bolero,148023,False,0,184,US
You Can't Sit Down,The Dovells,doo-wop,139186,False,0,0,GB
Heat Wave,Martha Reeves & The Vandellas,"motown, soul, northern soul",162093,False,0,0,US
Denise,Randy & The Rainbows,doo-wop,119980,False,15,161,US
Walk Right In,The Rooftop Singers,Unknown,157266,False,43,184,US
If You Wanna Be Happy,Jimmy Soul,reggae,143229,False,22,161,JM
If I Had a Hammer,Trini Lopez,death by covid-19,179400,False,0,0,US
Easier Said Than Done,The Essex,doo-wop,126040,False,33,185,GB
Ruby Baby,Dion,doo-wop,157675,False,13,161,CA
Our Day Will Come - Single Version,Ruby And The Romantics,doo-wop,150586,False,0,0,US
Hello Stranger,Barbara Lewis,"doo-wop, northern soul",164346,False,0,0,US
Be My Baby,The Ronettes,christmas,160906,False,71,185,GB
South Street,The Orlons,"doo-wop, philly soul, northern soul",134227,False,0,184,GB
Days Of Wine And Roses - REMASTERED,Henry Mancini,"easy listening, adult standards, exotica",126933,False,23,172,US
The Monkey Time,Major Lance,"motown, soul, northern soul",165722,False,1,184,US
Candy Girl,Frankie Valli & The Four Seasons,"doo-wop, northern soul",157800,False,28,171,US
Sugar Shack,"Jimmy Gilmer, The Fireballs","rockabilly, surf rock",120084,False,4,161,"US, GB"
Still,Bill Anderson,"christian country, traditional country",172225,False,0,0,US
Blue On Blue,Bobby Vinton,"doo-wop, adult standards",149200,False,12,182,US
Cry Baby,"Garnet Mimms, The Enchanters","soul, northern soul",203572,False,1,161,"US, GB"
Two Faces Have I,Lou Christie,doo-wop,169157,False,0,181,GB
Busted,Claes Janson,swedish ballads,189173,False,6,181,SE
Da Doo Ron Ron (When He Walked Me Home),The Crystals,doo-wop,140120,False,52,185,GB
Foolish Little Girl,The Shirelles,"motown, doo-wop",137293,False,0,0,US
Memphis,Lonnie Mack,"blues, blues rock, modern blues",152003,False,0,0,US
In Dreams,Roy Orbison,rockabilly,169160,False,50,185,US
More (Theme From Mondo Cane),"Kai Winding, Kenny Burrell","jazz blues, bebop, soul jazz, hard bop, cool jazz, jazz",122373,False,28,184,"US, US"
I Can't Stay Mad at You,Skeeter Davis,country,126600,False,25,184,US
Losing You,Brenda Lee,christmas,152706,False,0,0,Unknown
Mean Woman Blues,Roy Orbison,rockabilly,144533,False,32,185,US
Our Winter Love,Bill Pursell,jazz,148212,False,4,181,US
I Wanna Be Around...,Tony Bennett,"christmas, adult standards, vocal jazz, jazz, big band",131226,False,39,185,US
You've Really Got A Hold On Me,The Miracles,"motown, doo-wop",177706,False,0,0,US
Sally Go Round The Roses,The Jaynetts,doo-wop,195400,False,29,181,GB
(You're The) Devil In Disguise,Elvis Presley,"rockabilly, rock and roll",140306,False,0,0,US
"Those Lazy, Hazy, Crazy Days Of Summer",Nat King Cole,"christmas, adult standards, vocal jazz",145013,False,39,184,US
Baby Workout,Jackie Wilson,"motown, soul, northern soul",182413,False,31,184,US
Pride And Joy,Marvin Gaye,"motown, soul, northern soul, quiet storm",155266,False,0,0,US
Deep Purple,Nino Tempo & April Stevens,traditional pop,160133,False,31,184,US
From A Jack To A King,Ned Miller,jazz,131426,False,5,184,US
Up on the Roof,The Drifters,"motown, doo-wop",155053,False,42,184,US
