Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Only Human,Jonas Brothers,teen pop,183000,False,65,184,US
Knockin' Boots,Luke Bryan,"acoustic country, country",199382,False,53,184,CA
Trip,Ella Mai,r&b,213993,False,68,179,US
Rumor,Lee Brice,"acoustic country, country",198440,False,71,185,US
Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",melodic rap,189486,True,65,185,"US, US"
How Do You Sleep?,Sam Smith,soft pop,202204,False,63,184,GB
Baby (Lil Baby feat. DaBaby),"Quality Control, Lil Baby, DaBaby","hip hop, hip hop",142417,True,71,179,"Unknown, US, US"
Look What God Gave Her,Thomas Rhett,"acoustic country, country, pop country",168960,False,60,184,US
Good as You,Kane Brown,"pop country, country",192053,False,55,185,US
Clout (feat. Cardi B),"Offset, Cardi B","hip hop, hip hop",205803,True,61,182,"US, US"
Love Lies,"Khalid, Normani",contemporary r&b,201707,True,71,185,"US, US"
One Thing Right,"Marshmello, Kane Brown","pop country, country, edm",181823,False,11,0,"US, US"
Cash Shit (feat. DaBaby),"Megan Thee Stallion, DaBaby","hip hop, hip hop",192539,True,60,185,"US, US"
Tequila,Dan + Shay,country,195986,False,52,184,US
Shotta Flow,NLE Choppa,gangsta rap,160013,True,0,0,US
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj","hip hop, hip hop, hip hop",199427,True,56,185,"US, US, US"
Talk You Out Of It,Florida Georgia Line,"pop country, acoustic country, country",202920,False,55,184,US
Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",pop,180000,False,65,184,"US, US"
Eyes On You,Chase Rice,"acoustic country, country",182493,False,0,0,US
All To Myself,Dan + Shay,country,169612,False,41,184,US
boyfriend (with Social House),"Ariana Grande, Social House",pop,186106,True,73,179,"US, AU"
Walk Me Home,P!nk,pop,177390,False,45,184,US
Robbery,Juice WRLD,"melodic rap, emo rap",240050,True,3,0,US
