Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Physical,Olivia Newton-John,classic pop and rock,224773,False,0,0,AU,Unknown
Eye of the Tiger,Survivor,hard rock,243773,False,77,101,US,Rock
I Love Rock 'N Roll,Joan Jett & the Blackhearts,rock,175173,False,76,185,US,Rock
Ebony And Ivory,Paul McCartney,pop,220773,False,36,184,GB,Pop
Centerfold,The J. Geils Band,classic rock,216533,False,69,184,US,Rock
Don't You Want Me,The Human League,"new wave, synthpop",236920,False,77,184,GB,Rock
Jack & Diane,John Mellencamp,classic rock,255040,False,0,0,US,Rock
Hurts So Good,John Mellencamp,classic rock,219093,False,0,0,US,Rock
Abracadabra,Steve Miller Band,classic rock,308066,False,0,0,US,Rock
Hard to Say I´m Sorry,Chicago,soft rock,308626,False,0,0,US,Rock
Tainted Love,Soft Cell,"new wave, synthpop",156906,False,1,0,GB,Rock
Chariots Of Fire,Vangelis,new age,209066,False,0,0,GR,New age
Harden My Heart,Quarterflash,2008 universal fire victim,232626,False,55,184,US,Unknown
Rosanna,TOTO,soft rock,331200,False,73,185,US,Rock
I Can't Go for That (No Can Do),Daryl Hall & John Oates,soft rock,307306,False,66,185,US,Rock
867-5309 / Jenny,Tommy Tutone,rock,226200,False,61,185,US,Rock
Key Largo,Bertie Higgins,soft rock,200173,False,24,185,US,Rock
You Should Hear How She Talks About You,Melissa Manchester,2008 universal fire victim,256386,False,41,84,US,Unknown
Waiting for a Girl like You,Foreigner,"album rock, classic rock",292066,False,75,175,US,Rock
Don't Talk to Strangers,Rick Springfield,power pop,180360,False,49,182,AU,Pop
The Sweetest Thing (I've Ever Known),Juice Newton,country,247226,False,44,184,US,Country
Always On My Mind,Willie Nelson,"country, honky tonk, traditional country",212666,False,62,185,US,Country
Shake It Up,The Cars,"new wave, power pop, classic rock",215440,False,46,184,GB,Rock
Let It Whip,Dazz Band,"funk, post-disco",281280,False,58,184,US,R&B
We Got The Beat,The Go-Go's,new wave,153133,False,58,184,US,Rock
The Other Woman,Ray Parker Jr.,2008 universal fire victim,247960,False,34,185,US,Unknown
Turn Your Love Around,George Benson,"jazz funk, soul jazz, smooth jazz",230106,False,58,183,US,Jazz
Sweet Dreams,Air Supply,soft rock,322426,False,43,171,AU,Rock
Only The Lonely - Remastered 1999,The Motels,new wave,196200,False,52,184,GB,Rock
Who Can It Be Now?,Men At Work,rock,201293,False,73,185,AU,Rock
Hold Me,Fleetwood Mac,"soft rock, classic rock",225333,False,63,185,GB,Rock
Eye In The Sky,The Alan Parsons Project,"progressive rock, symphonic rock, classic rock",276466,False,0,0,GB,Rock
Let's Groove,"Earth, Wind & Fire",disco,339320,False,78,185,"US, US",R&B
Open Arms,Journey,"album rock, classic rock",202173,False,3,0,US,Rock
Leader of the Band,Dan Fogelberg,soft rock,256399,False,60,185,US,Rock
Leather and Lace - 2016 Remaster,"Stevie Nicks, Don Henley","rock, rock",225573,False,56,184,"US, US",Rock
Even the Nights Are Better,Air Supply,soft rock,237106,False,65,170,AU,Rock
I've Never Been to Me,Charlene,pop,240440,False,0,0,US,Pop
'65 Love Affair,Paul Davis,soft rock,233800,False,38,185,US,Rock
Heat Of The Moment,Asia,"album rock, progressive rock, arena rock",227893,False,69,184,GB,Rock
Take It Easy On Me - Remastered 2010,Little River Band,soft rock,227080,False,0,0,AU,Rock
Pac-Man Fever,Buckner & Garcia,novelty songs,229041,False,34,185,US,Unknown
That Girl,Stevie Wonder,"motown, soul",314520,False,15,184,US,R&B
Private Eyes,Daryl Hall & John Oates,soft rock,217200,False,65,185,US,Rock
Trouble,Lindsey Buckingham,rock,236533,False,57,184,US,Rock
Making Love,Roberta Flack,adult standards,224733,False,48,185,US,Easy listening
Love's Been A Little Bit Hard On Me,Juice Newton,country,194733,False,39,184,US,Country
Young Turks,Rod Stewart,soft rock,303333,False,40,184,GB,Rock
Freeze-Frame,The J. Geils Band,classic rock,237506,False,53,184,US,Rock
Keep the Fire Burnin',REO Speedwagon,"soft rock, album rock, classic rock",234893,False,37,185,US,Rock
Do You Believe In Love,Huey Lewis & The News,rock,209000,False,59,184,US,Rock
Cool Night,Paul Davis,soft rock,218826,False,53,185,US,Rock
Caught Up In You,38 Special,"album rock, southern rock, classic rock",279333,False,64,153,US,Rock
Why Do Fools Fall In Love,Diana Ross,"motown, disco",173413,False,25,2,US,R&B
Love in the First Degree,Alabama,"country, country rock, christian country",199200,False,40,185,Unknown,Country
"Hooked on Classics, Pts. 1 & 2","Royal Philharmonic Orchestra, Louis Clark","orchestra, classical, symphonic rock",306133,False,37,185,"GB, US",Classical
Wasted on the Way - 2018 Remaster,"Crosby, Stills & Nash",folk rock,171746,False,0,0,"US, US",Rock
Think I'm In Love,Eddie Money,classic rock,188533,False,52,185,US,Rock
Love Is in Control (Finger on the Trigger),Donna Summer,"hi-nrg, disco",260200,False,0,0,US,R&B
Personally,Karla Bonoff,aor,216000,False,26,184,US,Unknown
One Hundred Ways,"Quincy Jones, James Ingram","quiet storm, big band, soul jazz",259040,False,55,184,"US, US",R&B
Blue Eyes - Remastered 2003,Elton John,pop,206266,False,55,184,GB,Pop
Our Lips Are Sealed - Single Version,The Go-Go's,new wave,167960,False,59,184,US,Rock
You Could Have Been With Me,Sheena Easton,pop,217520,False,31,184,GB,Pop
You Can Do Magic,America,"soft rock, folk rock",237466,False,67,184,US,Rock
Did It In A Minute,Daryl Hall & John Oates,soft rock,217226,False,37,185,US,Rock
I Ran (So Far Away),A Flock Of Seagulls,"new wave, synthpop",308933,False,63,185,GB,Rock
Somebody's Baby,Jackson Browne,"soft rock, singer-songwriter, folk rock",262733,False,58,165,US,Rock
Oh No,Commodores,motown,184306,False,49,183,US,R&B
Take It Away - Remixed 2015,Paul McCartney,pop,256053,False,18,184,GB,Pop
It's Gonna Take a Miracle,Deniece Williams,soul,250813,False,40,185,US,R&B
Love Will Turn You Around,Kenny Rogers,country,221193,False,49,184,US,Country
Don't Stop Believin',Journey,"album rock, classic rock",250986,False,15,0,US,Rock
Comin' In and out of Your Life,Barbra Streisand,adult standards,248666,False,38,185,US,Easy listening
Gloria,Laura Branigan,pop,295066,False,61,184,US,Pop
Empty Garden (Hey Hey Johnny) - Remastered 2003,Elton John,pop,308200,False,50,184,GB,Pop
Yesterday's Songs,Neil Diamond,singer-songwriter,169000,False,29,184,US,Folk/Acoustic
Crimson and Clover,Joan Jett & the Blackhearts,rock,197493,False,54,185,US,Rock
Every Little Thing She Does Is Magic,The Police,new wave,260573,False,76,179,GB,Rock
Here I Am (Just When I Thought I Was Over You),Air Supply,soft rock,230400,False,66,171,AU,Rock
I Keep Forgettin' (Every Time You're Near),Michael McDonald,motown,222280,False,66,184,US,R&B
Get Down On It,Kool & The Gang,"funk, disco",293666,False,67,184,US,R&B
Any Day Now,Ronnie Milsap,"country, traditional country",222400,False,49,184,US,Country
