Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Silly Love Songs - 2014 Remaster,Wings,rock,354240,False,62,184,GB,Rock
Don't Go Breaking My Heart,"Elton John, Kiki Dee","pop, classic pop and rock",275440,False,79,184,"GB, GB",Pop
Disco Lady,Johnnie Taylor,"soul, soul blues, blues",267066,False,39,185,US,R&B
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,"doo-wop, northern soul",197146,False,75,171,US,Blues
Play That Funky Music,Wild Cherry,disco,300000,False,71,185,US,R&B
Kiss and Say Goodbye,The Manhattans,"motown, philly soul",266733,False,60,185,GB,R&B
Love Machine - Pt. 1,The Miracles,"doo-wop, motown",181440,False,41,184,US,Blues
50 Ways to Leave Your Lover,Paul Simon,singer-songwriter,217346,False,74,185,US,Folk/Acoustic
Love Is Alive,Gary Wright,soft rock,230106,False,54,184,US,Rock
A Fifth Of Beethoven,Walter Murphy,disco,182533,False,27,184,Unknown,R&B
Sara Smile,Daryl Hall & John Oates,soft rock,185293,False,67,185,US,Rock
Afternoon Delight,Starland Vocal Band,soft rock,193040,False,0,0,US,Rock
I Write the Songs,Barry Manilow,adult standards,235800,False,50,185,US,Easy listening
Fly Robin Fly,Silver Convention,disco,230920,False,47,181,DE,R&B
Love Hangover - Single Version,Diana Ross,"disco, motown",229373,False,39,184,US,R&B
Get Closer,Seals and Crofts,soft rock,238146,False,50,184,US,Rock
"More, More, More",Andrea True Connection,disco,376866,False,55,185,US,R&B
Bohemian Rhapsody - Remastered 2011,Queen,"classic rock, rock, glam rock",354320,False,79,178,GB,Rock
Misty Blue,Dorothy Moore,blues,222400,False,53,185,US,Blues
Boogie Fever,The Sylvers,disco,211413,False,44,184,GB,R&B
I'd Really Love to See You Tonight,England Dan & John Ford Coley,soft rock,159106,False,68,184,US,Rock
You Sexy Thing,Hot Chocolate,soul,244920,False,71,185,GB,R&B
Love Hurts - Single Edit,Nazareth,hard rock,232120,False,2,0,GB,Rock
Get Up and Boogie (That's Right) - Radio Mix,Silver Convention,disco,170066,False,40,181,DE,R&B
Take It to the Limit - 2013 Remaster,Eagles,"classic rock, soft rock",287090,False,64,170,US,Rock
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,disco,185640,False,55,181,US,R&B
Sweet Love - Single Version,Commodores,motown,207266,False,17,182,US,R&B
Right Back Where We Started From,Maxine Nightingale,classic pop and rock,192266,False,54,185,GB,Unknown
Theme From S.W.A.T.,Rhythm Heritage,Unknown,201493,False,31,178,US,Unknown
Love Rollercoaster,Ohio Players,soul,290160,False,57,184,US,R&B
You Should Be Dancing,Bee Gees,disco,253866,False,25,184,GB,R&B
You'll Never Find Another Love Like Mine,Lou Rawls,"soul blues, philly soul",266200,False,63,185,US,Blues
Golden Years - 2016 Remaster,David Bowie,"art rock, glam rock",243280,False,60,184,Unknown,Rock
Moonlight Feels Right,Starbuck,soft rock,221066,False,51,185,US,Rock
Only Sixteen,Dr. Hook,rock,167400,False,46,184,US,Rock
Let Your Love Flow,The Bellamy Brothers,country,196826,False,72,185,US,Country
Dream Weaver,Gary Wright,soft rock,256173,False,57,184,US,Rock
"Turn the Beat Around - 7"" Single Edit",Vicki Sue Robinson,disco,204653,False,40,185,US,R&B
Lonely Night (Angel Face),Captain & Tennille,soft rock,198200,False,27,175,US,Rock
All By Myself,Eric Carmen,blues rock,430000,False,63,185,GB,Rock
Love To Love You Baby,Donna Summer,"disco, hi-nrg",1008533,False,49,184,US,R&B
Deep Purple,"Donny Osmond, Marie Osmond",classic pop and rock,167133,False,19,93,"US, US",Unknown
Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross,"disco, motown",204493,False,46,184,US,R&B
Sweet Thing,"Rufus & Chaka Khan, Chaka Khan",funk,200840,False,0,0,"US, US",R&B
That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band,disco,185106,False,60,113,US,R&B
A Little Bit More,Dr. Hook,rock,173960,False,26,184,US,Rock
Shannon,Henry Gross,classical,233746,False,26,185,GB,Classical
If You Leave Me Now,Chicago,soft rock,235373,False,75,184,US,Rock
Lowdown,Boz Scaggs,album rock,315640,False,4,0,US,Rock
Show Me The Way - Live,Peter Frampton,classic rock,272466,False,51,184,GB,Rock
Dream On,Aerosmith,"classic rock, rock",266960,False,10,0,US,Rock
I Love Music,The O'Jays,"motown, soul, quiet storm, philly soul",411093,False,0,0,US,R&B
Say You Love Me,Fleetwood Mac,"classic rock, soft rock",249946,False,66,184,GB,Rock
Times Of Your Life,Paul Anka,adult standards,195760,False,49,183,CA,Easy listening
Devil Woman - 2001 Remaster,Cliff Richard,christmas,217373,False,47,185,GB,Jazz
Fooled Around And Fell In Love,Elvin Bishop,southern rock,277600,False,9,184,US,Rock
Convoy,C.W. McCall,country,230600,False,59,165,US,Country
