Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Walk Like an Egyptian,The Bangles,jangle pop,203226,False,55,183,US,Pop
Alone,Heart,"classic rock, rock, album rock",218733,False,75,179,US,Rock
Shake You Down,Gregory Abbott,pop soul,245413,False,57,185,US,R&B
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,contemporary r&b,291293,False,81,185,US,R&B
Nothing's Gonna Stop Us Now,Starship,rock,270333,False,78,184,US,Rock
C’est la vie,Robbie Nevil,classic pop and rock,271666,False,33,184,US,Unknown
Here I Go Again - 2018 Remaster,Whitesnake,"hard rock, glam metal, glam rock",275395,False,62,3,GB,Rock
The Way It Is,Bruce Hornsby and the Range,rock,297853,False,68,185,US,Rock
Shakedown,Bob Seger,classic rock,241946,False,51,184,US,Rock
Livin' On A Prayer,Bon Jovi,"glam metal, rock",249293,False,83,184,US,Metal
La Bamba,Los Lobos,roots rock,174200,False,46,184,US,Rock
Everybody Have Fun Tonight,Wang Chung,"synthpop, new wave",287360,False,56,184,GB,Pop
Don't Dream It's Over,Crowded House,pop rock,236933,False,80,184,AU,Rock
Always,Atlantic Starr,quiet storm,288493,False,63,183,US,R&B
With Or Without You - Remastered 2007,U2,rock,295520,False,50,184,IE,Rock
Looking For A New Love,"Jody Watley, Louil Silas Jr.","new jack swing, freestyle",307840,False,36,184,"US, Unknown",R&B
Head to Toe,Lisa Lisa & Cult Jam,"funk melody, freestyle",302000,False,35,185,US,Country
I Think We're Alone Now,Tiffany,pop,228840,False,70,184,US,Pop
Mony Mony,Billy Idol,rock,300213,False,30,183,GB,Rock
At This Moment,Billy Vera & The Beaters,blue-eyed soul,234507,False,36,182,US,Unknown
The Lady In Red,Chris de Burgh,soft rock,256173,False,13,0,GB,Rock
Didn't We Almost Have It All,Whitney Houston,contemporary r&b,305066,False,61,185,US,R&B
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,rock,277480,False,55,184,IE,Rock
I Want Your Sex - Pts. 1 & 2 Remastered,George Michael,classical,557293,False,41,185,GB,Classical
Notorious,Duran Duran,"synthpop, new wave",258000,False,31,1,GB,Pop
Only in My Dreams,Debbie Gibson,pop,233400,False,50,184,US,Pop
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes","blue-eyed soul, pop",289066,False,59,184,"US, US",Unknown
The Next Time I Fall (with Amy Grant),"Peter Cetera, Amy Grant","ccm, christmas, soft rock, christian",226133,False,61,184,"US, US",Pop
Lean on Me,Club Nouveau,new jack swing,348573,False,0,0,US,R&B
Open Your Heart,Madonna,pop,253453,False,50,170,US,Pop
Lost In Emotion,Lisa Lisa & Cult Jam,"funk melody, freestyle",306493,False,40,185,US,Country
(I Just) Died In Your Arms,Cutting Crew,classic pop and rock,278626,False,63,184,GB,Unknown
Heart And Soul,T'Pau,british,256373,False,49,184,GB,Unknown
You Keep Me Hangin On,Kim Wilde,pop,255220,False,63,184,GB,Pop
Keep Your Hands to Yourself,The Georgia Satellites,southern rock,205000,False,64,184,US,Rock
I Knew You Were Waiting (For Me),"George Michael, Aretha Franklin","soul, motown, jazz blues",241920,False,41,185,"GB, US",R&B
Control,Janet Jackson,new jack swing,353306,False,44,184,US,R&B
U Got the Look,Prince,funk rock,227706,False,43,183,US,Rock
"Somewhere Out There - From ""An American Tail"" Soundtrack","Linda Ronstadt, James Ingram","country rock, mariachi",238173,False,52,184,"US, US",Rock
Land of Confusion - 2007 Remaster,Genesis,"art rock, symphonic rock, progressive rock",285666,False,62,184,GB,Rock
Jacob's Ladder,Huey Lewis & The News,rock,213760,False,42,184,US,Rock
Who's That Girl,Madonna,pop,239173,False,55,185,US,Pop
You Got It All,The Jets,rocksteady,248933,False,34,184,GB,Rock
Touch Me (I Want Your Body),Samantha Fox,"hi-nrg, italo disco",225986,False,53,185,GB,R&B
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,"Michael Jackson, Siedah Garrett",piano house,251760,False,61,185,"US, US",Electronic
Causing a Commotion,Madonna,pop,261666,False,44,185,US,Pop
In Too Deep,Genesis,"art rock, symphonic rock, progressive rock",296920,False,41,2,GB,Rock
Let's Wait Awhile,Janet Jackson,new jack swing,277400,False,54,184,US,R&B
Hip To Be Square,Huey Lewis & The News,rock,245466,False,62,184,US,Rock
Will You Still Love Me? - 2003 Remaster,Chicago,soft rock,252600,False,46,151,US,Rock
Little Lies - 2017 Remaster,Fleetwood Mac,"classic rock, soft rock",221053,False,49,184,GB,Rock
Luka,Suzanne Vega,singer-songwriter,231933,False,62,184,US,Folk/Acoustic
I Heard a Rumour,Bananarama,hi-nrg,204335,False,30,185,GB,R&B
Don't Mean Nothing,Richard Marx,soft rock,281533,False,41,184,DE,Rock
Songbird,Kenny G,"christmas, smooth jazz",303253,False,31,2,US,Jazz
Carrie,Europe,glam metal,272133,False,69,185,SE,Metal
Don't Disturb This Groove,The System,"new jack swing, post-disco",317874,False,49,179,GB,R&B
La Isla Bonita,Madonna,pop,242946,False,63,145,US,Pop
Bad - 2012 Remaster,Michael Jackson,pop,247360,False,66,185,US,Pop
Sign 'O' the Times,Prince,funk rock,302760,False,51,183,US,Rock
Change of Heart,Cyndi Lauper,pop,264773,False,47,185,US,Pop
Come Go with Me,Exposé,freestyle,257826,False,45,185,US,Hip Hop
Can't We Try,"Dan Hill, Vonda Shepard","audiobook, rock",239666,False,44,185,"US, US",Unknown
To Be A Lover,Billy Idol,rock,232386,False,47,184,GB,Rock
Mandolin Rain,Bruce Hornsby and the Range,rock,318946,False,53,185,US,Rock
Breakout,Swing Out Sister,acid jazz,228000,False,26,22,GB,Jazz
Stand By Me,Ben E. King,soul,180055,False,76,171,US,R&B
