Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Rolling in the Deep,Adele,pop,228093,False,75,162,GB,Pop
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock","pop, jazz",262146,False,32,4,"US, US, US",Pop
Firework,Katy Perry,pop,227893,False,69,176,US,Pop
E.T.,Katy Perry,pop,206373,False,60,176,US,Pop
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer","latin dance, big room, edm",252306,False,82,185,"US, NL, US, US",Latin
Grenade,Bruno Mars,pop,222091,False,74,39,US,Pop
Fuck You,CeeLo Green,pop,222933,True,61,3,US,Pop
Super Bass,Nicki Minaj,hip hop,200013,True,20,0,US,Hip Hop
Moves Like Jagger,"Maroon 5, Christina Aguilera",pop,202640,False,64,179,"US, US",Pop
Just Can’t Get Enough,Black Eyed Peas,hip hop,219426,False,74,184,US,Hip Hop
On The Floor - Radio Edit,"Jennifer Lopez, Pitbull","pop, dance-pop",230906,False,70,184,"US, US",Pop
S&M,Rihanna,pop,243533,True,42,8,US,Pop
Pumped Up Kicks,Foster The People,indie pop,239600,False,80,185,US,Pop
Last Friday Night (T.G.I.F.),Katy Perry,pop,230733,False,72,176,US,Pop
Just the Way You Are,Bruno Mars,pop,220734,False,82,39,US,Pop
Tonight (I'm Fuckin' You),"Enrique Iglesias, Ludacris, DJ Frank E","latin, latin pop, southern hip hop",231653,True,43,108,"ES, US, DK",Latin
Raise Your Glass,P!nk,pop,203280,True,31,185,US,Pop
Born This Way,Lady Gaga,"pop, art pop",260252,False,64,3,US,Pop
F**kin' Perfect,P!nk,pop,213413,True,57,185,US,Pop
What's My Name?,"Rihanna, Drake","hip hop, rap",263173,True,47,8,"US, CA",Hip Hop
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown, Lil Wayne, Busta Rhymes","hip hop, r&b, east coast hip hop, rap",222586,True,66,185,"US, US, US",Hip Hop
Down On Me,"Jeremih, 50 Cent",east coast hip hop,228453,False,69,139,"US, US",Hip Hop
How To Love,Lil Wayne,"hip hop, rap",240306,False,0,0,US,Hip Hop
Someone Like You,Adele,soft pop,285240,False,77,162,GB,Pop
Good Life,OneRepublic,soft pop,253306,True,68,184,US,Pop
The Lazy Song,Bruno Mars,pop,189109,False,68,39,US,Pop
Till the World Ends,Britney Spears,pop,237946,False,60,185,US,Pop
The Show Goes On,Lupe Fiasco,hip hop,240099,True,36,45,US,Hip Hop
The Edge Of Glory,Lady Gaga,"pop, art pop",320546,False,42,3,US,Pop
We R Who We R,Kesha,dance-pop,204760,False,68,185,US,Unknown
Black and Yellow,Wiz Khalifa,rap,217666,True,39,145,US,Hip Hop
Tonight Tonight,Hot Chelle Rae,electropop,200093,False,42,172,US,Pop
Blow,Kesha,dance-pop,219973,False,67,185,US,Unknown
Lighters,"Bad Meets Evil, Bruno Mars","hip hop, pop",303813,True,65,183,"US, US",Hip Hop
If I Die Young,The Band Perry,country,222773,False,61,3,US,Country
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine","hip hop, pop",210960,False,77,185,"US, US",Hip Hop
The Time (Dirty Bit),Black Eyed Peas,hip hop,307640,False,46,184,US,Hip Hop
Coming Home,"Diddy - Dirty Money, Skylar Grey","hip hop, pop",238693,False,61,181,"US, US",Hip Hop
Hey Baby (Drop It to the Floor) (feat. T-Pain),"Pitbull, T-Pain","dance-pop, hip hop",234453,False,72,185,"US, US",Unknown
Only Girl (In The World),Rihanna,pop,235493,False,45,8,US,Pop
6 Foot 7 Foot,"Lil Wayne, Cory Gunz","hip hop, rap",248586,True,19,0,"US, US",Hip Hop
Just A Kiss,Lady A,"pop country, country",218840,False,0,0,US,Country
Dirt Road Anthem,Jason Aldean,"country, acoustic country",229400,False,1,0,US,Country
Dynamite,Taio Cruz,contemporary r&b,203866,False,66,4,GB,R&B
No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale","gangsta rap, crunk, hip hop",263773,True,50,153,"US, US, US",Unknown
I Wanna Go,Britney Spears,pop,210266,False,64,185,US,Pop
I'm On One,"DJ Khaled, Drake, Rick Ross, Lil Wayne","hip hop, southern hip hop, rap",296146,True,66,140,"DZ, CA, Unknown, US",Hip Hop
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",electronic,215693,False,67,80,"US, JP",Electronic
Yeah 3x,Chris Brown,r&b,241666,True,64,185,US,R&B
Moment 4 Life,"Nicki Minaj, Drake","hip hop, rap",279306,True,0,0,"US, CA",Hip Hop
I Need A Doctor,"Dr. Dre, Eminem, Skylar Grey","rap, hip hop, gangster rap, west coast hip hop, g-funk",283733,True,64,121,"US, US, US",Hip Hop
Just A Dream,Nelly,hip hop,237800,False,71,184,US,Hip Hop
Motivation,"Kelly Rowland, Lil Wayne","hip hop, rap",231173,False,57,114,"US, US",Hip Hop
Stereo Love - Original,"Edward Maya, Vika Jigulina","british, moldovan",247853,False,62,28,"GB, RO",Unknown
jar of hearts,Christina Perri,soft pop,246587,False,39,152,US,Pop
Roll Up,Wiz Khalifa,rap,227773,True,11,14,US,Hip Hop
Sexy And I Know It,LMFAO,pop,199480,False,59,4,US,Pop
Rocketeer,"Far East Movement, Ryan Tedder, Ruff Loaderz",piano house,211253,False,63,3,"US, US, Unknown",Electronic
All Of The Lights,Kanye West,rap,299613,True,74,184,GB,Hip Hop
Hold It Against Me,Britney Spears,pop,228826,False,52,185,US,Pop
More - RedOne Jimmy Joker Remix,USHER,r&b,219986,False,64,185,US,R&B
What the Hell,Avril Lavigne,pop punk,220706,False,69,185,CA,Rock
Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",grime,219560,True,47,4,"GB, GB",Electronic
Bottoms Up (feat. Nicki Minaj),"Trey Songz, Nicki Minaj",r&b,242013,True,1,0,"US, US",R&B
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",r&b,220800,False,79,185,"US, US",R&B
For the First Time,The Script,rock,251306,True,20,181,GB,Rock
Honey Bee,Blake Shelton,country,210720,False,57,2,US,Country
Don't You Wanna Stay (with Kelly Clarkson),"Jason Aldean, Kelly Clarkson","christmas, country, acoustic country",256440,False,0,0,"US, US",Jazz
We Found Love,"Rihanna, Calvin Harris",edm,215226,False,56,1,"US, Unknown",Electronic
Pretty Girl Rock,Keri Hilson,pop,243920,False,59,116,US,Pop
You And I,Lady Gaga,"pop, art pop",307360,False,43,3,US,Pop
Like A G6,"Far East Movement, The Cataracs, DEV","electropop, rock, bollywood",216893,False,66,3,"US, GB, IN",Pop
Without You (feat. Usher),"David Guetta, USHER","dance, r&b, edm",208133,False,41,3,"FR, US",Electronic
Back To December,Taylor Swift,pop,293026,False,52,2,US,Pop
Teenage Dream,Katy Perry,pop,227741,False,67,176,US,Pop
Crazy Girl,Eli Young Band,"texas country, acoustic country, country, red dirt",200706,False,62,105,US,Country
Cheers (Drink To That),Rihanna,pop,261746,False,42,8,US,Pop
Who Says,Selena Gomez & The Scene,pop,195613,False,68,183,US,Pop
Barefoot Blue Jean Night,Jake Owen,"country, acoustic country",167426,False,69,185,US,Country
Knee Deep (feat. Jimmy Buffett),"Zac Brown Band, Jimmy Buffett","country, acoustic country",203173,False,0,0,"US, US",Country
Country Girl (Shake It For Me),Luke Bryan,"country, acoustic country",225560,False,5,0,CA,Country
Remind Me (with Carrie Underwood),"Brad Paisley, Carrie Underwood",country,271906,False,52,185,"US, US",Country
In The Dark,DEV,bollywood,226226,False,50,36,IN,Unknown
Backseat (feat. The Cataracs & Dev),"New Boyz, The Cataracs, DEV","new wave, rock, bollywood",224093,True,38,167,"GB, GB, IN",Rock
Headlines,Drake,"hip hop, rap",235986,True,9,1,CA,Hip Hop
Best Thing I Never Had,Beyoncé,pop,252613,False,33,181,US,Pop
Don't Wanna Go Home,Jason Derulo,pop,205913,False,23,185,US,Pop
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj","dance, edm",210093,True,42,3,"FR, US, US",Electronic
She Ain't You,Chris Brown,r&b,248106,False,57,185,US,R&B
Take A Back Road,Rodney Atkins,"country, acoustic country",209426,False,65,185,US,Country
Please Don't Go,Mike Posner,electropop,196813,False,15,181,US,Pop
Sure Thing,Miguel,r&b,195373,False,81,185,ES,R&B
Price Tag,"Jessie J, B.o.B","author, folk rock",223053,False,57,3,"GB, US",Unknown
God Gave Me You,Blake Shelton,country,229533,False,54,2,US,Country
She Will,"Lil Wayne, Drake","hip hop, rap",305840,True,0,0,"US, CA",Hip Hop
Are You Gonna Kiss Me Or Not,Thompson Square,country,184920,False,0,0,JP,Country
Animal,Neon Trees,indie,212293,False,66,5,US,Rock
You and Tequila (feat. Grace Potter),"Kenny Chesney, Grace Potter",country,242840,False,56,185,"US, US",Country
Colder Weather,Zac Brown Band,"country, acoustic country",273893,False,0,0,US,Country
My Last,"Big Sean, Chris Brown",r&b,254120,True,25,3,"US, US",R&B
