Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
God's Plan,Drake,hip hop,198973,True,78,180,CA,Hip Hop
Perfect,Ed Sheeran,soft pop,263400,False,83,184,GB,Pop
Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line","pop country, acoustic country, country",163870,False,66,178,"US, US",Country
Havana (feat. Young Thug),"Camila Cabello, Young Thug","trap, rap, pop, melodic rap",217306,False,76,185,"US, CA",Hip Hop
rockstar (feat. 21 Savage),"Post Malone, 21 Savage","hip hop, trap",218146,True,77,183,"US, US",Hip Hop
Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign","hip hop, hip hop",221440,True,69,183,"US, US",Hip Hop
I Like It,"Cardi B, Bad Bunny, J Balvin","latin, reggaeton, trap latino, urbano latino",253390,True,71,184,"US, PR, CO",Latin
The Middle,"Zedd, Maren Morris, Grey","edm, country",184732,False,73,184,"DE, US, JP",Electronic
In My Feelings,Drake,"hip hop, rap",217925,True,68,180,CA,Hip Hop
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",pop,235545,True,57,179,"US, US",Pop
Nice For What,Drake,"hip hop, rap",210746,True,72,180,CA,Hip Hop
Lucid Dreams,Juice WRLD,"emo rap, melodic rap",239835,True,19,0,US,Hip Hop
Better Now,Post Malone,hip hop,231266,True,74,183,US,Hip Hop
Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B","pop, hip hop",217288,False,72,184,"US, US",Pop
Boo'd Up,Ella Mai,r&b,239341,False,54,179,US,R&B
New Rules,Dua Lipa,pop,209320,False,75,179,GB,Pop
SAD!,XXXTENTACION,emo rap,166605,True,75,182,US,Hip Hop
Never Be the Same,Camila Cabello,pop,226973,False,71,185,US,Pop
Love Lies,"Khalid, Normani",contemporary r&b,201707,True,71,185,"US, US",R&B
no tears left to cry,Ariana Grande,pop,205920,False,72,179,US,Pop
Mine,Bazzi,pop,131064,True,67,184,US,Pop
Thunder,Imagine Dragons,alternative rock,187146,False,79,184,US,Rock
Look Alive (feat. Drake),"BlocBoy JB, Drake","hip hop, memphis rap, rap",181263,True,17,0,"US, CA",Hip Hop
Delicate,Taylor Swift,pop,232253,False,75,184,US,Pop
Yes Indeed,"Lil Baby, Drake","hip hop, rap",142273,True,72,182,"US, CA",Hip Hop
FRIENDS,"Marshmello, Anne-Marie",edm,202620,True,71,184,"US, GB",Electronic
Bad At Love,Halsey,alternative pop,181279,False,17,0,US,Pop
Taste (feat. Offset),"Tyga, Offset","hip hop, hip hop",232959,True,63,185,"US, US",Hip Hop
Let You Down,NF,christian hip hop,212120,False,73,183,US,Hip Hop
No Limit,"G-Eazy, A$AP Rocky, Cardi B",rap,245386,True,1,0,"US, US, US",Hip Hop
FEFE (feat. Nicki Minaj & Murda Beatz),"6ix9ine, Nicki Minaj, Murda Beatz","hip hop, hip hop, trap",179404,True,19,0,"US, US, CA",Hip Hop
Tequila,Dan + Shay,country,195986,False,52,184,US,Country
Feel It Still,Portugal. The Man,indie rock,163253,False,74,184,US,Rock
MotorSport,"Migos, Nicki Minaj, Cardi B",trap,303076,True,62,183,"US, US, US",Hip Hop
I Like Me Better,Lauv,alternative pop,197436,False,2,0,US,Pop
Youngblood,5 Seconds of Summer,pop rock,203417,False,76,179,AU,Rock
Whatever It Takes,Imagine Dragons,alternative rock,201240,False,77,184,US,Rock
Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin","hip hop, hip hop",172800,True,77,173,"US, US",Hip Hop
I Fall Apart,Post Malone,hip hop,223346,True,71,184,US,Hip Hop
Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar","hip hop, west coast hip hop",211440,True,65,179,"CA, US",Hip Hop
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,pop,207904,False,69,184,US,Pop
SICKO MODE,Travis Scott,rap,312820,True,78,185,US,Hip Hop
Walk It Talk It,"Migos, Drake","trap, hip hop, rap",276147,True,67,183,"US, CA",Hip Hop
Gucci Gang,Lil Pump,hip hop,124055,True,55,184,US,Hip Hop
Him & I (with Halsey),"G-Eazy, Halsey","hip hop, alternative pop",268866,True,72,185,"US, US",Hip Hop
In My Blood,Shawn Mendes,pop,211360,False,66,184,CA,Pop
All The Stars (with SZA),"Kendrick Lamar, SZA","hip hop, west coast hip hop, r&b",232186,True,90,179,"US, US",Hip Hop
Stir Fry,Migos,trap,190288,True,68,183,US,Hip Hop
Too Good At Goodbyes,Sam Smith,soft pop,201000,False,2,0,GB,Pop
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari","hip hop, west coast hip hop",213400,True,80,184,"US, Unknown",Hip Hop
This Is America,Childish Gambino,hip hop,225773,True,63,183,US,Hip Hop
Nonstop,Drake,"hip hop, rap",238614,True,71,180,CA,Hip Hop
