Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Gangsta's Paradise,"Coolio, L.V.","hip hop, r&b",240693,False,10,0,"US, US"
Waterfalls,TLC,contemporary r&b,279506,False,74,185,US
Creep,TLC,contemporary r&b,268533,False,65,185,US
Kiss from a Rose,Seal,pop,288426,False,45,2,GB
On Bended Knee,Boyz II Men,"new jack swing, quiet storm, r&b",329800,False,57,3,US
Another Night,Real McCoy,"eurodance, europop",236933,False,61,172,DE
Fantasy,Mariah Carey,christmas,243493,False,74,185,US
Take a Bow,Madonna,pop,320466,False,50,145,US
Don't Take It Personal (Just One of Dem Days),Monica,r&b,258466,False,55,185,US
This Is How We Do It,"Montell Jordan, Wino","new jack swing, sludge metal, doom metal, stoner rock",238800,False,66,2,"US, US"
I Know,Dionne Farris,neo soul,227826,False,47,185,US
Water Runs Dry,Boyz II Men,"new jack swing, quiet storm, r&b",201400,False,53,3,US
Freak Like Me,Adina Howard,new jack swing,253613,False,60,184,US
Run-Around,Blues Traveler,rock,280093,False,50,183,US
I Can Love You Like That,All-4-One,contemporary r&b,257959,False,0,0,US
Have You Ever Really Loved A Woman?,Bryan Adams,rock,293173,False,36,184,CA
Always,Bon Jovi,"rock, glam metal",353573,False,0,0,US
Boombastic,Shaggy,reggae,249933,False,71,172,JM
Total Eclipse of the Heart - Remastered,Nicki French,eurodance,230284,False,18,185,US
You Gotta Be,Des'ree,classic pop and rock,245200,False,63,183,GB
You Are Not Alone - Single Version,Michael Jackson,pop,295986,False,49,183,US
Hold My Hand,Hootie & The Blowfish,rock,258333,False,62,184,US
One More Chance - 2005 Remaster,The Notorious B.I.G.,"east coast hip hop, hip hop, gangster rap",283026,True,51,185,US
Here Comes the Hotstepper - Heartical Mix,"iNi Kamoze, Salaam Remi","reggae, roots reggae",250466,False,68,173,"JM, US"
Candy Rain,Soul For Real,new jack swing,271093,False,38,183,US
Let Her Cry,Hootie & The Blowfish,rock,318533,False,65,184,US
I Believe,"Blessid Union Of Souls, David Kershenbaum","alternative rock, art rock",267447,False,46,184,"US, Unknown"
Red Light Special,TLC,contemporary r&b,303960,False,55,185,US
Strong Enough,Sheryl Crow,pop,190826,False,32,3,US
Runaway,Janet Jackson,new jack swing,214933,False,46,184,US
Colors Of The Wind - End Title,Vanessa Williams,soundtrack,257866,False,44,183,US
Someone to Love (feat. Babyface),"Jon B., Babyface","smooth r&b, r&b, quiet storm, new jack swing",273400,False,44,185,"US, US"
Only Wanna Be With You,Hootie & The Blowfish,rock,229586,False,69,184,US
If You Love Me,Brownstone,new jack swing,304160,False,61,185,US
In The House Of Stone And Light,Martin Page,pop,300800,False,34,184,US
I Got 5 On It,Luniz,"west coast hip hop, g-funk",253533,True,56,185,US
Baby,Brandy,r&b,313293,False,52,166,US
Run Away,Real McCoy,"eurodance, europop",244133,False,51,172,DE
As I Lay Me Down,Sophie B. Hawkins,rock,248893,False,32,185,US
He's Mine,MoKenStef,Unknown,250893,False,0,0,US
December,Collective Soul,"post-grunge, grunge",285000,False,0,0,US
I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,"Method Man, Mary J. Blige","east coast hip hop, r&b, hardcore hip hop, hip hop",309946,False,58,183,"US, US"
Shy Guy,Diana King,audio drama,258560,False,58,185,US
I'm The Only One,Melissa Etheridge,rock,295000,False,56,184,US
Every Little Thing I Do,Soul For Real,new jack swing,218151,False,1,0,US
Before I Let You Go,Blackstreet,new jack swing,299840,False,0,0,US
Big Poppa - 2005 Remaster,The Notorious B.I.G.,"east coast hip hop, hip hop, gangster rap",252746,True,80,185,US
Sukiyaki,4 P.M.,Unknown,162093,False,38,3,Unknown
I Wanna Be Down,Brandy,r&b,291666,False,63,166,US
I'll Make Love To You,Boyz II Men,"new jack swing, quiet storm, r&b",236773,False,61,3,US
Dear Mama,2Pac,"hip hop, west coast hip hop, gangster rap, g-funk",278733,True,54,184,US
Hold On,Jamie Walters,soft rock,264560,False,40,184,US
Keep Their Heads Ringin',Dr. Dre,"hip hop, west coast hip hop, gangster rap, rap, g-funk",305573,True,65,181,US
The Rhythm of the Night,Corona,eurodance,264280,False,58,185,IT
Roll To Me,Del Amitri,british,132506,False,26,86,GB
Scream,Michael Jackson,pop,278293,False,0,0,US
Freek'n You,Jodeci,"smooth r&b, new jack swing, quiet storm, r&b",379240,False,58,184,US
I Wish,Skee-Lo,hip hop,249293,False,63,2,Unknown
Believe,Elton John,pop,295493,False,47,184,GB
Carnival,Natalie Merchant,singer-songwriter,361106,False,52,184,US
You Don't Know How It Feels,Tom Petty,classic rock,289440,False,62,171,US
Back for Good - Radio Mix,Take That,pop,241293,False,48,185,GB
Tootsee Roll,69 Boyz,miami bass,256333,False,0,0,US
You Want This,Janet Jackson,new jack swing,305666,False,41,184,US
Tell Me,Groove Theory,"neo soul, new jack swing",236066,False,64,185,GB
Can't You See,Total,"r&b, new jack swing",277320,False,0,184,ES
All I Wanna Do,Sheryl Crow,pop,272866,False,33,3,US
Come and Get Your Love - Radio Edit,Real McCoy,"eurodance, europop",194560,False,37,172,DE
This Ain't A Love Song,Bon Jovi,"rock, glam metal",305706,False,0,0,US
Secret,Madonna,pop,268413,False,35,145,US
Player's Anthem,Junior M.A.F.I.A.,east coast hip hop,322266,True,0,0,US
Feel Me Flow,Naughty By Nature,east coast hip hop,212560,False,0,0,US
Every Day of the Week,Jade,new jack swing,315600,False,39,184,US
The Sweetest Days,Vanessa Williams,soundtrack,211293,False,45,184,US
Short Dick Man - Club Mix,"Gillette, 20 Fingers",eurodance,290933,True,51,148,"US, Unknown"
Brokenhearted,Brandy,r&b,352733,False,39,166,US
"No More ""I Love You's""",Annie Lennox,synthpop,292160,False,0,0,GB
You Used to Love Me - Greatest Hits Version,Faith Evans,r&b,273560,False,28,184,US
Constantly,Immature,"new jack swing, quiet storm",343306,False,22,175,US
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2,rock,284600,False,51,180,IE
100% Pure Love,Crystal Waters,american,279455,False,0,0,US
Sugar Hill,AZ,"east coast hip hop, boom bap",249760,True,46,184,US
Good,Better Than Ezra,post-grunge,185093,False,35,183,US
Brown Sugar,D'Angelo,neo soul,243640,False,0,30,US
Turn the Beat Around,Gloria Estefan,latin pop,233200,False,42,185,US
'Til You Do Me Right,After 7,"smooth r&b, new jack swing, quiet storm",294600,False,34,184,US
1st Of Tha Month,Bone Thugs-N-Harmony,"gangster rap, g-funk",273933,False,0,0,US
Like The Way I Do,Melissa Etheridge,rock,324333,False,55,184,US
I Live My Life For You,Firehouse,"glam metal, glam rock",264653,False,46,185,US
Dream About You,Stevie B,"latin hip hop, funk melody, miami bass, freestyle",241533,False,0,0,US
Cotton Eye Joe - Mastered 1994,Rednex,euro house,193133,False,37,185,SE
Thank You,Boyz II Men,"new jack swing, quiet storm, r&b",276560,False,15,177,US
I'll Stand by You,Pretenders,rock,240760,False,72,184,GB
Give It 2 You,Da Brat,g-funk,193160,True,33,185,US
Best Friend,Brandy,r&b,288840,False,55,166,US
Misery,Soul Asylum,alternative rock,264506,False,23,184,US
Can't Stop Lovin' You,Van Halen,"rock, classic rock, hard rock, glam metal",247466,False,49,184,US
