Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
The Sign,Ace of Base,pop,191240,False,72,185,SE,Pop
I Swear,All-4-One,contemporary r&b,259853,False,68,184,US,R&B
I'll Make Love To You,Boyz II Men,"r&b, quiet storm, new jack swing",236773,False,61,3,US,R&B
The Power of Love,Céline Dion,variété française,342400,False,72,185,CA,Unknown
Hero,Mariah Carey,christmas,257733,False,2,0,US,Jazz
Stay (I Missed You),Lisa Loeb,singer-songwriter,184333,False,63,171,US,Folk/Acoustic
Breathe Again,Toni Braxton,r&b,269173,False,60,185,US,R&B
"All For Love - From ""The Three Musketeers"" Soundtrack","Bryan Adams, Sting, Rod Stewart",soft rock,282773,False,9,0,"CA, Unknown, GB",Rock
All That She Wants,Ace of Base,"eurodance, europop",211213,False,78,185,SE,Pop
Don't Turn Around,Ace of Base,"eurodance, europop",230186,False,58,185,SE,Pop
Bump n' Grind,R. Kelly,r&b,256133,False,56,185,US,R&B
Again,Janet Jackson,new jack swing,227133,False,56,184,US,R&B
I'll Remember (Theme from the Motion Picture With Honors),Madonna,pop,263813,False,30,173,US,Pop
Whatta Man,"Salt-N-Pepa, En Vogue",new jack swing,308360,False,0,0,"US, US",R&B
Wild Night,"John Mellencamp, Meshell Ndegeocello","classic rock, neo soul",207506,False,49,184,"US, Unknown",Rock
Without You,Mariah Carey,christmas,213666,False,1,0,US,Jazz
You Mean the World to Me,Toni Braxton,r&b,296400,False,50,185,US,R&B
Can You Feel the Love Tonight - End Title,Elton John,pop,241013,False,60,182,GB,Pop
The Most Beautiful Girl In the World,Prince,funk rock,265320,False,58,185,US,Rock
Fantastic Voyage,Coolio,"g-funk, west coast hip hop",334440,False,0,0,US,Hip Hop
"Baby, I Love Your Way",Big Mountain,reggae,249520,False,69,184,US,R&B
Regulate,"Warren G, Nate Dogg","g-funk, west coast hip hop, gangster rap",248866,True,73,82,"US, US",Hip Hop
If You Go,Jon Secada,latin pop,275000,False,36,183,US,Pop
Back & Forth,Aaliyah,r&b,231093,False,60,185,US,R&B
Now And Forever,Richard Marx,soft rock,214826,False,67,184,DE,Rock
When Can I See You,Babyface,"r&b, quiet storm, new jack swing, smooth r&b",229600,False,50,185,US,R&B
Please Forgive Me,Bryan Adams,rock,353426,False,0,0,CA,Rock
So Much in Love,All-4-One,contemporary r&b,212640,False,44,184,US,R&B
Shoop,Salt-N-Pepa,hip hop,248573,False,0,0,US,Hip Hop
"Any Time, Any Place",Janet Jackson,new jack swing,428200,False,59,184,US,R&B
Shine,Collective Soul,"post-grunge, grunge",306040,False,4,0,US,Metal
Said I Loved You...But I Lied,Michael Bolton,soft rock,304866,False,65,185,US,Rock
Return To Innocence,Enigma,"new age, gregorian chant",255466,False,66,184,DE,New age
All I Wanna Do,Sheryl Crow,pop,272106,False,70,184,US,Pop
Mmm Mmm Mmm Mmm,Crash Test Dummies,alternative rock,235173,False,52,185,CA,Rock
Can We Talk,Tevin Campbell,"quiet storm, new jack swing",284586,False,61,184,US,R&B
Funkdafied,Da Brat,g-funk,185933,True,49,185,US,Hip Hop
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,hard rock,316466,False,60,2,US,Rock
Gangsta Lean,DRS,Unknown,323973,True,0,0,NL,Unknown
Because The Night - Live,"10,000 Maniacs",jangle pop,338575,False,28,184,US,Pop
Cantaloop (Flip Fantasia),"Us3, Rahsaan, Gerard Presencer","jazz rap, jazz funk, big band, acid jazz, jazz blues",279266,False,27,184,"GB, US, GB",Hip Hop
Whoomp! (There It Is),Tag Team,miami bass,226026,False,0,0,US,Hip Hop
Come To My Window,Melissa Etheridge,rock,236000,False,54,184,US,Rock
Stroke You Up,Changing Faces,"quiet storm, new jack swing",216546,False,53,184,US,R&B
I'm Ready,Tevin Campbell,"quiet storm, new jack swing",286720,False,44,184,US,R&B
100% Pure Love,Crystal Waters,american,278626,False,0,0,US,Unknown
Anytime You Need a Friend,Mariah Carey,christmas,265466,False,0,0,US,Jazz
Because Of Love,Janet Jackson,new jack swing,260906,False,38,184,US,R&B
Linger,The Cranberries,alternative rock,274706,False,83,184,IE,Rock
Loser,Beck,_consistency,235000,False,70,34,DE,Unknown
Found Out About You,Gin Blossoms,alternative rock,233400,False,61,184,US,Rock
Gin And Juice (feat. Dat Nigga Daz),"Snoop Dogg, Daz Dillinger","hip hop, g-funk, west coast hip hop, rap, gangster rap",211493,True,2,0,"US, US",Hip Hop
Never Lie,Immature,"quiet storm, new jack swing",243932,False,23,185,US,R&B
Streets of Philadelphia,Bruce Springsteen,rock,252493,False,44,184,US,Rock
Ghetto Jam,Domino,"g-funk, west coast hip hop",259279,True,0,0,US,Hip Hop
Endless Love (with Mariah Carey),"Luther Vandross, Mariah Carey","soul, quiet storm, christmas",259665,False,63,185,"US, US",R&B
I Miss You,Aaron Hall,"quiet storm, new jack swing",381733,False,53,183,US,R&B
Understanding,Xscape,"r&b, quiet storm",341466,False,49,185,US,R&B
This D.J.,"Warren G, O.G.L.B.","g-funk, west coast hip hop, gangster rap",203026,True,65,82,"US, US",Hip Hop
Cry For You,Jodeci,"r&b, quiet storm, new jack swing, smooth r&b",300906,False,56,184,US,R&B
Keep Ya Head Up,2Pac,"hip hop, west coast hip hop, g-funk, gangster rap",262506,True,69,170,US,Hip Hop
Who Am I (What's My Name)?,Snoop Dogg,"hip hop, g-funk, west coast hip hop, rap, gangster rap",246320,True,1,0,US,Hip Hop
Another Night,Real McCoy,"eurodance, europop",236933,False,61,172,DE,Pop
Your Body's Callin',R. Kelly,r&b,277493,False,49,185,US,R&B
Tootsee Roll,69 Boyz,miami bass,256333,False,0,0,US,Hip Hop
I Can See Clearly Now,Jimmy Cliff,"reggae, rocksteady, roots reggae",196000,False,60,185,JM,R&B
Never Keeping Secrets,Babyface,"r&b, quiet storm, new jack swing, smooth r&b",293266,False,47,185,US,R&B
Crazy,Aerosmith,"rock, classic rock",316693,False,3,0,US,Rock
Just Kickin' It,Xscape,"r&b, quiet storm",204173,True,52,185,US,R&B
At Your Best (You Are Love),Aaliyah,r&b,291400,False,64,185,US,R&B
Rock And Roll Dreams Come Through,Meat Loaf,hard rock,350866,False,38,2,US,Rock
Amazing,Aerosmith,"rock, classic rock",356160,False,1,0,US,Rock
Always,Erasure,"synthpop, new wave",237800,False,45,3,GB,Pop
Groove Thang,Zhané,new jack swing,236506,False,0,0,US,R&B
Dreams,GABRIELLE,uk garage,221440,False,0,184,GB,Electronic
Mr. Vain,Culture Beat,eurodance,336840,False,67,185,DE,Pop
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,classic rock,272266,False,0,0,US,Rock
Anything,SWV,"r&b, new jack swing",168106,False,52,185,US,R&B
Beautiful In My Eyes,Joshua Kadison,Unknown,249493,False,59,184,US,Unknown
Stay,"Eternal, P Jervier, Steve Jervier, Wales",new jack swing,237533,False,38,185,"GB, US, GB, GB",R&B
Flava in Ya Ear,Craig Mack,east coast hip hop,217466,True,53,171,US,Hip Hop
U.N.I.T.Y.,Queen Latifah,"musicals, east coast hip hop",250840,False,46,6,GB,Classical
Prayer for the Dying,Seal,pop,330266,False,43,184,GB,Pop
Secret,Madonna,pop,304933,False,53,184,US,Pop
Here Comes the Hotstepper - Heartical Mix,"iNi Kamoze, Salaam Remi","reggae, roots reggae",250466,False,68,173,"JM, US",R&B
Everyday - 2015 Remaster,Phil Collins,soft rock,343893,False,50,184,GB,Rock
Don't Take The Girl,Tim McGraw,country,249360,False,61,185,US,Country
Got Me Waiting,Heavy D & The Boyz,"new jack swing, east coast hip hop",271466,False,37,144,US,R&B
December 1963 (Oh What A Night) - Ben Liebrand Remix,Frankie Valli & The Four Seasons,"northern soul, doo-wop",372933,False,11,185,US,R&B
Indian Outlaw,Tim McGraw,country,182120,False,66,185,US,Country
Always,Bon Jovi,"rock, glam metal",353026,False,4,0,US,Rock
I'm The Only One,Melissa Etheridge,rock,295000,False,56,184,US,Rock
Back in the Day,Ahmad Lewis,rockabilly,318360,False,46,184,US,Rock
Love Sneakin' Up On You,Bonnie Raitt,blues,221626,False,31,184,US,Blues
I'll Take You There - Single Version,General Public,new wave,245706,False,22,182,US,Rock
Always in My Heart,Tevin Campbell,"quiet storm, new jack swing",338732,False,36,184,US,R&B
What Is Love - Single Mix,Haddaway,eurodance,269000,False,0,0,DE,Pop
And Our Feelings,Babyface,"r&b, quiet storm, new jack swing, smooth r&b",342360,False,34,185,US,R&B
Bop Gun (One Nation),"Ice Cube, George Clinton","funk, west coast hip hop, g-funk, gangster rap",665826,False,32,184,"US, GB",R&B
I Wanna Be Down - Single Version,Brandy,r&b,247575,False,0,0,US,R&B
