Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Macarena - Bayside Boys Remix,Los Del Rio,flamenco pop,252133,False,62,185,ES,Pop
One Sweet Day,"Mariah Carey, Boyz II Men","quiet storm, new jack swing, christmas, r&b",281066,False,67,185,"US, US",R&B
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,variété française,273666,False,0,0,CA,Unknown
Nobody Knows,The Tony Rich Project,quiet storm,306933,False,55,185,US,R&B
Always Be My Baby,Mariah Carey,christmas,258133,False,72,185,US,Jazz
Give Me One Reason,Tracy Chapman,blues rock,268333,False,70,184,US,Rock
Tha Crossroads,Bone Thugs-N-Harmony,"gangster rap, g-funk",223546,True,66,185,US,Hip Hop
I Love You Always Forever,Donna Lewis,rockabilly,239960,False,71,184,US,Rock
You're Makin' Me High,Toni Braxton,r&b,267440,False,61,185,US,R&B
Twisted,Keith Sweat,"quiet storm, new jack swing, r&b",260666,False,67,174,Unknown,R&B
C'mon N' Ride It (The Train),Quad City DJ's,miami bass,451440,False,52,184,US,Hip Hop
Missing - 2013 Remaster,Everything But The Girl,british,247200,False,0,0,GB,Unknown
Ironic,Alanis Morissette,alternative rock,228573,False,60,184,CA,Rock
"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",Whitney Houston,contemporary r&b,204333,False,54,185,US,R&B
Follow You Down - Edit,Gin Blossoms,alternative rock,225520,False,35,104,US,Rock
Till I Hear It From You,Gin Blossoms,alternative rock,275400,False,9,156,US,Rock
Sittin' Up In My Room - from Waiting to Exhale - Original Soundtrack,Brandy,r&b,292066,False,45,185,US,R&B
How Do U Want It,"2Pac, K-Ci & JoJo","west coast hip hop, gangster rap, g-funk, hip hop, r&b",287760,True,0,0,"US, US",Hip Hop
It's All Coming Back to Me Now,Céline Dion,variété française,456866,False,0,0,CA,Unknown
Change the World,Eric Clapton,"classic rock, blues, blues rock",234866,False,0,0,GB,Rock
Hey Lover,"LL COOL J, Boyz II Men","quiet storm, new jack swing, east coast hip hop, r&b",284733,False,28,166,"US, US",R&B
Loungin,"LL COOL J, Terri & Monica","new jack swing, east coast hip hop",252093,False,14,166,"US, Unknown",R&B
Be My Lover,La Bouche,eurodance,240866,False,68,185,DE,Pop
Name,The Goo Goo Dolls,alternative rock,270000,False,67,185,US,Rock
Who Will Save Your Soul,Jewel,pop,239293,False,3,0,US,Pop
Where Do You Go,No Mercy,eurodance,271440,False,48,185,Unknown,Pop
I Can't Sleep Baby (If I),R. Kelly,r&b,330720,False,38,185,US,R&B
Counting Blue Cars,Dishwalla,alternative rock,514466,False,37,185,US,Rock
You Learn - 2015 Remaster,Alanis Morissette,alternative rock,239640,False,60,184,CA,Rock
One Of Us,Joan Osborne,rock,321400,False,0,0,US,Rock
Wonder,Natalie Merchant,singer-songwriter,266007,False,52,184,US,Folk/Acoustic
Not Gon' Cry,Mary J. Blige,r&b,294266,False,0,0,US,R&B
Gangsta's Paradise,"Coolio, L.V.","new jack swing, west coast hip hop, g-funk",240693,False,10,0,"US, US",R&B
Only You (feat. Notorious B.I.G. and Mase) - Greatest Hits Version,"112, Mase, The Notorious B.I.G.","gangster rap, hip hop, east coast hip hop, r&b",290040,False,36,184,"US, Unknown, US",Hip Hop
Down Low (Nobody Has to Know) (feat. Ronald Isley & Ernie Isley),"R. Kelly, Ronald Isley, Ernie Isley","quiet storm, r&b",262666,False,27,185,"US, US, US",R&B
You're the One,SWV,"new jack swing, r&b",282600,False,54,185,US,R&B
Sweet Dreams,La Bouche,eurodance,204586,False,62,185,DE,Pop
Before You Walk Out of My Life,Monica,r&b,292800,False,55,185,US,R&B
Breakfast At Tiffany's,Deep Blue Something,alternative rock,257186,False,1,0,US,Rock
1-2-3-4 (Sumpin' New),Coolio,"west coast hip hop, g-funk",214306,False,0,0,US,Hip Hop
The World I Know,Collective Soul,"grunge, post-grunge",255466,False,0,0,US,Rock
No Diggity,"Blackstreet, Dr. Dre, Queen Pen","rap, west coast hip hop, new jack swing, gangster rap, g-funk, hip hop",304600,False,1,0,"US, US, GB",Hip Hop
Anything,3T,Unknown,321000,False,49,185,US,Unknown
1979 - Remastered 2012,The Smashing Pumpkins,"rock, alternative rock",266200,False,58,184,US,Rock
Diggin' On You,TLC,contemporary r&b,254560,False,53,185,US,R&B
Why I Love You So Much,Monica,r&b,270266,False,55,185,US,R&B
Kissin' You,Total,"new jack swing, r&b",282333,False,55,184,ES,R&B
Count On Me - from Waiting to Exhale - Original Soundtrack,"Whitney Houston, CeCe Winans","worship, christian, gospel",266413,False,0,0,"US, US",Pop
Fantasy,Mariah Carey,christmas,243493,False,74,185,US,Jazz
Time,Hootie & The Blowfish,rock,296840,False,58,184,US,Rock
You'll See,Madonna,pop,278135,False,49,185,US,Pop
Last Night,Az Yet,quiet storm,269026,False,50,185,US,R&B
Mouth,Merril Bainbridge,pop,205733,False,39,185,AU,Pop
"The Earth, the Sun, the Rain","Color Me Badd, David ""Frazeman"" Frazer",new jack swing,256933,False,40,184,"US, Unknown",R&B
All The Things (Your Man Won't Do),Joe,"quiet storm, r&b, smooth r&b",380533,False,58,185,GB,R&B
WONDERWaLL - Remastered,Oasis,"rock, britpop, madchester",258773,False,76,160,GB,Rock
Woo Hah!! Got You All in Check,Busta Rhymes,east coast hip hop,271973,True,51,167,US,Hip Hop
Tell Me,Groove Theory,"new jack swing, neo soul",236066,False,64,185,GB,R&B
Elevators (Me & You),Outkast,"southern hip hop, hip hop",265200,True,56,185,US,Hip Hop
Hook,Blues Traveler,rock,290200,False,0,0,US,Rock
Doin' It,LL COOL J,east coast hip hop,293933,True,0,0,US,Hip Hop
"Fastlove, Pt. 1",George Michael,classical,324666,False,65,185,GB,Classical
Touch Me Tease Me,"Case, Foxy Brown, Mary J. Blige","quiet storm, east coast hip hop, r&b, smooth r&b",228866,False,0,0,"US, US, US",R&B
Tonite's tha Night,Kris Kross,hip hop,196600,False,34,185,US,Hip Hop
Children - Dream Version,Robert Miles,"trance, eurodance",426626,False,53,177,US,Electronic
Mission Impossible - Main Theme,"Danny Elfman, Artie Kane",soundtrack,62826,False,43,184,"US, US",Easy listening
Closer to Free,Bodeans,roots rock,190640,False,32,184,US,Rock
Just A Girl,No Doubt,special purpose artist,208400,False,0,0,Unknown,Unknown
If Your Girl Only Knew,Aaliyah,r&b,290960,False,6,0,US,R&B
Lady,D'Angelo,neo soul,346266,False,0,0,US,R&B
Key West Intermezzo (I Saw You First),John Mellencamp,classic rock,294293,False,0,0,US,Rock
Pony,Ginuwine,r&b,324800,False,62,185,US,R&B
Nobody (feat. Athena Cage) - Single Version; 2007 Remaster,"Keith Sweat, Athena Cage","quiet storm, new jack swing, r&b",251760,False,40,184,"Unknown, US",R&B
Old Man & Me,Hootie & The Blowfish,rock,267586,False,40,184,US,Rock
If It Makes You Happy,Sheryl Crow,pop,324840,False,0,0,US,Pop
As I Lay Me Down,Sophie B. Hawkins,rock,248893,False,32,185,US,Rock
"Keep On, Keepin' On (feat. Xscape)","MC Lyte, Xscape","quiet storm, east coast hip hop, r&b",271440,True,47,184,"US, US",R&B
Jealousy,Natalie Merchant,singer-songwriter,161533,False,45,184,US,Folk/Acoustic
I Want To Come Over,Melissa Etheridge,rock,324666,False,0,0,US,Rock
Who Do U Love,Deborah Cox,2008 universal fire victim,262933,False,39,185,Unknown,Unknown
Un-Break My Heart,Toni Braxton,r&b,270333,False,71,185,US,R&B
This Is Your Night,Amber,eurodance,238160,False,0,0,NL,Pop
You Remind Me of Something,R. Kelly,r&b,249920,False,44,185,US,R&B
Runaway,Janet Jackson,new jack swing,214933,False,46,184,US,R&B
Set U Free,Planet Soul,"freestyle, chicago house",258933,False,0,0,US,Hip Hop
Hit Me Off,New Edition,"quiet storm, new jack swing",261399,False,0,0,US,R&B
No One Else (feat. Da Brat),"Total, Da Brat","new jack swing, r&b, g-funk",260466,False,42,184,"ES, US",R&B
My Boo,Ghost Town DJs,miami bass,309847,False,48,185,US,Hip Hop
