Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)","Dionne Warwick, Elton John, Gladys Knight, Stevie Wonder","pop, pop, soul, soul",256466,False,48,184,"US, GB, US, US",Pop
"Say You, Say Me",Lionel Richie,motown,241066,False,72,184,US,R&B
I Miss You,Klymaxx,"quiet storm, new jack swing",333266,False,50,184,US,R&B
On My Own,"Patti LaBelle, Michael McDonald","philly soul, motown, quiet storm",290840,False,59,184,"US, US",R&B
Broken Wings,Mr. Mister,new wave,343933,False,70,185,US,Rock
How Will I Know,Whitney Houston,contemporary r&b,269696,False,72,185,US,R&B
Party All the Time,Eddie Murphy,comedy,253293,False,58,169,US,Country
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,hard rock,230720,False,66,185,US,Rock
Kyrie,Mr. Mister,new wave,265840,False,55,185,US,Rock
Addicted To Love,"Robert Palmer, Eric 'ET' Thorngren","blue-eyed soul, engineer",363640,False,65,184,"GB, US",Unknown
Greatest Love of All,Whitney Houston,contemporary r&b,297877,False,67,185,US,R&B
Secret Lovers,Atlantic Starr,quiet storm,330666,False,52,183,US,R&B
Friends & Lovers,"Gloria Loring, Carl Anderson","mezzo-soprano, rockabilly",213013,False,34,185,"US, US",Unknown
Glory of Love,Peter Cetera,soft rock,258333,False,73,184,US,Rock
West End Girls - 2001 Remaster,Pet Shop Boys,"new wave, synthpop",245360,False,1,0,GB,Rock
There'll Be Sad Songs (To Make You Cry),Billy Ocean,pop soul,292680,False,49,185,GB,R&B
Alive And Kicking,Simple Minds,new wave,289453,False,66,184,GB,Rock
Never,Heart,"album rock, classic rock, rock",246611,False,57,184,US,Rock
Kiss,Prince,funk rock,226240,False,74,170,US,Rock
Higher Love,Steve Winwood,soft rock,351506,False,65,184,GB,Rock
Stuck With You,Huey Lewis & The News,rock,269573,False,63,184,US,Rock
Holding Back the Years,Simply Red,blue-eyed soul,266333,False,34,3,GB,Unknown
Sledgehammer - 2012 Remaster,Peter Gabriel,art rock,311986,False,57,1,GB,Rock
Sara,Starship,rock,292800,False,63,184,US,Rock
Human,The Human League,"synthpop, new wave",265320,False,49,3,GB,Pop
I Can't Wait,Nu Shooz,freestyle,326506,False,52,172,US,Hip Hop
Take My Breath Away,Berlin,new wave,252000,False,0,2,US,Rock
Rock Me Amadeus,Falco,neue deutsche welle,202236,False,63,185,AT,Rock
Papa Don't Preach,Madonna,pop,268533,False,62,170,US,Pop
You Give Love A Bad Name,Bon Jovi,"glam metal, rock",222706,False,80,184,US,Metal
"When the Going Gets Tough, the Tough Get Going",Billy Ocean,pop soul,343773,False,36,185,GB,R&B
When I Think Of You,Janet Jackson,new jack swing,235493,False,55,184,US,R&B
These Dreams,Heart,"album rock, classic rock, rock",254476,False,67,184,US,Rock
Don't Forget Me (When I'm Gone),Glass Tiger,classical,248200,False,45,183,US,Classical
Live to Tell,Madonna,pop,351920,False,58,170,US,Pop
Mad About You,Belinda Carlisle,pop,218226,False,0,0,US,Pop
Something About You,Level 42,synthpop,265000,False,53,4,GB,Pop
Venus,Bananarama,hi-nrg,229164,False,68,185,GB,R&B
Dancing On The Ceiling,Lionel Richie,motown,270720,False,66,184,US,R&B
Conga!,Miami Sound Machine,dance-pop,254000,False,64,185,US,Unknown
True Colors,Cyndi Lauper,pop,227600,False,70,185,US,Pop
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,pop,216346,False,62,182,US,Pop
What Have You Done For Me Lately,Janet Jackson,new jack swing,299493,False,47,184,US,R&B
No One Is To Blame,Howard Jones,"synthpop, new wave",258399,False,1,0,GB,Pop
