Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
I Will Always Love You,Whitney Houston,contemporary r&b,271093,False,76,185,US,R&B
Whoomp! (There It Is),Tag Team,miami bass,226026,False,0,0,US,Hip Hop
(I Can't Help) Falling In Love With You,UB40,reggae,208826,False,49,184,GB,R&B
That's The Way Love Goes,Janet Jackson,new jack swing,265106,False,65,184,US,R&B
Freak Me,Silk,"r&b, quiet storm, new jack swing",274533,False,59,184,US,R&B
Weak,SWV,"r&b, new jack swing",292240,False,45,185,US,R&B
If I Ever Fall In Love,Shai,"r&b, quiet storm, new jack swing",189026,False,59,74,US,R&B
Dreamlover,Mariah Carey,christmas,233733,False,0,0,US,Jazz
Rump Shaker,Wreckx-N-Effect,new jack swing,312360,False,58,184,US,R&B
Informer,Snow,country,268910,False,64,184,US,Country
"Nuthin' But A ""G"" Thang",Dr. Dre,"rap, west coast hip hop, hip hop, g-funk, gangster rap",238413,True,0,0,US,Hip Hop
In The Still Of The Nite (I'll Remember),Boyz II Men,"quiet storm, r&b, new jack swing",169493,False,23,4,US,R&B
Don't Walk Away,Jade,new jack swing,216373,False,62,184,US,R&B
Knockin' Da' Boots,H-Town,"r&b, quiet storm, new jack swing",327693,False,0,0,US,R&B
Lately - MTV Unplugged / Edit,Jodeci,"smooth r&b, r&b, quiet storm, new jack swing",262920,False,0,3,US,Unknown
Dazzey Duks,Duice,Unknown,244866,False,0,0,Unknown,Unknown
Show Me Love,Robin S,eurodance,252106,False,71,184,US,Pop
A Whole New World (Aladdin's Theme),"Peabo Bryson, Regina Belle",quiet storm,243493,False,56,185,"US, US",R&B
If,Janet Jackson,new jack swing,271640,False,52,184,US,R&B
I'm So Into You,SWV,"r&b, new jack swing",278466,False,35,185,US,R&B
Love Is,Vanessa Williams And Brian McKnight,soul,284960,False,34,185,US,R&B
Runaway Train,Soul Asylum,alternative rock,266066,False,57,184,US,Rock
"I'll Never Get Over You Getting Over Me - 7"" Version",Exposé,freestyle,230506,False,33,182,US,Hip Hop
Ditty,Paperboy,Unknown,245029,False,17,0,US,Unknown
Rhythm Is A Dancer,SNAP!,eurodance,332226,False,0,0,DE,Pop
The River of Dreams,Billy Joel,soft rock,247626,False,65,185,US,Rock
I'm Gonna Be (500 Miles),The Proclaimers,rock,219466,False,68,185,GB,Rock
Two Princes,Spin Doctors,alternative rock,256733,False,69,185,US,Rock
Right Here,SWV,"r&b, new jack swing",278466,False,22,185,US,R&B
I Have Nothing,Whitney Houston,contemporary r&b,289160,False,74,185,US,R&B
Mr Wendal - Remastered 2002,Arrested Development,boom bap,246960,False,32,184,US,Hip Hop
Have I Told You Lately - 2008 Remaster,Rod Stewart,soft rock,241506,False,64,184,GB,Rock
Saving Forever for You,Shanice,new jack swing,268733,False,41,185,US,R&B
Ordinary World,Duran Duran,"new wave, synthpop",340200,False,76,185,GB,Rock
If I Had No Loot,Tony! Toni! Toné!,"smooth r&b, quiet storm, new jack swing",241466,False,48,184,US,Unknown
I'd Do Anything for Love (But I Won't Do That) - Radio Edit,Meat Loaf,hard rock,321973,False,0,0,US,Rock
Slam,Onyx,"east coast hip hop, hardcore hip hop",217013,True,0,0,US,Hip Hop
Looking Through Patient Eyes,P.M. Dawn,hip hop,249453,False,0,0,US,Hip Hop
I'm Every Woman,Whitney Houston,contemporary r&b,285413,False,0,0,US,R&B
Baby I'm Yours,Shai,"r&b, quiet storm, new jack swing",275560,False,26,152,US,R&B
Come Undone,Duran Duran,"new wave, synthpop",256519,False,69,185,GB,Rock
I Don't Wanna Fight - Single Edit,Tina Turner,soul,265400,False,21,185,CH,R&B
I'd Die Without You,P.M. Dawn,hip hop,250693,False,0,0,US,Hip Hop
"Whoot, There It Is",95 South,"southern hip hop, miami bass, bass music",183906,False,26,185,US,Hip Hop
Hip Hop Hooray,Naughty By Nature,east coast hip hop,264840,True,0,0,US,Hip Hop
Another Sad Love Song,Toni Braxton,r&b,301560,False,54,185,US,R&B
Will You Be There - Single Version,Michael Jackson,pop,220386,False,57,183,US,Pop
Comforter,Shai,"r&b, quiet storm, new jack swing",250600,False,49,74,US,R&B
