Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Tossin' And Turnin',Bobby Lewis,rockabilly,159640,False,35,181,US,Rock
I Fall To Pieces - Single Version,"Patsy Cline, The Jordanaires",christian country,171333,False,0,0,"US, GB",Country
Michael (Row The Boat Ashore),The Highwaymen,rock,165559,False,34,184,GB,Rock
Crying,Roy Orbison,rockabilly,166466,False,57,185,US,Rock
Runaway,Del Shannon with Orchestra,pop rock,141320,False,21,179,US,Rock
My True Story,The Jive Five,"doo-wop, northern soul",153493,False,13,181,US,Blues
Pony Time,Chubby Checker,rock and roll,147426,False,30,185,Unknown,Rock
Wheels,The String-A-Longs,"indorock, surf rock",116360,False,0,0,US,Rock
Raindrops,Dee Clark,"doo-wop, northern soul",172460,False,19,180,GB,Blues
Wooden Heart,Joe Dowell,rock,124447,False,0,162,GB,Rock
Calcutta,Lawrence Welk,"polka, big band, easy listening",132371,False,10,184,US,Easy listening
Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,"doo-wop, rock and roll",150866,False,48,184,US,Blues
Running Scared,Roy Orbison,rockabilly,132040,False,45,185,US,Rock
Dedicated To The One I Love,The Shirelles,"doo-wop, motown",124186,False,0,0,US,Blues
Last Night,The Mar-Keys,"soul, northern soul",158480,False,3,179,US,R&B
Will You Love Me Tomorrow,The Shirelles,"doo-wop, motown",162893,False,0,0,US,Blues
Exodus,"Ernest Gold, Charles Eugene Patrick Boone, Ferrante & Teicher",exotica,176760,False,23,184,"US, US, US",Easy listening
Where The Boys Are,Connie Francis,schlager,156906,False,0,0,US,Pop
Hit the Road Jack,Ray Charles,"jazz blues, soul, soul blues, blues, vocal jazz",118266,False,55,181,US,Blues
Sad Movies Make Me Cry,Sue Thompson,Unknown,199346,False,38,185,US,Unknown
Mother-in-Law - 2002 Remaster,Ernie K-Doe,doo-wop,153600,False,18,184,US,Blues
Bristol Stomp,The Dovells,doo-wop,138893,False,0,0,GB,Blues
Travelin' Man - Remastered,Ricky Nelson,"doo-wop, rockabilly",142933,False,36,184,US,Blues
Shop Around,The Miracles,"doo-wop, motown",170760,False,0,0,US,Blues
The Boll Weevil Song,Brook Benton,soul,171693,False,0,0,US,R&B
A Hundred Pounds Of Clay - 1995 Digital Remaster,Gene McDaniels,"doo-wop, northern soul",143600,False,16,183,US,Blues
