Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Shadow Dancing,Andy Gibb,classic pop and rock,276000,False,56,184,AU
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,disco,211640,False,45,184,GB
You Light Up My Life,Debby Boone,ballad,216286,False,54,185,US
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,disco,284066,False,51,184,GB
Kiss You All Over,Exile,dance-pop,214400,False,54,184,JP
How Deep Is Your Love,Bee Gees,disco,243933,False,50,184,GB
Baby Come Back,Player,aor,255845,False,73,184,US
(Love Is) Thicker Than Water,Andy Gibb,classic pop and rock,255960,False,0,0,AU
Boogie Oogie Oogie - Remastered 2004,A Taste Of Honey,"boogie, disco",338320,False,53,184,US
Three Times A Lady - Single Version,Commodores,motown,216400,False,41,182,US
Grease - From “Grease”,Frankie Valli,aln-sh,205733,False,60,184,US
I Go Crazy,Paul Davis,soft rock,233893,False,54,185,US
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",musicals,169840,False,78,184,"US, AU"
Emotion,"Samantha Sang, Bee Gees",disco,237293,False,60,185,"AU, GB"
Lay Down Sally,Eric Clapton,"classic rock, blues, blues rock",236093,False,43,163,GB
Miss You - Remastered,The Rolling Stones,"classic rock, rock",288666,False,72,180,GB
Just the Way You Are,Billy Joel,soft rock,290573,False,72,185,US
With A Little Luck - Remastered 1993,Wings,rock,344773,False,0,0,GB
If I Can't Have You,Yvonne Elliman,disco,178066,False,46,184,US
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) - 2018 Remaster",CHIC,disco,502240,False,38,184,US
Feels So Good - Single Version,Chuck Mangione,"jazz fusion, smooth jazz, jazz",212226,False,49,184,US
Hot Child in the City - Extended Remix,Nick Gilder,rock,215092,False,20,0,CA
Love Is Like Oxygen - Remastered,Sweet,glam rock,254109,False,38,185,GB
It's a Heartache,Bonnie Tyler,pop rock,209760,False,1,0,GB
We Will Rock You - Remastered 2011,Queen,"classic rock, rock, glam rock",122066,False,76,178,GB
Baker Street,Gerry Rafferty,rock,365626,False,69,180,GB
Can't Smile Without You,Barry Manilow,adult standards,193440,False,61,185,US
"Too Much, Too Little, Too Late (with Deniece Williams)","Johnny Mathis, Deniece Williams",christmas,180346,False,14,185,"US, US"
Dance with Me,Peter Brown,disco,319226,False,41,184,US
Two Out of Three Ain't Bad,Meat Loaf,hard rock,324440,False,59,185,US
Jack and Jill,Raydio,post-disco,275666,False,41,169,US
Take A Chance On Me,ABBA,disco,243933,False,75,184,SE
Sometimes When We Touch,Dan Hill,audiobook,252707,False,0,0,US
"Last Dance - 12"" Version","Donna Summer, Marc Paul Simon, Bobby Guttadaro","hi-nrg, disco",490826,False,36,184,"US, US, Unknown"
Hopelessly Devoted To You - From “Grease”,Olivia Newton-John,classic pop and rock,185360,False,72,184,AU
Hot Blooded,Foreigner,"classic rock, album rock",268693,False,62,184,US
You're in My Heart (The Final Acclaim) - 2008 Remaster,Rod Stewart,soft rock,271093,False,31,168,GB
The Closer I Get to You,"Roberta Flack, Donny Hathaway","adult standards, soul",280800,False,59,185,"US, US"
Dust in the Wind,Kansas,"classic rock, progressive rock, album rock",206266,False,76,185,US
Magnet & Steel,Walter Egan,Unknown,203133,False,0,182,US
Short People,Randy Newman,film soundtrack,176933,False,45,171,US
