Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
We Belong Together,Mariah Carey,pop,201400,False,66,3,US
Hollaback Girl,Gwen Stefani,pop,199906,True,1,0,US
Let Me Love You,Mario,r&b,256733,False,69,184,US
Since U Been Gone,Kelly Clarkson,christmas,188960,False,41,182,US
"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",hip hop,203786,False,72,185,"Unknown, US"
Gold Digger,"Kanye West, Jamie Foxx",rap,207626,True,75,182,"GB, US"
Boulevard of Broken Dreams,Green Day,"pop punk, punk",261266,True,68,185,US
Candy Shop,"50 Cent, Olivia",east coast hip hop,208560,True,12,2,"US, AU"
Don't Cha,"The Pussycat Dolls, Busta Rhymes",east coast hip hop,272080,False,62,3,"US, US"
Behind These Hazel Eyes,Kelly Clarkson,christmas,196320,False,15,167,US
Disco Inferno,50 Cent,east coast hip hop,215426,True,22,76,US
You And Me,Lifehouse,post-grunge,195493,False,70,184,US
Don't Phunk With My Heart,Black Eyed Peas,hip hop,239773,False,51,3,US
Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop",hip hop,226863,True,62,184,"US, Unknown, US"
Shake It Off - Radio Mix,Mariah Carey,christmas,232226,False,8,2,US
Mr. Brightside,The Killers,alternative rock,222586,False,24,0,GB
Just A Lil Bit,50 Cent,east coast hip hop,237706,True,73,178,US
Pon de Replay,Rihanna,pop,246960,False,75,184,US
How We Do,"The Game, 50 Cent","east coast hip hop, gangster rap, west coast hip hop, hip hop",236653,True,22,179,"GB, US"
Beverly Hills,Weezer,alternative rock,196093,False,65,184,US
Oh (feat. Ludacris),"Ciara, Ludacris",southern hip hop,256346,False,61,185,"Unknown, US"
Lonely No More,Rob Thomas,orchestral,226346,False,19,183,NO
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams","west coast hip hop, rap, hip hop, g-funk, gangster rap",270053,True,31,183,"US, US"
Hate It Or Love It,"The Game, 50 Cent","east coast hip hop, gangster rap, west coast hip hop, hip hop",206400,True,74,183,"GB, US"
Lovers And Friends,"Lil Jon & The East Side Boyz, USHER, Ludacris","crunk, southern hip hop, r&b",260600,True,63,185,"Unknown, US, US"
Soldier (feat. T.I. & Lil' Wayne),"Destiny's Child, T.I., Lil Wayne","rap, southern hip hop, hip hop",325786,False,21,185,"US, US, US"
Breakaway,Kelly Clarkson,christmas,237000,False,14,183,US
Switch,Will Smith,hip hop,196853,False,21,2,US
Let Me Hold You (feat. Omarion),"Bow Wow, Omarion",r&b,251000,False,19,36,"GB, US"
Like You (feat. Ciara),"Bow Wow, Ciara",r&b,204693,False,32,172,"GB, Unknown"
Rich Girl,"Gwen Stefani, Eve","pop, hip hop",236440,False,33,184,"US, US"
My Humps - Single Version,Black Eyed Peas,hip hop,251666,False,37,184,US
Obsesion (No Es Amor) (feat. Baby Bash),"Frankie J, Baby Bash","author, contemporary r&b",225293,False,24,58,"GB, US"
Caught Up,USHER,r&b,224640,False,60,185,US
Listen to Your Heart - Furious F. EZ Radio Edit,"DHT, Edmee",dance,232226,False,10,2,"BE, BE"
Scars,Papa Roach,"alternative metal, rock, nu metal, rap rock, rap metal",209280,False,27,184,US
Feel Good Inc.,Gorillaz,alternative rock,222640,False,28,3,Unknown
Let Me Go - Rock Version,3 Doors Down,post-grunge,232360,False,36,2,US
Holiday,Green Day,"pop punk, punk",233026,False,65,185,US
"Sugar, We're Goin Down",Fall Out Boy,"emo pop, pop punk, emo",229093,False,73,180,US
Grind With Me,Pretty Ricky,r&b,237733,True,61,183,Unknown
Run It! (feat. Juelz Santana),"Chris Brown, Juelz Santana",r&b,229866,False,72,185,"US, US"
Photograph,Nickelback,"rock, post-grunge",258893,False,0,0,CA
Lonely,Akon,hip hop,235800,True,0,0,SN
Collide - Chris Lord-Alge Mix aka Radio Edit,Howie Day,pop,247706,False,39,185,US
Wake Me up When September Ends,Green Day,"pop punk, punk",285653,False,73,185,US
"Slow Down - 12"" Version",Bobby V.,r&b,258665,False,67,184,Unknown
Over And Over,"Nelly, Tim McGraw",country,254706,True,11,179,"US, US"
Some Cut (feat. Cutty),"Trillville, Cutty","crunk, southern hip hop",283386,True,41,184,"US, JM"
Get It Poppin' (feat. Nelly) - Serban Main 4/20/05,"Fat Joe, Nelly",east coast hip hop,205546,True,44,184,"US, US"
Play,David Banner,"crunk, southern hip hop",230133,True,49,102,Unknown
Soul Survivor,"Jeezy, Akon","gangster rap, rap, crunk, southern hip hop",280013,True,61,3,"US, SN"
Pimpin' All Over The World,"Ludacris, Bobby V.","r&b, southern hip hop",329626,True,49,184,"US, Unknown"
My Boo,"USHER, Alicia Keys","r&b, neo soul",223440,False,74,185,"US, US"
"Sugar (Gimme Some) [feat. Ludacris, Lil Kim, and Cee-Lo] - Main",Trick Daddy,"crunk, southern hip hop",246946,False,26,184,US
Karma,Alicia Keys,"r&b, neo soul",256000,False,45,185,US
Speed of Sound,Coldplay,alternative rock,291546,False,36,183,GB
I Don't Want to Be,Gavin DeGraw,pop,219080,False,50,180,US
Mockingbird,Eminem,"rap, hip hop",252186,True,42,179,US
La Tortura (feat. Alejandro Sanz),"Shakira, Alejandro Sanz","latin pop, latin",212893,False,72,185,"CO, ES"
She Will Be Loved,Maroon 5,pop,257133,False,68,180,US
"Baby, I'm Back","Baby Bash, Akon","contemporary r&b, hip hop",221160,True,29,3,"US, SN"
Wait (The Whisper Song),Ying Yang Twins,"crunk, southern hip hop",179160,True,53,185,US
Incomplete,Backstreet Boys,pop,239586,False,60,185,US
Bring Em Out,T.I.,southern hip hop,216706,True,59,185,US
Cater 2 U,Destiny's Child,pop,247133,False,17,183,US
1 Thing - Radio Edit,Amerie,clean up,242320,False,13,185,US
Best of You,Foo Fighters,"post-grunge, rock, grunge, alternative rock, modern rock",256600,False,0,0,US
It's Like That,"Mariah Carey, Jermaine Dupri, Fatman Scoop","christmas, southern hip hop",203360,False,51,3,"US, US, US"
Goin' Crazy - Radio Version,Natalie,soul,231826,False,21,4,US
Inside Your Heaven (Bonus Track),Carrie Underwood,country,225280,False,32,185,US
Because of You,Kelly Clarkson,christmas,220800,False,7,94,US
Truth Is,Fantasia,r&b,236746,False,46,172,US
Your Body,Pretty Ricky,r&b,240040,True,56,183,Unknown
Beautiful Soul,Jesse McCartney,pop,214226,False,64,183,GB
Cool,Gwen Stefani,pop,189280,False,0,0,US
Get Back,Ludacris,southern hip hop,270746,True,55,184,US
Outta Control - Remix,"50 Cent, Mobb Deep","east coast hip hop, gangster rap, hardcore hip hop, hip hop",248253,True,47,184,"US, Unknown"
U Don't Know Me,T.I.,southern hip hop,243506,True,49,185,US
