,Artist,Count
249,Madonna,18
3,Michael Jackson,16
80,Daryl Hall & John Oates,15
87,Lionel Richie,13
33,Kool & The Gang,11
15,Elton John,10
30,Kenny Rogers,10
217,Phil Collins,10
84,Prince,10
173,Huey Lewis & The News,10
204,Duran Duran,9
285,Whitney Houston,9
43,Stevie Wonder,9
271,George Michael,9
94,Sheena Easton,8
14,Air Supply,8
128,John Mellencamp,8
67,Genesis,7
326,Bon Jovi,7
331,Miami Sound Machine,7
117,Bruce Springsteen,7
17,Diana Ross,7
8,Billy Joel,7
6,Paul McCartney,7
130,Steve Winwood,6
327,Janet Jackson,6
101,The Pointer Sisters,6
150,Chicago,6
256,Billy Ocean,6
36,Donna Summer,6
16,Christopher Cross,6
141,Heart,6
382,Richard Marx,6
240,Cyndi Lauper,6
427,Bobby Brown,6
200,Culture Club,6
187,Laura Branigan,5
82,Neil Diamond,5
79,Fleetwood Mac,5
226,Bryan Adams,5
166,Don Henley,5
372,Debbie Gibson,5
237,Tina Turner,5
159,The Cars,5
145,Survivor,5
336,The Jets,5
111,Rod Stewart,5
110,Foreigner,5
123,Journey,5
124,The Police,5
126,Stevie Nicks,5
28,Kenny Loggins,5
2,Olivia Newton-John,5
19,Styx,5
338,INXS,5
386,Exposé,5
35,Barbra Streisand,5
75,Pat Benatar,5
333,The Bangles,5
95,Juice Newton,4
189,Van Halen,4
77,Eddie Rabbitt,4
154,TOTO,4
188,Michael McDonald,4
190,Billy Idol,4
96,Ray Parker Jr.,4
437,Milli Vanilli,4
88,John Lennon,4
161,The Go-Go's,4
163,Men At Work,4
91,REO Speedwagon,4
182,James Ingram,4
89,Rick Springfield,4
444,New Kids On The Block,4
405,Taylor Dayne,4
47,Eagles,4
275,Tears For Fears,4
23,Commodores,4
227,DeBarge,4
231,Def Leppard,4
62,Tom Petty and the Heartbreakers,4
49,Bob Seger,4
400,Guns N' Roses,4
319,Peter Cetera,4
52,Little River Band,4
272,Wham!,4
148,The Human League,3
320,Pet Shop Boys,3
146,Joan Jett & the Blackhearts,3
329,Belinda Carlisle,3
197,Eurythmics,3
340,Lisa Lisa & Cult Jam,3
346,Mike + The Mechanics,3
363,Bruce Hornsby and the Range,3
366,U2,3
367,Jody Watley,3
369,Tiffany,3
354,Aerosmith,3
293,Aretha Franklin,3
314,Robert Palmer,3
296,Sting,3
198,Annie Lennox,3
399,Rick Astley,3
280,Starship,3
116,The Alan Parsons Project,3
264,Bananarama,3
251,Night Ranger,3
179,Eddie Money,3
436,Paula Abdul,3
242,Thompson Twins,3
432,Cher,3
199,Dave Stewart,3
379,Samantha Fox,3
0,Blondie,3
18,KC & The Sunshine Band,3
76,Dionne Warwick,3
31,Kim Carnes,3
54,Barry Gibb,3
50,The Rolling Stones,3
32,Dan Fogelberg,3
64,Linda Ronstadt,3
107,Ronnie Milsap,3
12,Smokey Robinson,3
81,Boz Scaggs,3
40,Pretenders,3
63,Irene Cara,3
45,Cliff Richard,3
44,Shalamar,3
236,Peabo Bryson,2
401,Breathe,2
376,Cutting Crew,2
229,Joe Jackson,2
219,Naked Eyes,2
247,Sheila E.,2
13,The Spinners,2
114,Champaign,2
406,Eric Carmen,2
402,Sananda Maitreya,2
211,Jennifer Warnes,2
403,Cheap Trick,2
250,Corey Hart,2
205,David Bowie,2
193,Loverboy,2
191,Kim Wilde,2
421,Pebbles,2
186,Deniece Williams,2
185,Jackson Browne,2
83,George Benson,2
60,Anne Murray,2
365,Crowded House,2
368,Louil Silas Jr.,2
286,New Edition,2
321,Simply Red,2
316,Atlantic Starr,2
328,Glass Tiger,2
312,Mr. Mister,2
307,David Lee Roth,2
304,Julian Lennon,2
302,ABC,2
299,Sade,2
115,The Greg Kihn Band,2
291,Howard Jones,2
289,Ready For The World,2
51,Herb Alpert,2
25,Dr. Hook,2
283,Glenn Frey,2
281,Simple Minds,2
276,Dire Straits,2
29,Jermaine Jackson,2
355,Anita Baker,2
265,Wang Chung,2
57,Andy Gibb,2
362,Whitesnake,2
10,Rupert Holmes,2
259,ZZ Top,2
258,Ann Wilson,2
424,Natalie Cole,2
218,Stray Cats,2
322,Peter Gabriel,2
133,Billy Squier,2
164,Earth,2
434,Poison,2
435,White Lion,2
5,Queen,2
129,Eric Clapton,2
132,George Harrison,2
134,Alabama,2
90,Dolly Parton,2
158,Willie Nelson,2
458,Karyn White,2
442,Roxette,2
153,Quarterflash,2
443,Fine Young Cannibals,2
446,Tone-Loc,2
165,Wind & Fire,2
147,The J. Geils Band,2
86,Barry Manilow,2
168,Paul Davis,2
172,Roberta Flack,2
9,Bette Midler,2
169,Asia,2
174,38 Special,2
353,Run–D.M.C.,1
42,Goodman & Brown,1
348,Timex Social Club,1
364,Los Lobos,1
457,Skid Row,1
349,The Dream Academy,1
350,Bob Ezrin,1
351,David TIckle,1
352,Arcadia,1
456,Donny Osmond,1
27,Ambrosia,1
455,DINO,1
325,Falco,1
450,Young MC,1
451,Great White,1
453,The B-52's,1
347,Baltimora,1
471,Deon Estus,1
473,Soul II Soul,1
356,The Moody Blues,1
357,Starpoint,1
472,Robin Zander,1
358,Daryl Hall,1
359,Force M.D.'s,1
360,Gregory Abbott,1
361,Robbie Nevil,1
452,Michael Damian,1
454,Love and Rockets,1
330,Level 42,1
459,The Cure,1
39,Nick Launay,1
332,Sly Fox,1
38,Robin Scott,1
466,Edie Brickell & New Bohemians,1
334,Boston,1
335,Stacey Q,1
465,When In Rome,1
37,M,1
464,Ozzy Osbourne,1
337,Orchestral Manoeuvres In The Dark,1
467,Boys Club Band,1
34,The S.O.S Band,1
463,Lita Ford,1
468,Vanessa Williams,1
469,Babyface,1
339,Jermaine Stewart,1
41,Ray,1
462,R.E.M.,1
341,The Outfield,1
449,Sheriff,1
461,Surface,1
343,James Brown,1
460,The Jeff Healey Band,1
344,El DeBarge,1
470,Alice Cooper,1
345,Cameo,1
342,Scritti Politti,1
428,Brenda Russell,1
448,Neneh Cherry,1
412,The Beach Boys,1
438,Will To Power,1
324,Berlin,1
397,Beastie Boys,1
398,Pseudo Echo,1
7,Lipps Inc.,1
404,The Escape Club,1
11,Gary Numan,1
