,Genre,Count
9,soft rock,118
8,pop,116
6,rock,112
3,classic rock,103
0,new wave,89
13,synthpop,57
21,album rock,55
17,motown,49
11,disco,49
70,glam metal,41
16,quiet storm,40
97,new jack swing,36
23,country,31
20,soul,30
62,hard rock,26
10,glam rock,23
5,progressive rock,22
34,dance-pop,21
89,freestyle,19
4,symphonic rock,16
2,art rock,16
24,funk,15
45,power pop,14
27,hi-nrg,14
25,post-disco,14
29,christmas,13
31,smooth jazz,13
48,blues rock,12
67,classical,11
101,blue-eyed soul,11
54,2008 universal fire victim,10
33,singer-songwriter,10
26,adult standards,10
44,funk rock,10
7,classic pop and rock,9
32,country rock,9
96,contemporary r&b,9
12,Unknown,9
38,folk rock,8
41,traditional country,8
53,arena rock,8
107,funk melody,7
36,southern rock,7
91,pop soul,7
40,jazz,7
104,jangle pop,6
19,philly soul,6
56,blues,5
106,rocksteady,5
71,pop rock,5
105,italo disco,5
42,soul jazz,4
110,hip hop,4
30,rockabilly,4
58,post-punk,4
84,baroque pop,4
77,reggae,3
99,jazz blues,3
18,northern soul,3
28,smooth soul,3
35,mariachi,3
86,neue deutsche welle,3
51,christian country,3
43,jazz funk,3
46,jazz fusion,3
83,proto-punk,2
80,psychobilly,2
22,alliteration,2
55,heavy metal,2
94,soundtrack,2
109,east coast hip hop,2
88,heartland rock,2
87,schlager,2
60,folk,2
126,miami bass,2
64,honky tonk,2
130,darkwave,2
119,adult contemporary,2
123,r&b,2
1,psychedelic rock,2
39,doo-wop,2
129,deathrock,1
128,pop rap,1
135,american,1
134,smooth r&b,1
131,modern blues,1
132,alternative rock,1
124,salsa romantica,1
108,krautrock,1
122,jungle,1
111,roots rock,1
116,audiobook,1
127,latin pop,1
133,metal,1
121,dance pop,1
120,has german audiobooks,1
112,ccm,1
118,rap rock,1
113,christian,1
114,british,1
117,acid jazz,1
115,piano house,1
125,salsa,1
68,aor,1
103,mezzo-soprano,1
72,country pop,1
14,industrial,1
15,industrial rock,1
37,bluegrass,1
47,cool jazz,1
49,boogie,1
50,southern gospel,1
52,vocal jazz,1
57,latin rock,1
59,alt country,1
61,americana,1
63,new age,1
65,novelty songs,1
66,orchestra,1
69,big band,1
73,bossa nova,1
102,engineer,1
74,samba,1
75,brazilian jazz,1
76,nederpop,1
78,electro swing,1
79,dance,1
81,punk,1
82,ska,1
85,german pop,1
90,bolero,1
92,blue collar rock,1
93,chicago house,1
95,gospel,1
98,composer,1
100,comedy,1
136,german,1
