Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Heartbreaker,Pat Benatar,album rock,209360,False,63,184,US
Deja Vu - Single Version,Dionne Warwick,pop,230373,False,24,185,US
Drivin' My Life Away,Eddie Rabbitt,country,196200,False,59,184,US
Take The Long Way Home - 2010 Remastered,Supertramp,"symphonic rock, progressive rock, classic rock",308853,False,66,177,GB
Sara - 2015 Remaster,Fleetwood Mac,"soft rock, classic rock",275106,False,48,185,GB
Wait for Me,Daryl Hall & John Oates,soft rock,247093,False,23,181,US
JoJo,Boz Scaggs,album rock,353493,False,0,0,US
September Morn,Neil Diamond,singer-songwriter,232000,False,56,184,US
Give Me the Night,George Benson,"soul jazz, jazz funk, smooth jazz",301026,False,62,185,US
Broken Hearted Me,Anne Murray,country,236360,False,55,184,CA
You Decorated My Life,Kenny Rogers,country,218133,False,66,184,US
Tusk - 2015 Remaster,Fleetwood Mac,"soft rock, classic rock",217573,False,44,184,GB
I Wanna Be Your Lover - Single Version,Prince,funk rock,180080,False,33,168,US
In America,The Charlie Daniels Band,"southern rock, country rock, country",198706,False,29,184,US
Breakdown Dead Ahead,Boz Scaggs,album rock,275493,False,0,0,US
Ships,Barry Manilow,adult standards,248733,False,36,185,US
All Night Long - Live; 1999 Remaster,Eagles,"soft rock, classic rock",334773,False,34,170,US
Refugee,Tom Petty and the Heartbreakers,classic rock,201693,False,67,184,US
Bette Davis Eyes,Kim Carnes,pop,228000,False,78,184,US
"Endless Love - From ""The Endless Love"" Soundtrack","Lionel Richie, Diana Ross","disco, motown",266266,False,52,184,"US, US"
Lady,Kenny Rogers,country,234360,False,25,184,US
(Just Like) Starting Over - Remastered 2010,John Lennon,christmas,236546,False,53,184,GB
Jessie's Girl,Rick Springfield,power pop,194120,False,75,181,AU
Celebration,Kool & The Gang,"disco, funk",298866,False,70,184,US
Kiss on My List,Daryl Hall & John Oates,soft rock,264986,False,62,185,US
I Love a Rainy Night - 2009 Remaster,Eddie Rabbitt,country,189320,False,30,184,US
9 to 5,Dolly Parton,country,162466,False,76,185,US
Keep on Loving You,REO Speedwagon,"soft rock, classic rock, album rock",200293,False,73,185,US
Theme from The Greatest American Hero (Believe It or Not) (feat. Larry Carlton),"Mike Post, Larry Carlton","jazz, jazz fusion, cool jazz, smooth jazz",194266,False,26,184,"US, US"
Morning Train (Nine to Five),Sheena Easton,pop,200973,False,48,185,GB
Being With You,Smokey Robinson,"quiet storm, motown",246960,False,56,183,US
Queen Of Hearts,Juice Newton,country,205826,False,58,184,US
Rapture,Blondie,new wave,299373,False,55,184,US
A Woman Needs Love (Just Like You Do),"Ray Parker Jr., Raydio",post-disco,249053,False,47,185,"US, US"
The Tide Is High - Remastered 2001,Blondie,new wave,280266,False,49,184,US
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers","soul jazz, motown, soul, smooth jazz",438493,False,75,184,"US, US, US"
Slow Hand,The Pointer Sisters,disco,231960,False,56,185,US
I Love You,Climax Blues Band,blues rock,245452,False,53,182,GB
Woman - Remastered 2010,John Lennon,christmas,212933,False,60,184,GB
Sukiyaki - Remastered 2002,A Taste Of Honey,"disco, boogie",223200,False,32,184,US
The Winner Takes It All,ABBA,disco,294733,False,1,0,SE
Stars On 45 - Original Single Version,Stars On 45,disco,286666,False,38,185,NL
