,Genre,Count
2,doo-wop,202
18,northern soul,131
13,motown,121
14,soul,103
7,adult standards,65
11,pop,50
3,rockabilly,48
23,rock,44
25,baroque pop,40
76,psychedelic rock,39
77,classic rock,37
4,christmas,30
88,garage rock,28
5,rock and roll,28
26,Unknown,27
61,folk rock,25
10,country,24
111,r&b,23
27,jazz,23
51,quiet storm,22
87,proto-punk,22
39,easy listening,22
91,acid rock,21
17,big band,20
29,vocal jazz,19
12,surf rock,19
49,philly soul,18
8,folk,17
31,blues,16
19,traditional country,15
28,jazz blues,15
78,beat music,14
16,swing music,13
53,2008 universal fire victim,13
50,bubblegum pop,13
90,country rock,12
83,psychedelic pop,11
22,exotica,11
36,pop rock,11
45,funk,11
47,british,10
30,soul blues,10
93,singer-songwriter,9
1,christian country,9
129,hip hop,8
120,smooth r&b,8
6,schlager,8
122,east coast hip hop,8
114,alternative rock,8
100,blue-eyed soul,7
15,honky tonk,6
123,new jack swing,6
110,contemporary r&b,5
113,latin pop,5
69,blues rock,5
56,classic pop and rock,5
24,boogie-woogie,5
46,orchestra,5
48,cool jazz,5
112,latin,4
65,teen pop,4
121,neo soul,4
40,progressive rock,4
79,english,4
54,comedy,4
128,rap,4
89,boy band,3
127,funk rock,3
43,aln-sh,3
60,soul jazz,3
55,ballad,3
142,southern rock,3
37,indorock,3
92,roots rock,3
86,christmas music,3
95,symphonic rock,2
145,deathgrind,2
147,gospel,2
38,polka,2
59,hard bop,2
58,jazz funk,2
118,post-grunge,2
143,audiobook,2
9,psychobilly,2
66,bolero,2
57,reggae,2
74,tejano,2
42,dansktop,2
132,southern hip hop,2
75,bossa nova,2
134,dance-pop,1
136,crunk,1
149,breakbeat,1
148,african gospel,1
115,variété française,1
116,latin rock,1
117,orchestral,1
138,merengue,1
119,grunge,1
135,bounce,1
137,salsa,1
140,bachata,1
146,indie folk,1
130,bleep techno,1
124,hi-nrg,1
125,italo disco,1
131,miami bass,1
126,italo dance,1
144,american,1
141,audio drama,1
139,salsa romantica,1
133,smooth jazz,1
0,death by cancer,1
109,spoken word,1
52,composer,1
71,bebop,1
70,modern blues,1
68,swedish ballads,1
67,death by covid-19,1
64,calypso,1
63,enka,1
62,kayokyoku,1
44,lounge,1
108,1980s,1
41,champeta,1
35,production music,1
34,acid house,1
33,freestyle,1
32,chicago house,1
21,heavy metal,1
20,_consistency,1
72,traditional pop,1
73,criminal,1
80,electro swing,1
81,rocksteady,1
107,disco,1
106,post-disco,1
105,contemporary folk,1
104,soundtrack,1
103,classical,1
102,classic blues,1
101,chamber pop,1
99,sunshine pop,1
98,ragtime,1
97,dark cabaret,1
96,art rock,1
94,beat,1
85,brazilian jazz,1
84,latin jazz,1
82,ska,1
150,rock and indie,1
