,Artist,Count
565,Citizen King,1
564,Jo Dee Messina,1
563,Joey McIntyre,1
562,Blinky Blink,1
561,Mase,1
560,Mýa,1
558,Zhané,1
541,Mark Chesnutt,1
557,Naughty By Nature,1
556,Fastball,1
555,Mo Thugs,1
554,Lonestar,1
553,Kenny Chesney,1
552,Brian McKnight,1
551,Joe,1
550,Ginuwine,1
549,Marc Anthony,1
548,LEN,1
547,Mannie Fresh,1
546,Lil Wayne,1
545,JUVENILE,1
578,Zager & Evans,1
581,Andy Kim,1
582,Smith,1
583,Bobby Sherman,1
611,The Edwin Hawkins Singers,1
610,The Originals,1
609,Crazy Elephant,1
608,Bob Seger,1
607,Gary Puckett & The Union Gap,1
606,The Dells,1
605,The Cuff Links,1
604,Joe South,1
603,Kenny Rogers & The First Edition,1
602,Tony Joe White,1
601,Flying Machine,1
600,Joe Simon,1
599,Brooklyn Bridge,1
598,Harry Nilsson,1
597,Motherlode,1
596,New Colony Six,1
595,Edwin Starr,1
594,1910 Fruitgum Company,1
593,Sonny Charles And The Checkmates Ltd,1
592,The Winstons,1
591,Tyrone Davis,1
590,Glen Campbell,1
589,Cass Elliot,1
588,Dennis Yost & The Classics IV,1
587,The Spiral Starecase,1
586,Charles Wright & The Watts 103rd Street Rhythm Band,1
584,Mercy,1
542,Chanté Moore,1
540,"Kevin ""K.D."" Davis",1
459,The Five Americans,1
475,The Who,1
376,Del Shannon,1
498,Destiny's Child,1
497,Rob Thomas,1
496,Santana,1
494,Smash Mouth,1
493,Céline Dion,1
488,Jennifer Lopez,1
487,702,1
485,Deborah Cox,1
483,Christina Aguilera,1
482,Sixpence None The Richer,1
480,Kelly Price,1
477,Monica,1
474,The Electric Prunes,1
539,Eric Benét,1
473,Bill Cosby,1
472,Robert Knight,1
471,Janis Ian,1
470,The Royal Guardsmen,1
469,Keith,1
468,James Brown & The Famous Flames,1
467,Aaron Neville,1
466,Peaches & Herb,1
464,The Hombres,1
463,The Spencer Davis Group,1
462,The Bar-Kays,1
461,The Easybeats,1
460,The Blues Magoos,1
500,Pearl Jam,1
501,Maxwell,1
502,Enrique Iglesias,1
503,Busta Rhymes,1
538,Jordan Knight,1
537,Silk,1
536,Total,1
535,Gerald Albright,1
534,Jesse Powell,1
533,Bryan White,1
532,Tim McGraw,1
531,JT Money,1
530,Jewel,1
529,Tal Bachman,1
528,Blaque,1
527,Matchbox Twenty,1
526,K-Ci & JoJo,1
525,112,1
524,Shawn Mullins,1
522,Tyrese,1
521,Lou Bega,1
519,Third Eye Blind,1
518,Ja Rule,1
517,Amil,1
516,LFO,1
512,Red Hot Chili Peppers,1
511,Kool Moe Dee,1
507,Divine,1
506,Lenny Kravitz,1
505,Everlast,1
504,Janet Jackson,1
499,Eagle-Eye Cherry,1
306,The Reflections,1
375,The Ad Libs,1
128,The Echoes,1
145,Shelley Fabares,1
144,David Rose & His Orchestra,1
141,Acker Bilk,1
140,Don Gibson,1
139,The Dave Brubeck Quartet,1
136,Matt Monro,1
135,Lonnie Donegan,1
134,Curtis Lee,1
133,Rosie & The Originals,1
132,Tony Orlando,1
130,Little Cesar & The Romans,1
129,Buzz Clifford,1
127,Ike & Tina Turner,1
147,The Sensations,1
123,Rudolph Toombs,1
120,Ral Donner,1
119,Bob Moore,1
117,The Paris Sisters,1
116,The Capris,1
115,Timi Yuro,1
114,Arthur Lyman,1
112,Faron Young,1
111,Kokomo,1
110,"Clarence ""Frogman"" Henry",1
109,Troy Shondell,1
108,Shep And The Limelites,1
146,Little Eva,1
148,Bruce Channel,1
374,Desi & Billy,1
171,The Corsairs,1
190,James Darren,1
189,Larry Finnegan,1
188,Dickie Lee,1
186,Barbara Lynn,1
185,Johnny Crawford,1
183,Joe Henderson,1
182,The Duprees,1
178,"Dave ""Baby"" Cortez",1
177,The Starliters,1
176,Joey Dee,1
175,Joanie Sommers,1
173,Ray Charles Orchestra,1
170,Don & Juan,1
149,Gene Chandler,1
169,Ernie Maresca,1
168,Emilio Pericoli,1
166,Barbara George,1
165,Clyde McPhatter,1
164,Ace Cannon,1
163,Richard Chamberlain,1
161,Bent Fabricius-Bjerre,1
160,Claudine Clark,1
159,Ketty Lester,1
155,Joey Dee & The Starliters,1
152,Kenny Ball,1
150,Claude King,1
107,The Marcels,1
106,Ferlin Husky,1
104,Jørgen Ingmann,1
40,Hank Ballard & The Midnighters,1
58,Dinah Washington,1
55,Paul Anka et son orchestre,1
54,Donnie Brooks,1
53,The Safaris,1
52,The Little Dippers,1
49,Bill Blacks Combo,1
48,The Browns,1
46,Jimmy Charles,1
44,Charles Williams,1
43,Jeanne Black,1
42,Billy Bland,1
41,The Platters,1
39,Ron Holden,1
103,Chris Kenner,1
36,The Fendermen,1
35,Larry Verne,1
31,Conway Twitty,1
30,Duane Eddy,1
29,Toni Fisher,1
24,Johnny Horton,1
20,Frankie Avalon,1
18,Connie Stevens,1
17,Dion & The Belmonts,1
14,The Hollywood Argyles,1
11,The Brothers Four,1
4,Mark Dinning,1
61,Skip & Flip,1
62,Lloyd Price,1
63,The Crests,1
64,Paul Evans,1
102,Barry Mann,1
100,,1
97,Gene McDaniels,1
94,Ernie K-Doe,1
92,Charles Eugene Patrick Boone,1
91,Ernest Gold,1
90,The Mar-Keys,1
88,Lawrence Welk,1
87,Joe Dowell,1
86,Dee Clark,1
85,The String-A-Longs,1
84,The Jive Five,1
81,The Jordanaires,1
78,Larry Hall,1
77,Charlie Rich,1
76,Maurice Williams & The Zodiacs,1
75,Barrett Strong,1
74,Guy Mitchell,1
73,Bob Luman,1
72,Johnny Paris,1
71,Johnny & The Hurricanes,1
70,Joe Jones,1
69,Annette,1
67,Johnny Burnette,1
66,Bob Fisher,1
191,Walter Brennan,1
192,The Johnny Mann Singers,1
193,Billy Vaughn,1
307,Joe Hinton,1
329,Mel Carter,1
328,Jewel Akens,1
324,We Five,1
321,Jimmy Hughes,1
320,Jumpin' Gene Simmons,1
319,Robert Maxwell,1
318,Gerry & The Peace Makers,1
317,Tommy Tucker,1
