,Artist,Count
34,Drake,49
10,Rihanna,30
53,Nicki Minaj,30
48,Taylor Swift,21
59,Maroon 5,19
208,Ariana Grande,18
46,Justin Bieber,18
64,Chris Brown,18
14,Bruno Mars,18
44,Lil Wayne,18
3,Katy Perry,16
393,Cardi B,15
288,The Weeknd,13
178,Imagine Dragons,13
5,USHER,13
367,Post Malone,12
133,Calvin Harris,12
392,Khalid,12
16,Pitbull,12
226,Ed Sheeran,12
215,Kendrick Lamar,11
89,Adele,11
0,Kesha,11
243,Sam Smith,10
210,Selena Gomez,10
385,Migos,10
19,Jason Derulo,10
11,Lady Gaga,10
306,Shawn Mendes,10
106,Wiz Khalifa,10
242,Meghan Trainor,9
147,Big Sean,9
40,Justin Timberlake,9
20,Beyoncé,9
139,Luke Bryan,9
42,Flo Rida,9
212,Future,8
191,Florida Georgia Line,8
101,P!nk,8
246,DJ Snake,8
346,Halsey,8
371,Travis Scott,8
63,Miley Cyrus,7
375,Camila Cabello,7
284,Charlie Puth,7
200,Zedd,7
28,David Guetta,7
56,OneRepublic,6
94,Ne-Yo,6
391,Gucci Mane,6
73,DJ Khaled,6
187,Pharrell Williams,6
9,Eminem,6
24,JAY-Z,6
79,Carrie Underwood,6
115,Jason Aldean,6
23,Black Eyed Peas,6
155,One Direction,6
32,Trey Songz,6
344,The Chainsmokers,6
335,Alessia Cara,6
271,Young Thug,6
142,Miguel,6
161,Demi Lovato,6
153,Ellie Goulding,6
159,2 Chainz,6
156,Sia,6
1,Lady A,5
13,Ludacris,5
349,Ty Dolla $ign,5
285,Fetty Wap,5
238,Juicy J,5
7,B.o.B,5
404,J Balvin,5
132,Blake Shelton,5
183,Macklemore & Ryan Lewis,5
403,21 Savage,5
97,Christina Aguilera,5
173,Coldplay,5
439,Marshmello,5
65,Tyga,5
69,Kanye West,5
67,Britney Spears,5
71,Kelly Clarkson,5
406,Kodak Black,4
38,DEV,4
418,Luke Combs,4
240,Iggy Azalea,4
317,Rae Sremmurd,4
234,Thomas Rhett,4
420,SZA,4
438,Lil Baby,4
440,Offset,4
143,Jessie J,4
429,XXXTENTACION,4
151,fun.,4
342,Twenty One Pilots,4
119,Rick Ross,4
145,Kenny Chesney,4
430,Bad Bunny,4
103,Jeremih,4
15,Enrique Iglesias,4
6,will.i.am,4
387,Quavo,4
25,Alicia Keys,4
90,LMFAO,4
390,Swae Lee,4
170,J. Cole,4
273,Sam Hunt,4
278,5 Seconds of Summer,4
