,Genre,Count
5,pop,264
9,hip hop,195
8,rap,119
2,country,104
10,r&b,65
3,soft pop,55
45,acoustic country,42
22,edm,40
13,southern hip hop,34
89,trap,28
35,alternative rock,27
1,pop country,25
12,contemporary r&b,25
0,dance-pop,21
90,melodic rap,21
25,electropop,17
15,latin,17
11,art pop,16
4,west coast hip hop,16
24,rock,15
86,reggaeton,13
23,dance,12
107,alternative pop,12
64,Unknown,11
39,emo,10
29,electronic,10
30,crunk,10
20,east coast hip hop,10
21,neo soul,9
78,memphis rap,9
28,pop rap,9
63,folk pop,9
33,pop rock,9
40,pop punk,8
27,christmas,7
115,emo rap,7
58,boy band,7
38,emo pop,7
6,gangster rap,6
50,gangsta rap,6
57,alternative r&b,6
7,g-funk,5
83,hyphy,5
14,folk rock,5
71,electro,5
17,french house,5
93,moombahton,5
116,trap latino,5
117,urbano latino,5
49,indie pop,5
16,latin pop,5
65,indie folk,4
43,classic pop and rock,4
46,jazz,4
26,bollywood,4
32,dancehall,4
37,author,3
82,house,3
95,choral,3
73,hyperpop,3
91,tropical house,3
34,indie,3
59,italo-disco,3
62,k-pop,2
36,new wave,2
31,crunkcore,2
55,texas country,2
85,country hip hop,2
56,red dirt,2
41,raï,2
94,future bass,2
80,afrobeat,2
119,swing,2
48,big room,2
77,comedy,2
61,dubstep,2
122,teen pop,2
111,indie rock,2
72,children's music,2
70,edm trap,2
98,audio drama,2
66,soul,2
44,country rock,2
101,classical,2
47,latin dance,2
114,rage rap,1
108,pop soul,1
110,death by fall,1
109,hip-hop,1
113,reggae,1
112,imdj_lsg,1
120,dembow,1
19,indie dance,1
18,nu disco,1
118,christian hip hop,1
105,azonto,1
121,blues,1
123,brooklyn drill,1
124,christian,1
125,ccm,1
126,worship,1
127,pop worship,1
128,experimental rock,1
129,englisch,1
106,afropiano,1
52,moldovan,1
104,afropop,1
79,synthpop,1
54,grime,1
51,british,1
60,acoustic pop,1
67,nu metal,1
68,alternative metal,1
69,rap metal,1
74,schlager,1
75,folk,1
76,orchestral,1
42,modern rock,1
81,musicals,1
103,afroswing,1
84,drill,1
87,progressive house,1
88,electronica,1
53,piano house,1
92,blues rock,1
96,audiobook,1
97,glam rock,1
99,soundtrack,1
100,new jack swing,1
102,afrobeats,1
130,lullaby,1
