name,id,tracks,snapshot_id
1980 Billboard Year End Hot 100,6DVgHXWUWW93chgPL2FmqW,100,AAAAB20XHVxNFazqBBAehSpiYL/bHc7h
1979 Billboard Year End Hot 100,3pvPpm0RcnexTEpELntKHR,100,AAAACwyJbIuk3ffagAbWhblMsjIIeq8p
1978 Billboard Year End Hot 100,1q7iF3lIBNawQp8JBDApty,100,AAAACbToOBUimpzpszASj2hEYUtqfyV4
1977 Billboard Year End Hot 100,2u2HiU1AfTpNfLfBu7voXj,100,AAAADENpRIHby/7+kQTVMKRpWiNB/gRH
1976 Billboard Year End Hot 100,1fmEvEfr4x0oYO6vr7eETM,100,AAAAEJy3TbgjfdOaMY+HOrWuWBJOI9g2
1975 Billboard Year End Hot 100,0uotNCnpPzLepOkUr1G5mO,100,AAAACCf7/MqaQDEFcCjIyYEqRG66hF14
1974 Billboard Year End Hot 100,2r6noskVcQ0I0erHFoJjez,100,AAAAGFcIoKtKXIRZau1Dy6RGvGnbS1RD
1973 Billboard Year End Hot 100,2P1uxAVToyuHZnOVC6OQ4k,100,AAAAEM8muSQ2aJ9DOimTqB6GpY3WXHYs
1972 Billboard Year End Hot 100,3lO9iUXGwfGXWW9rDmO1Bx,100,AAAADterskOEnw44WoeMRn1f1xcBZE8y
1971 Billboard Year End Hot 100,55eckyTidfKsak7RWQJ5mT,99,AAAAEVEeGUM6bPF25hzf3urS+y/tn36o
1970 Billboard Year End Hot 100,3veCA7WKD6sCrYDNDB7Cct,100,AAAACjshP62VJeBnns+usrsX2tYddXSF
1969 Billboard Year End Hot 100,0GyTFbNYmyVxwq48IEzY3U,101,AAAAEVu24pcERZ7ugomP8KKhSzBuRjR/
1968 Billboard Year End Hot 100,1W1hFJ7VaVWqwjirhynQ1W,100,AAAAYk/r0Lso5TNHhU/HOhmIPq0cgOBH
1967 Billboard Year End Hot 100,0K0pQL9LR6VnL78ybJX1s5,100,AAAAGI17fplwiv0xF548wUFnnZiPRLe2
1966 Billboard Year End Hot 100,6X2ACYuWxadsdVtxzzYwkz,100,AAAAuJBlv6DEQFJXwGZjj/A+Ult4j0hz
1965 Billboard Year End Hot 100,1mhbSuQXNRkTvR3PfXjxVn,100,AAAAGei5tRVQurG9dOiedQNKNnFLEe84
1964 Billboard Year End Hot 100,3uBThzd0MmSMBNcR8NUMg3,100,AAAAJEMoC4jOyctXFkrjqZy0HnTUSS24
1963 Billboard Year End Hot 100,4mvApdFqPwJ435Ba292eQ9,100,AAAAQU0rnM0phpe959kNLKd0FgbcJ5GZ
1962 Billboard Year End Hot 100,5sdqJR3OnCw9HYYL3sxnV0,100,AAAAFPdATHiqSQVvAPOPYlaoaGQ5qL8O
1961 Billboard Year End Hot 100,1w2q3SLSXhy7gENztUT6se,100,AAAABW1iTyhGprkwfMNWVWmnP9weVXUA
1960 Billboard Year End Hot 100,39fF0HUC7G5MhYW3BEXmVZ,99,AAAACCWVi0Z0hSSOxd5J3my++W3mI6AP
1959 Billboard Year End Hot 100,2VVrYKGFAcSqJboHpH9qOl,100,AAAABdmlET/6Dw81xMK/+bPtBTylf3b7
