,Artist,Count
98,Bee Gees,13
202,Elton John,13
1,Carpenters,11
247,Wings,11
31,Stevie Wonder,10
151,Olivia Newton-John,10
355,Barry Manilow,9
377,Electric Light Orchestra,8
343,Wind & Fire,8
342,Earth,8
57,Chicago,8
10,Three Dog Night,7
6,The Jackson 5,7
190,War,7
138,Helen Reddy,7
162,Gladys Knight & The Pips,7
44,Anne Murray,6
217,Dr. Hook,6
104,Al Green,6
137,Carly Simon,6
102,John Denver,6
101,Donny Osmond,6
411,Donna Summer,6
5,Diana Ross,6
199,The O'Jays,6
345,Eagles,5
214,Paul Simon,5
63,James Taylor,5
69,The Spinners,5
376,Queen,5
362,Linda Ronstadt,5
94,Aretha Franklin,5
40,Kenny Rogers,5
112,Marvin Gaye,5
113,Paul McCartney,5
318,ABBA,5
129,Cher,5
133,Ringo Starr,5
296,Barbra Streisand,5
439,Andy Gibb,5
281,Steely Dan,5
171,Roberta Flack,5
23,The Temptations,5
416,Fleetwood Mac,5
371,KC & The Sunshine Band,5
224,Alice Cooper,5
93,Glen Campbell,4
457,Foreigner,4
309,Paul Anka,4
258,Grand Funk Railroad,4
382,Leo Sayer,4
95,Rod Stewart,4
12,Bread,4
288,Ohio Players,4
218,Jim Croce,4
185,The Stylistics,4
256,Sweet,4
403,Commodores,4
3,B.J. Thomas,4
339,Captain & Tennille,4
313,Steve Miller Band,4
497,CHIC,4
14,Neil Diamond,4
394,Daryl Hall & John Oates,3
187,Michael Jackson,3
89,Dionne Warwick,3
189,Billy Preston,3
115,Bill Withers,3
97,The Osmonds,3
269,The Doobie Brothers,3
310,Odia Coates,3
294,David Bowie,3
414,Peter Frampton,3
485,Heatwave,3
273,Charlie Rich,3
108,The Rolling Stones,3
520,Little River Band,3
192,America,3
172,Gilbert O'Sullivan,3
303,Jim Stafford,3
399,The Sylvers,3
423,Bay City Rollers,3
149,Yusuf / Cat Stevens,3
225,Joe Simon,3
263,Barry White,3
369,Styx,3
38,Creedence Clearwater Revival,3
344,Neil Sedaka,3
341,Frankie Valli,3
