Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Bridge Over Troubled Water,Simon & Garfunkel,folk rock,293120,False,68,185,US
(They Long To Be) Close To You,Carpenters,"christmas, adult standards",273933,False,68,177,US
American Woman - 2024 Remaster,The Guess Who,classic rock,307493,False,21,0,CA
Raindrops Keep Fallin' On My Head,B.J. Thomas,2008 universal fire victim,184493,False,0,0,US
War,Edwin Starr,"northern soul, motown",200266,False,59,184,Unknown
Ain't No Mountain High Enough,Diana Ross,"disco, motown",215200,False,11,180,US
I'll Be There,The Jackson 5,"christmas, motown",237760,False,62,184,US
Get Ready,Rare Earth,"acid rock, motown",1292293,False,42,127,US
Let It Be - Remastered 2009,The Beatles,"classic rock, psychedelic rock",243026,False,77,184,GB
Band of Gold,Freda Payne,"northern soul, motown",174226,False,33,184,US
Mama Told Me (Not To Come) - Single Version,Three Dog Night,rock,197773,False,21,84,US
Everything Is Beautiful - 1970 #1 Billboard chart hit,Ray Stevens,comedy,212773,False,0,0,US
Make It with You,Bread,soft rock,192200,False,72,184,US
Hitchin' a Ride,Vanity Fare,bubblegum pop,172813,False,3,0,GB
ABC,The Jackson 5,"christmas, motown",174866,False,66,184,US
The Love You Save,The Jackson 5,"christmas, motown",179306,False,49,184,US
Cracklin' Rosie - Single Version,Neil Diamond,singer-songwriter,179933,False,62,184,US
Candida,"The Dawn, Tony Orlando & Dawn",pinoy rock,182973,False,48,185,"GB, US"
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,"funk, soul, motown, funk rock",289960,False,10,183,US
Spill the Wine,Eric Burdon,funk rock,243133,False,11,185,GB
O-o-h Child,The Five Stairsteps,Unknown,197160,False,62,182,US
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,classic rock,242893,False,74,184,US
Lay Down (Candles In the Rain) (with The Edwin Hawkins Singers),"Melanie, The Edwin Hawkins Singers","contemporary folk, gospel",470453,False,5,183,"US, US"
Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,The Temptations,"soul, motown",246200,False,46,184,US
Love on a Two-Way Street,The Moments,"quiet storm, northern soul, philly soul",228066,False,23,14,GB
I Want You Back,The Jackson 5,"christmas, motown",179226,False,55,175,US
"Which Way You Goin', Billy?","The Poppy Family, Terry Jacks, Susan Jacks","audio drama, singer-songwriter",203426,False,37,185,"CA, Unknown, CA"
All Right Now,Free,"classic rock, blues rock",332906,False,19,183,GB
