Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris","contemporary r&b, gangsta rap, hip hop",250373,False,80,185,"US, US, US"
Burn,USHER,r&b,231933,False,67,185,US
If I Ain't Got You,Alicia Keys,"neo soul, r&b",228706,False,76,185,US
This Love,Maroon 5,pop,206200,False,57,180,US
The Way You Move (feat. Sleepy Brown),"Outkast, Sleepy Brown","hip hop, southern hip hop",234000,True,65,185,"US, US"
The Reason,Hoobastank,nu metal,232800,False,0,0,US
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,"Mario Winans, Enya, Diddy","east coast hip hop, hip hop, celtic, new age, r&b",257333,False,57,184,"US, IE, US"
Hey Ya!,Outkast,"hip hop, southern hip hop",235213,True,77,185,US
Goodies (feat. Petey Pablo),"Ciara, Petey Pablo","southern hip hop, crunk",223000,False,63,185,"Unknown, US"
Lean Back,"Terror Squad, Fat Joe, Remy Ma",east coast hip hop,251653,True,29,4,"US, US, US"
Tipsy - Club Mix,J-Kwon,author,243226,True,61,185,GB
Confessions Part II,USHER,r&b,211200,False,64,185,US
Slow Motion,"JUVENILE, Soulja Slim","bounce, southern hip hop, crunk",248200,True,59,183,"US, US"
Freek-A-Leek,Petey Pablo,"southern hip hop, crunk",235186,True,58,175,US
Here Without You,3 Doors Down,post-grunge,238733,False,73,184,US
Slow Jamz (feat. Kanye West & Jamie Foxx),"Twista, Kanye West, Jamie Foxx",rap,212146,True,55,183,"US, GB, US"
Someday,Nickelback,"rock, post-grunge",207426,False,0,0,CA
Naughty Girl,Beyoncé,pop,208573,False,59,181,US
My Immortal - Band Version,Evanescence,alternative metal,273360,False,54,180,US
Sunshine (feat. Lea),"Lil' Flip, Lea","southern hip hop, crunk",222480,True,22,29,"US, DE"
Dirt Off Your Shoulder,JAY-Z,"east coast hip hop, hip hop, rap",245173,True,57,184,US
Move Ya Body - Radio Edit,Nina Sky,jazz,234093,False,13,2,US
Dip It Low - Feat. Fabolous,"Christina Milian, Fabolous, Matt Ward, Dean Gillard",chamber music,218640,True,37,4,"US, US, GB, US"
My Boo,"USHER, Alicia Keys","neo soul, r&b",223440,False,74,185,"US, US"
One Call Away,"Chingy, Jason Weaver",crunk,276800,False,58,184,"US, US"
"Me, Myself and I",Beyoncé,pop,301133,False,56,181,US
Turn Me On,Kevin Lyttle,"dancehall, soca",192106,False,63,184,VC
The First Cut Is The Deepest,Sheryl Crow,pop,226200,False,43,2,US
You Don't Know My Name - Radio Edit,Alicia Keys,"neo soul, r&b",268306,False,23,182,US
My Place,"Nelly, Jaheim","neo soul, r&b, smooth r&b, quiet storm",336506,True,56,162,"US, US"
Overnight Celebrity (feat. Miri Ben-Ari),"Twista, Miri Ben-Ari","bachata, bachata pop",233360,True,51,183,"US, US"
