Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Lose Control,Teddy Swims,alternative rock,210688,False,85,184,US
A Bar Song (Tipsy),Shaboozey,country,171291,False,58,185,US
Beautiful Things,Benson Boone,pop,180304,False,85,184,US
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",country,178205,True,52,183,"US, US"
Lovin On Me,Jack Harlow,hip hop,138411,True,77,184,US
Not Like Us,Kendrick Lamar,"west coast hip hop, hip hop",274192,True,92,183,US
Espresso,Sabrina Carpenter,pop,175459,True,84,183,US
MILLION DOLLAR BABY,Tommy Richman,Unknown,155151,False,83,183,Unknown
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves","red dirt, country",227195,False,81,184,"CA, US"
Too Sweet,Hozier,blues rock,251424,False,74,180,IE
Stick Season,Noah Kahan,folk pop,182346,False,51,183,US
Cruel Summer,Taylor Swift,pop,178426,False,84,184,US
greedy,Tate McRae,pop,129686,False,58,185,CA
Like That,"Future, Metro Boomin, Kendrick Lamar","west coast hip hop, rap, hip hop",267706,True,82,185,"US, US, US"
BIRDS OF A FEATHER,Billie Eilish,alternative pop,210373,False,93,183,US
Please Please Please,Sabrina Carpenter,pop,186365,True,80,182,US
Agora Hills,Doja Cat,hip hop,265360,True,72,185,US
"Good Luck, Babe!",Chappell Roan,queer,218423,False,89,183,US
Saturn,SZA,r&b,186191,False,77,185,US
Snooze,SZA,r&b,201800,True,84,185,US
Paint The Town Red,Doja Cat,hip hop,230480,True,56,185,US
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone","pop, hip hop",228965,False,69,183,"US, US"
Fast Car,Luke Combs,country,265493,False,78,185,US
Water,Tyla,afrobeats,200255,False,56,185,GB
Feather,Sabrina Carpenter,pop,185552,True,80,183,US
we can't be friends (wait for your love),Ariana Grande,pop,228639,False,77,183,US
Austin (Boots Stop Workin'),Dasha,country pop,171782,True,79,184,US
Last Night,Morgan Wallen,country,163854,True,75,183,US
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",country,181621,False,78,183,"US, US"
Pink Skies,Zach Bryan,"red dirt, country",194920,False,80,184,CA
Thinkin’ Bout Me,Morgan Wallen,country,177387,False,76,183,US
TEXAS HOLD 'EM,Beyoncé,pop,233456,True,71,185,US
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,pop,229477,False,70,183,US
Miles On It,"Marshmello, Kane Brown","edm, country, pop country",168355,False,76,185,"US, US"
I Can Do It With a Broken Heart,Taylor Swift,pop,218004,True,69,183,US
Wild Ones (feat. Jelly Roll),"Jessie Murph, Jelly Roll","country hip hop, country",141367,True,64,184,"Unknown, US"
Ain't No Love In Oklahoma,Luke Combs,country,210950,False,58,184,US
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",rap,264324,True,74,0,"US, GB, US"
Houdini,Eminem,"rap, hip hop",227239,True,75,182,US
Wanna Be (with Megan Thee Stallion),"GloRilla, Megan Thee Stallion","hip hop, hip hop",156444,True,69,183,"US, US"
Slow It Down,Benson Boone,pop,161831,False,82,184,US
redrum,21 Savage,trap,270697,True,78,185,US
Houdini,Dua Lipa,pop,185917,False,79,181,GB
Yeah Glo!,GloRilla,hip hop,142702,True,71,183,US
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA","r&b, rap, hip hop",319191,True,75,183,"CA, US, US"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,alternative pop,222369,False,81,183,US
